,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,259,170,2015-16,0.524,2190,797,0.364,6759,3141,0.465,Overall,2015-16,0.526,0.802,0.596,0.474,0.198,0.404
0,196,171,Less Than 5 ft.,0.633,0,0,0.0,2039,1291,0.633,Shot Distance (5ft),Less Than 5 ft.,0.598,0.0,0.598,0.402,0.0,0.402
1,26,171,5-9 ft.,0.401,0,0,0.0,449,180,0.401,Shot Distance (5ft),5-9 ft.,0.328,0.0,0.328,0.672,0.0,0.672
2,9,171,10-14 ft.,0.417,0,0,0.0,451,188,0.417,Shot Distance (5ft),10-14 ft.,0.255,0.0,0.255,0.745,0.0,0.745
3,13,171,15-19 ft.,0.424,0,0,0.0,1211,513,0.424,Shot Distance (5ft),15-19 ft.,0.456,0.0,0.456,0.544,0.0,0.544
4,10,171,20-24 ft.,0.533,1052,408,0.388,1471,580,0.394,Shot Distance (5ft),20-24 ft.,0.703,0.877,0.826,0.297,0.123,0.174
5,5,171,25-29 ft.,0.525,1059,371,0.35,1059,371,0.35,Shot Distance (5ft),25-29 ft.,0.0,0.717,0.717,0.0,0.283,0.283
6,0,171,30-34 ft.,0.3,20,4,0.2,20,4,0.2,Shot Distance (5ft),30-34 ft.,0.0,0.5,0.5,0.0,0.5,0.5
7,0,171,35-39 ft.,0.0,7,0,0.0,7,0,0.0,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,0.0,0.0
8,0,171,40+ ft.,0.079,19,1,0.053,19,1,0.053,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,1.0,1.0
0,214,172,Less Than 8 ft.,0.601,0,0,0.0,2341,1407,0.601,Shot Distance (8ft),Less Than 8 ft.,0.574,0.0,0.574,0.426,0.0,0.426
1,18,172,8-16 ft.,0.426,0,0,0.0,774,330,0.426,Shot Distance (8ft),8-16 ft.,0.291,0.0,0.291,0.709,0.0,0.709
2,16,172,16-24 ft.,0.417,0,0,0.0,1454,607,0.417,Shot Distance (8ft),16-24 ft.,0.545,0.0,0.545,0.455,0.0,0.455
3,11,172,24+ ft.,0.549,2139,783,0.366,2139,783,0.366,Shot Distance (8ft),24+ ft.,0.0,0.799,0.799,0.0,0.201,0.201
4,0,172,Back Court Shot,0.083,18,1,0.056,18,1,0.056,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,1.0,1.0
0,168,173,Restricted Area,0.652,0,0,0.0,1881,1226,0.652,Shot Area,Restricted Area,0.61,0.0,0.61,0.39,0.0,0.39
1,57,173,In The Paint (Non-RA),0.412,0,0,0.0,775,319,0.412,Shot Area,In The Paint (Non-RA),0.323,0.0,0.323,0.677,0.0,0.677
2,23,173,Mid-Range,0.418,0,0,0.0,1913,799,0.418,Shot Area,Mid-Range,0.479,0.0,0.479,0.521,0.0,0.521
3,2,173,Left Corner 3,0.606,282,114,0.404,282,114,0.404,Shot Area,Left Corner 3,0.0,0.974,0.974,0.0,0.026,0.026
4,1,173,Right Corner 3,0.652,246,107,0.435,246,107,0.435,Shot Area,Right Corner 3,0.0,0.953,0.953,0.0,0.047,0.047
5,8,173,Above the Break 3,0.523,1615,563,0.349,1615,563,0.349,Shot Area,Above the Break 3,0.0,0.734,0.734,0.0,0.266,0.266
