,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,134.75427,203.65119,-203.65119,155,2015-16,-135.76746,284.70639,154.00488,0.026,-189.46653,127.66194,0.031,98.27943,-53.69907,-0.058,,82,Overall,2015-16,29,3966.0,-250.25793,-97.26624,97.26624,355.62969,355.62969,-386.02539,,,2015-16,127.66194,,,-199.59843,53,0.646
0,97.26624,98.27943,-98.27943,153,Home,-6.07914,137.79384,92.20029,0.043,-111.4509,105.37176,0.044,64.84416,-17.22423,-0.061,,41,Location,Home,12,1978.0,-107.39814,-62.81778,62.81778,285.71958,285.71958,-113.47728,,,,43.56717,,Home,-70.9233,29,0.707
1,37.48803,105.37176,-105.37176,153,Road,-129.68832,146.91255,61.80459,0.009,-78.01563,22.29018,0.017,33.43527,-36.47484,-0.056,,41,Location,Road,17,1988.0,-142.85979,-34.44846,34.44846,69.91011,69.91011,-272.54811,,,,84.09477,,Road,-128.67513,24,0.585
0,192.5061,159.07083,-159.07083,157,Wins,52.68588,163.12359,149.95212,0.073,-163.12359,210.74352,0.063,132.72789,60.7914,-0.025,Wins,53,Wins/Losses,Wins,0,2569.0,-180.34782,-114.49047,114.49047,632.23056,632.23056,-127.66194,,,,112.46409,,,-158.05764,53,1.0
1,-57.75183,44.58036,-44.58036,157,Losses,-188.45334,121.5828,4.05276,-0.051,-26.34294,-83.08158,-0.029,-34.44846,-114.49047,-0.114,Losses,29,Wins/Losses,Losses,29,1397.0,-69.91011,17.22423,-17.22423,-276.60087,-276.60087,-258.36345,,,,15.19785,,,-41.54079,0,0.0
0,0.0,19.25061,-19.25061,154,October,8.10552,-5.06595,-5.06595,-0.051,-49.64631,0.0,0.082,52.68588,33.43527,-0.026,,3,Month,October,0,144.0,-25.32975,-29.38251,29.38251,28.36932,28.36932,-17.22423,October,,,-3.03957,,,-5.06595,3,1.0
1,29.38251,42.55398,-42.55398,154,November,-47.61993,-9.11871,-6.07914,-0.008,-16.21104,16.21104,0.019,25.32975,-24.31656,-0.099,,15,Month,November,8,720.0,-16.21104,-28.36932,28.36932,2.02638,2.02638,-63.83097,November,,,-5.06595,,,-29.38251,7,0.467
2,61.80459,16.21104,-16.21104,154,December,-25.32975,86.12115,49.64631,0.052,-15.19785,12.15828,0.014,-11.14509,-24.31656,-0.039,,16,Month,December,5,773.0,-30.3957,-27.35613,27.35613,49.64631,49.64631,-55.72545,December,,,-1.01319,,,-15.19785,11,0.688
3,3.03957,20.2638,-20.2638,154,January,-26.34294,93.21348,41.54079,0.015,8.10552,42.55398,0.032,-14.18466,-11.14509,-0.004,,14,Month,January,3,682.0,-40.5276,-1.01319,1.01319,115.50366,115.50366,-66.87054,January,,,48.63312,,,-65.85735,11,0.786
4,-11.14509,43.56717,-43.56717,154,February,14.18466,68.89692,28.36932,0.015,-5.06595,33.43527,0.038,11.14509,-8.10552,-0.055,,11,Month,February,4,538.0,-4.05276,7.09233,-7.09233,87.13434,87.13434,10.1319,February,,,23.30337,,,-20.2638,7,0.636
5,10.1319,47.61993,-47.61993,154,March,-69.91011,59.77821,32.42208,0.027,-79.02882,-8.10552,0.021,27.35613,-8.10552,-0.071,,16,Month,March,8,768.0,-95.23986,-3.03957,3.03957,8.10552,8.10552,-165.14997,March,,,42.55398,,,-42.55398,8,0.5
6,41.54079,14.18466,-14.18466,154,April,11.14509,-9.11871,13.17147,0.094,-32.42208,31.40889,0.076,7.09233,-11.14509,-0.099,,7,Month,April,1,341.0,-38.50122,-15.19785,15.19785,64.84416,64.84416,-27.35613,April,,,22.29018,,,-21.27699,6,0.857
0,81.0552,119.55642,-119.55642,156,Pre All-Star,-99.29262,189.46653,87.13434,0.016,-89.16072,72.94968,0.025,83.08158,-21.27699,-0.057,,53,Pre/Post All-Star,Pre All-Star,18,2569.0,-118.54323,-94.22667,94.22667,211.75671,211.75671,-217.83585,,Pre All-Star,,63.83097,,,-126.64875,35,0.66
1,53.69907,84.09477,-84.09477,156,Post All-Star,-36.47484,95.23986,66.87054,0.043,-100.30581,54.71226,0.041,15.19785,-32.42208,-0.062,,29,Pre/Post All-Star,Post All-Star,11,1397.0,-131.7147,-3.03957,3.03957,143.87298,143.87298,-168.18954,,Post All-Star,,63.83097,,,-72.94968,18,0.621
0,56.73864,37.48803,-37.48803,152,0 Days Rest,-64.84416,55.72545,35.46165,0.034,-15.19785,30.3957,0.022,23.30337,-26.34294,-0.084,,20,Days Rest,0 Days Rest,8,970.0,-60.7914,-27.35613,27.35613,69.91011,69.91011,-125.63556,,,,40.5276,0 Days Rest,,-75.98925,12,0.6
1,95.23986,129.68832,-129.68832,152,1 Days Rest,-26.34294,182.3742,108.41133,0.04,-170.21592,74.97606,0.041,84.09477,-6.07914,-0.057,,44,Days Rest,1 Days Rest,13,2132.0,-149.95212,-62.81778,62.81778,252.28431,252.28431,-176.29506,,,,54.71226,1 Days Rest,,-65.85735,31,0.705
2,-15.19785,24.31656,-24.31656,152,2 Days Rest,-45.59355,44.58036,6.07914,-0.028,-5.06595,1.01319,0.003,5.06595,-15.19785,-0.056,,13,Days Rest,2 Days Rest,7,624.0,-32.42208,-19.25061,19.25061,-7.09233,-7.09233,-78.01563,,,,26.34294,2 Days Rest,,-46.60674,6,0.462
3,8.10552,3.03957,-3.03957,152,3 Days Rest,3.03957,0.0,5.06595,0.102,5.06595,10.1319,0.047,-20.2638,-4.05276,0.244,,2,Days Rest,3 Days Rest,0,96.0,-5.06595,11.14509,-11.14509,21.27699,21.27699,-2.02638,,,,2.02638,3 Days Rest,,-4.05276,2,1.0
4,-10.1319,-2.02638,2.02638,152,4 Days Rest,-10.1319,-1.01319,-4.05276,-0.118,15.19785,6.07914,-0.021,-12.15828,-15.19785,-0.194,,1,Days Rest,4 Days Rest,1,48.0,1.01319,5.06595,-5.06595,-7.09233,-7.09233,-9.11871,,,,7.09233,4 Days Rest,,-8.10552,0,0.0
5,-4.05276,6.07914,-6.07914,152,5 Days Rest,-1.01319,-5.06595,-5.06595,-0.143,-14.18466,1.01319,0.089,13.17147,10.1319,0.066,,1,Days Rest,5 Days Rest,0,48.0,-6.07914,-8.10552,8.10552,7.09233,7.09233,-7.09233,,,,0.0,5 Days Rest,,-3.03957,1,1.0
6,4.05276,5.06595,-5.06595,152,6+ Days Rest,9.11871,8.10552,8.10552,0.245,-5.06595,4.05276,0.078,5.06595,3.03957,-0.05,,1,Days Rest,6+ Days Rest,0,48.0,3.03957,4.05276,-4.05276,19.25061,19.25061,12.15828,,,,-3.03957,6+ Days Rest,,4.05276,1,1.0
