,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,4,7,4,0.571,,0,0,0.0,2.54,5,0.545,1,0021500624,38:13,3,39,2772,Trevor Ariza,8,1,3.96,F,58,HOU,Houston,1610612745,4,2,0.5
1,0,6,2,0.333,,3,2,0.667,1.25,4,0.429,0,0021500624,16:47,4,15,203991,Clint Capela,8,0,4.46,F,25,HOU,Houston,1610612745,1,1,1.0
2,4,12,8,0.667,,4,3,0.75,2.83,19,0.688,0,0021500624,45:29,13,76,2730,Dwight Howard,32,2,3.71,C,106,HOU,Houston,1610612745,4,3,0.75
3,8,7,3,0.429,,1,1,1.0,2.42,6,0.417,0,0021500624,40:21,4,57,201935,James Harden,10,2,3.58,G,84,HOU,Houston,1610612745,5,2,0.4
4,0,1,0,0.0,,0,0,0.0,1.22,3,0.0,0,0021500624,16:19,1,28,201976,Patrick Beverley,4,0,4.45,G,32,HOU,Houston,1610612745,1,0,0.0
5,1,5,3,0.6,,4,2,0.5,1.42,6,0.4,1,0021500624,19:39,5,29,203093,Terrence Jones,11,0,4.32,,45,HOU,Houston,1610612745,5,1,0.2
6,5,1,0,0.0,,2,1,0.5,1.57,3,0.0,2,0021500624,21:59,1,39,201951,Ty Lawson,4,1,4.28,,42,HOU,Houston,1610612745,1,0,0.0
7,3,4,2,0.5,,1,1,1.0,1.52,4,0.5,1,0021500624,20:22,3,13,201147,Corey Brewer,7,1,4.46,,22,HOU,Houston,1610612745,4,2,0.5
8,5,9,6,0.667,,0,0,0.0,1.53,3,0.6,1,0021500624,21:52,1,22,201977,Marcus Thornton,4,0,4.17,,40,HOU,Houston,1610612745,6,3,0.5
9,0,0,0,0.0,,0,0,0.0,0.36,1,0.0,0,0021500624,4:47,0,4,1626149,Montrezl Harrell,1,0,4.49,,5,HOU,Houston,1610612745,0,0,0.0
10,0,0,0,0.0,,0,0,0.0,0.03,0,0.0,0,0021500624,0:27,0,0,203909,KJ McDaniels,0,0,4.04,,0,HOU,Houston,1610612745,0,0,0.0
11,1,0,0,0.0,,0,0,0.0,1.19,2,0.4,1,0021500624,18:45,0,20,1891,Jason Terry,2,0,3.78,,27,HOU,Houston,1610612745,5,2,0.4
12,2,2,2,1.0,,2,2,1.0,1.49,3,1.0,0,0021500624,20:30,1,20,201601,Luc Mbah a Moute,4,1,4.33,F,24,LAC,Los Angeles,1610612746,0,0,0.0
13,1,6,2,0.333,,5,2,0.4,1.56,8,0.444,0,0021500624,25:57,1,33,1718,Paul Pierce,9,1,3.59,F,44,LAC,Los Angeles,1610612746,3,2,0.667
14,0,3,2,0.667,,14,8,0.571,2.5,20,0.857,1,0021500624,41:01,4,51,201599,DeAndre Jordan,24,0,3.64,C,59,LAC,Los Angeles,1610612746,4,4,1.0
15,2,10,3,0.3,,1,1,1.0,2.65,2,0.579,0,0021500624,38:30,1,17,200755,JJ Redick,3,0,4.11,G,39,LAC,Los Angeles,1610612746,9,8,0.889
16,12,4,1,0.25,,2,2,1.0,2.79,14,0.533,0,0021500624,42:31,2,67,101108,Chris Paul,16,3,3.92,G,97,LAC,Los Angeles,1610612746,11,7,0.636
17,1,4,3,0.75,,6,4,0.667,0.74,4,0.6,0,0021500624,11:30,3,20,202332,Cole Aldrich,7,0,3.84,,26,LAC,Los Angeles,1610612746,1,0,0.0
18,5,6,2,0.333,,2,2,1.0,2.43,2,0.533,0,0021500624,36:09,0,25,2037,Jamal Crawford,2,0,4.01,,44,LAC,Los Angeles,1610612746,9,6,0.667
19,4,5,1,0.2,,4,2,0.5,1.5,6,0.333,0,0021500624,20:59,2,23,202325,Wesley Johnson,8,0,4.28,,37,LAC,Los Angeles,1610612746,7,3,0.429
20,0,2,0,0.0,,1,0,0.0,1.25,1,0.2,0,0021500624,17:24,2,12,203085,Austin Rivers,3,0,4.29,,19,LAC,Los Angeles,1610612746,3,1,0.333
21,1,2,0,0.0,,0,0,0.0,0.8,0,0.0,0,0021500624,10:29,2,18,203143,Pablo Prigioni,2,3,4.55,,25,LAC,Los Angeles,1610612746,0,0,0.0
22,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500624,0:00,0,0,2746,Josh Smith,0,0,0.0,,0,LAC,Los Angeles,1610612746,0,0,0.0
23,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500624,0:00,0,0,202362,Lance Stephenson,0,0,0.0,,0,LAC,Los Angeles,1610612746,0,0,0.0
24,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500624,0:00,0,0,203912,CJ Wilcox,0,0,0.0,,0,LAC,Los Angeles,1610612746,0,0,0.0
