,COMMENT,GAME_ID,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,USG_PCT
0,,0021500505,22:60,0.154,0.667,0.5,0.071,0.222,0.5,0.182,0.25,0.0,0.0,0.0,0.25,0.0,0.225,0.05,0.0,0.333,203960,JaKarr Sampson,F,PHI,Philadelphia,1610612755,0.182
1,,0021500505,25:36,0.0,0.0,0.25,0.067,0.333,0.25,0.163,0.13,0.4,0.333,0.0,0.167,0.375,0.151,0.048,0.0,0.0,203924,Jerami Grant,F,PHI,Philadelphia,1610612755,0.15
2,,0021500505,22:20,0.091,0.5,0.0,0.385,0.0,0.0,0.22,0.375,0.429,0.333,0.6,0.182,0.375,0.361,0.444,0.0,0.125,203457,Nerlens Noel,C,PHI,Philadelphia,1610612755,0.217
3,,0021500505,15:03,0.143,0.0,0.2,0.0,0.333,0.0,0.161,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.182,0.5,0.0,203477,Isaiah Canaan,G,PHI,Philadelphia,1610612755,0.142
4,,0021500505,23:08,0.714,0.0,0.0,0.067,0.0,0.0,0.205,0.1,0.0,0.0,0.0,0.2,0.125,0.089,0.05,1.0,0.286,202397,Ish Smith,G,PHI,Philadelphia,1610612755,0.203
5,,0021500505,28:18,0.214,0.0,0.0,0.286,0.5,0.75,0.192,0.261,0.0,0.0,0.0,0.25,0.182,0.3,0.211,0.0,0.167,203917,Nik Stauskas,,PHI,Philadelphia,1610612755,0.171
6,,0021500505,17:53,0.091,0.0,0.0,0.2,0.0,0.0,0.483,0.556,0.75,0.75,0.667,0.0,0.333,0.523,0.308,0.0,0.2,1626143,Jahlil Okafor,,PHI,Philadelphia,1610612755,0.47
7,,0021500505,17:11,0.077,1.0,1.0,0.625,0.111,0.0,0.094,0.053,0.0,0.0,0.0,0.222,0.0,0.044,0.5,0.0,0.5,203496,Robert Covington,,PHI,Philadelphia,1610612755,0.112
8,,0021500505,18:33,0.5,0.0,0.0,0.167,0.083,0.0,0.086,0.0,0.0,0.0,0.0,0.222,0.333,0.0,0.111,0.6,0.5,204456,TJ McConnell,,PHI,Philadelphia,1610612755,0.103
9,,0021500505,17:12,0.231,0.0,0.0,0.0,0.417,0.25,0.233,0.077,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.4,203088,Kendall Marshall,,PHI,Philadelphia,1610612755,0.234
10,,0021500505,16:01,0.077,0.0,0.0,0.5,0.0,0.0,0.241,0.308,0.75,1.0,0.5,0.5,0.6,0.333,0.5,0.333,0.25,201171,Carl Landry,,PHI,Philadelphia,1610612755,0.291
11,,0021500505,15:46,0.0,0.0,1.0,0.2,0.083,0.0,0.207,0.308,0.0,0.0,0.5,0.0,0.0,0.242,0.286,0.167,0.0,1626158,Richaun Holmes,,PHI,Philadelphia,1610612755,0.168
12,DND - Right eye corneal abrasion.       ,0021500505,,,,,,,,,,,,,,,,,,,203138,Hollis Thompson,,PHI,Philadelphia,1610612755,0.0
