,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.033,6.7,0.5,,107.9,0.1,0.727,0021500967,45:59,-3.7,104.3,0.026,98.87,0.085,201967,Dante Cunningham,0.067,F,NOP,New Orleans,1610612740,13.4,0.715,0.137
1,0.077,7.7,0.67,,108.7,0.234,0.529,0021500967,46:30,-13.8,94.8,0.041,101.59,0.147,203076,Anthony Davis,0.135,F,NOP,New Orleans,1610612740,11.6,0.596,0.212
2,0.0,0.0,0.0,,75.6,0.15,0.0,0021500967,12:52,26.5,102.1,0.133,104.75,0.022,201600,Omer Asik,0.143,C,NOP,New Orleans,1610612740,0.0,0.0,0.062
3,0.194,24.2,3.0,,110.3,0.14,0.367,0021500967,41:44,0.6,110.9,0.031,99.32,0.031,201962,Toney Douglas,0.093,G,NOP,New Orleans,1610612740,8.1,0.358,0.203
4,0.4,20.7,1.43,,113.5,0.122,0.481,0021500967,40:31,-1.4,112.1,0.0,103.45,0.13,201950,Jrue Holiday,0.06,G,NOP,New Orleans,1610612740,14.5,0.541,0.369
5,0.143,11.5,1.0,,121.0,0.2,0.529,0021500967,36:36,-24.4,96.6,0.211,100.51,0.163,201583,Ryan Anderson,0.206,,NOP,New Orleans,1610612740,11.5,0.598,0.255
6,0.0,0.0,0.0,,125.8,0.211,0.0,0021500967,25:23,-23.4,102.4,0.0,102.29,0.01,202087,Alonzo Gee,0.08,,NOP,New Orleans,1610612740,0.0,0.0,0.013
7,0.0,0.0,0.0,,81.0,0.2,0.0,0021500967,4:47,-53.4,27.6,0.0,104.16,-0.571,203111,Orlando Johnson,0.083,,NOP,New Orleans,1610612740,0.0,0.0,0.368
8,0.2,25.0,0.0,,91.0,0.2,0.333,0021500967,10:39,-31.5,59.5,0.045,108.82,-0.021,202337,Luke Babbitt,0.094,,NOP,New Orleans,1610612740,0.0,0.333,0.088
9,,0.0,,DND - Fractured Sternum                 ,,,,0021500967,,,,,,,201582,Alexis Ajinca,,,NOP,New Orleans,1610612740,,,0.0
10,,0.0,,DND - Lower Back                        ,,,,0021500967,,,,,,,202708,Norris Cole,,,NOP,New Orleans,1610612740,,,0.0
11,,0.0,,NWT - Fractured Right Ring Finger       ,,,,0021500967,,,,,,,201569,Eric Gordon,,,NOP,New Orleans,1610612740,,,0.0
12,,0.0,,DNP - Coach's Decision                  ,,,,0021500967,,,,,,,2570,Kendrick Perkins,,,NOP,New Orleans,1610612740,,,0.0
13,0.323,31.6,0.0,,107.3,0.214,0.526,0021500967,43:36,5.5,112.8,0.047,101.57,0.184,2440,Matt Barnes,0.129,F,MEM,Memphis,1610612763,0.0,0.601,0.216
14,0.036,5.3,1.0,,93.5,0.146,0.6,0021500967,38:03,25.4,118.9,0.118,101.61,0.129,203210,JaMychal Green,0.133,F,MEM,Memphis,1610612763,5.3,0.626,0.202
15,0.0,0.0,0.0,,109.4,0.067,0.667,0021500967,12:34,-31.7,77.6,0.067,99.85,0.0,200797,Ryan Hollins,0.067,C,MEM,Memphis,1610612763,34.0,0.515,0.198
16,0.033,6.9,0.33,,95.0,0.068,0.4,0021500967,36:31,15.5,110.5,0.029,103.69,0.034,2754,Tony Allen,0.051,G,MEM,Memphis,1610612763,20.8,0.383,0.157
17,0.233,44.1,3.5,,117.7,0.108,0.667,0021500967,39:42,-6.6,111.0,0.024,100.49,0.105,1627362,Briante Weber,0.063,G,MEM,Memphis,1610612763,12.6,0.727,0.096
18,0.067,8.0,1.0,,98.0,0.12,0.4,0021500967,24:02,-4.6,93.5,0.037,99.97,0.006,203798,PJ Hairston,0.077,,MEM,Memphis,1610612763,8.0,0.383,0.228
19,0.143,16.8,0.0,,98.2,0.133,0.333,0021500967,21:16,3.5,101.7,0.0,99.41,0.04,1626185,Jarell Martin,0.05,,MEM,Memphis,1610612763,0.0,0.304,0.223
20,0.111,17.0,0.0,,59.3,0.313,0.375,0021500967,11:27,39.9,99.2,0.0,109.33,0.258,1713,Vince Carter,0.167,,MEM,Memphis,1610612763,0.0,0.512,0.179
21,0.16,13.2,4.0,,98.1,0.175,0.625,0021500967,37:48,26.1,124.2,0.0,100.24,0.205,202362,Lance Stephenson,0.099,,MEM,Memphis,1610612763,3.3,0.653,0.319
22,,0.0,,DND - Left Shoulder Subluxation         ,,,,0021500967,,,,,,,2365,Chris Andersen,,,MEM,Memphis,1610612763,,,0.0
23,,0.0,,DND - Sore Left Foot                    ,,,,0021500967,,,,,,,201144,Mike Conley,,,MEM,Memphis,1610612763,,,0.0
24,,0.0,,DND - Sore Right Knee                   ,,,,0021500967,,,,,,,2216,Zach Randolph,,,MEM,Memphis,1610612763,,,0.0
