,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.537,0.259,0021500851,28:57,0.637,0.294,0.174,0.085,0.226,977,Kobe Bryant,F,LAL,Los Angeles,1610612747,0.086
1,,0.517,0.237,0021500851,33:20,0.619,0.356,0.185,0.073,0.194,203944,Julius Randle,F,LAL,Los Angeles,1610612747,0.107
2,,0.5,0.192,0021500851,16:00,0.645,0.29,0.231,0.086,0.063,201579,Roy Hibbert,C,LAL,Los Angeles,1610612747,0.155
3,,0.541,0.338,0021500851,40:31,0.66,0.347,0.226,0.084,0.283,203903,Jordan Clarkson,G,LAL,Los Angeles,1610612747,0.089
4,,0.542,0.333,0021500851,32:52,0.658,0.421,0.269,0.062,0.206,1626156,D'Angelo Russell,G,LAL,Los Angeles,1610612747,0.075
5,,0.536,0.5,0021500851,22:37,0.585,0.22,0.19,0.146,0.417,101150,Lou Williams,,LAL,Los Angeles,1610612747,0.046
6,,0.571,0.524,0021500851,22:22,0.566,0.395,0.286,0.115,0.348,101138,Brandon Bass,,LAL,Los Angeles,1610612747,0.044
7,,0.544,0.559,0021500851,19:03,0.647,0.412,0.313,0.102,0.381,201156,Nick Young,,LAL,Los Angeles,1610612747,0.055
8,,0.586,0.655,0021500851,14:40,0.692,0.308,0.333,0.136,0.5,1626204,Larry Nance Jr.,,LAL,Los Angeles,1610612747,0.0
9,,0.525,0.3,0021500851,9:38,0.813,0.313,0.0,0.052,0.462,204028,Tarik Black,,LAL,Los Angeles,1610612747,0.0
10,DNP - Coach's Decision                  ,,,0021500851,,,,,,,1626148,Anthony Brown,,LAL,Los Angeles,1610612747,
11,DNP - Coach's Decision                  ,,,0021500851,,,,,,,1626273,Marcelo Huertas,,LAL,Los Angeles,1610612747,
12,DNP - Coach's Decision                  ,,,0021500851,,,,,,,203527,Ryan Kelly,,LAL,Los Angeles,1610612747,
13,,0.646,0.354,0021500851,37:07,0.567,0.343,0.237,0.081,0.281,2440,Matt Barnes,F,MEM,Memphis,1610612763,0.108
14,,0.63,0.413,0021500851,25:17,0.591,0.25,0.125,0.098,0.2,203210,JaMychal Green,F,MEM,Memphis,1610612763,0.038
15,,0.704,0.296,0021500851,29:02,0.481,0.34,0.257,0.104,0.182,2216,Zach Randolph,C,MEM,Memphis,1610612763,0.066
16,,0.643,0.31,0021500851,22:30,0.539,0.237,0.091,0.111,0.158,203798,PJ Hairston,G,MEM,Memphis,1610612763,0.063
17,,0.648,0.278,0021500851,29:24,0.509,0.255,0.242,0.086,0.174,201144,Mike Conley,G,MEM,Memphis,1610612763,0.066
18,,0.647,0.265,0021500851,18:22,0.559,0.618,0.4,0.028,0.25,201596,Mario Chalmers,,MEM,Memphis,1610612763,0.128
19,,0.59,0.41,0021500851,23:17,0.57,0.558,0.4,0.044,0.286,202362,Lance Stephenson,,MEM,Memphis,1610612763,0.13
20,,0.649,0.378,0021500851,21:58,0.537,0.463,0.4,0.071,0.294,201148,Brandan Wright,,MEM,Memphis,1610612763,0.136
21,,0.706,0.559,0021500851,20:56,0.464,0.429,0.414,0.05,0.308,1713,Vince Carter,,MEM,Memphis,1610612763,0.073
22,,0.333,0.0,0021500851,2:56,0.5,0.667,0.667,0.0,0.0,1626185,Jarell Martin,,MEM,Memphis,1610612763,0.4
23,,0.5,0.067,0021500851,8:08,0.625,0.125,0.333,0.0,0.222,2365,Chris Andersen,,MEM,Memphis,1610612763,0.13
24,,0.0,0.0,0021500851,1:03,1.5,2.0,0.0,0.0,0.0,203516,James Ennis,,MEM,Memphis,1610612763,0.0
25,DNP - Coach's Decision                  ,,,0021500851,,,,,,,2754,Tony Allen,,MEM,Memphis,1610612763,
