,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.547,0.338,0021500967,45:59,0.512,0.306,0.2,0.094,0.179,201967,Dante Cunningham,F,NOP,New Orleans,1610612740,0.17
1,,0.441,0.353,0021500967,46:30,0.5,0.369,0.191,0.083,0.265,203076,Anthony Davis,F,NOP,New Orleans,1610612740,0.15
2,,0.44,0.4,0021500967,12:52,0.352,0.148,0.2,0.108,0.267,201600,Omer Asik,C,NOP,New Orleans,1610612740,0.106
3,,0.581,0.353,0021500967,41:44,0.526,0.303,0.209,0.105,0.188,201962,Toney Douglas,G,NOP,New Orleans,1610612740,0.162
4,,0.519,0.39,0021500967,40:31,0.541,0.351,0.22,0.105,0.357,201950,Jrue Holiday,G,NOP,New Orleans,1610612740,0.157
5,,0.47,0.333,0021500967,36:36,0.581,0.387,0.167,0.082,0.289,201583,Ryan Anderson,,NOP,New Orleans,1610612740,0.188
6,,0.429,0.449,0021500967,25:23,0.614,0.386,0.158,0.076,0.323,202087,Alonzo Gee,,NOP,New Orleans,1610612740,0.126
7,,0.111,0.222,0021500967,4:47,0.333,0.222,0.0,0.0,0.0,203111,Orlando Johnson,,NOP,New Orleans,1610612740,0.092
8,,0.222,0.185,0021500967,10:39,0.474,0.368,0.1,0.087,0.409,202337,Luke Babbitt,,NOP,New Orleans,1610612740,0.198
9,DND - Fractured Sternum                 ,,,0021500967,,,,,,,201582,Alexis Ajinca,,NOP,New Orleans,1610612740,
10,DND - Lower Back                        ,,,0021500967,,,,,,,202708,Norris Cole,,NOP,New Orleans,1610612740,
11,NWT - Fractured Right Ring Finger       ,,,0021500967,,,,,,,201569,Eric Gordon,,NOP,New Orleans,1610612740,
12,DNP - Coach's Decision                  ,,,0021500967,,,,,,,2570,Kendrick Perkins,,NOP,New Orleans,1610612740,
13,,0.538,0.359,0021500967,43:36,0.506,0.385,0.357,0.182,0.209,2440,Matt Barnes,F,MEM,Memphis,1610612763,0.11
14,,0.565,0.391,0021500967,38:03,0.449,0.309,0.22,0.16,0.235,203210,JaMychal Green,F,MEM,Memphis,1610612763,0.088
15,,0.391,0.174,0021500967,12:34,0.462,0.308,0.333,0.075,0.267,200797,Ryan Hollins,C,MEM,Memphis,1610612763,0.194
16,,0.545,0.299,0021500967,36:31,0.423,0.352,0.341,0.163,0.235,2754,Tony Allen,G,MEM,Memphis,1610612763,0.129
17,,0.514,0.403,0021500967,39:42,0.541,0.356,0.351,0.133,0.214,1627362,Briante Weber,G,MEM,Memphis,1610612763,0.096
18,,0.455,0.159,0021500967,24:02,0.477,0.364,0.2,0.132,0.111,203798,PJ Hairston,,MEM,Memphis,1610612763,0.064
19,,0.461,0.316,0021500967,21:16,0.578,0.344,0.0,0.196,0.08,1626185,Jarell Martin,,MEM,Memphis,1610612763,0.024
20,,0.438,0.208,0021500967,11:27,0.25,0.45,0.125,0.185,0.143,1713,Vince Carter,,MEM,Memphis,1610612763,0.04
21,,0.592,0.431,0021500967,37:48,0.463,0.353,0.275,0.161,0.161,202362,Lance Stephenson,,MEM,Memphis,1610612763,0.065
22,DND - Left Shoulder Subluxation         ,,,0021500967,,,,,,,2365,Chris Andersen,,MEM,Memphis,1610612763,
23,DND - Sore Left Foot                    ,,,0021500967,,,,,,,201144,Mike Conley,,MEM,Memphis,1610612763,
24,DND - Sore Right Knee                   ,,,0021500967,,,,,,,2216,Zach Randolph,,MEM,Memphis,1610612763,
