,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0.0,1.0,,0021500851,28:57,9.0,15.0,9.0,28.0,2.0,1.0,977,Kobe Bryant,0.0,0.0,0.0,0.0,F,LAL,Los Angeles,1610612747
1,0.0,1.0,,0021500851,33:20,11.0,19.0,13.0,36.0,2.0,5.0,203944,Julius Randle,4.0,1.0,2.0,8.0,F,LAL,Los Angeles,1610612747
2,2.0,0.0,,0021500851,16:00,7.0,15.0,9.0,16.0,4.0,1.0,201579,Roy Hibbert,0.0,0.0,0.0,0.0,C,LAL,Los Angeles,1610612747
3,0.0,0.0,,0021500851,40:31,13.0,19.0,13.0,46.0,3.0,2.0,203903,Jordan Clarkson,0.0,3.0,0.0,6.0,G,LAL,Los Angeles,1610612747
4,0.0,1.0,,0021500851,32:52,14.0,15.0,11.0,34.0,0.0,2.0,1626156,D'Angelo Russell,0.0,4.0,2.0,8.0,G,LAL,Los Angeles,1610612747
5,0.0,0.0,,0021500851,22:37,9.0,4.0,2.0,28.0,1.0,4.0,101150,Lou Williams,3.0,8.0,0.0,0.0,,LAL,Los Angeles,1610612747
6,1.0,1.0,,0021500851,22:22,11.0,4.0,4.0,30.0,3.0,3.0,101138,Brandon Bass,4.0,0.0,2.0,6.0,,LAL,Los Angeles,1610612747
7,0.0,0.0,,0021500851,19:03,9.0,4.0,4.0,26.0,2.0,1.0,201156,Nick Young,3.0,0.0,2.0,0.0,,LAL,Los Angeles,1610612747
8,0.0,0.0,,0021500851,14:40,7.0,0.0,0.0,18.0,1.0,1.0,1626204,Larry Nance Jr.,3.0,2.0,0.0,2.0,,LAL,Los Angeles,1610612747
9,0.0,0.0,,0021500851,9:38,0.0,0.0,0.0,8.0,3.0,0.0,204028,Tarik Black,0.0,0.0,0.0,0.0,,LAL,Los Angeles,1610612747
10,,,DNP - Coach's Decision                  ,0021500851,,,,,,,,1626148,Anthony Brown,,,,,,LAL,Los Angeles,1610612747
11,,,DNP - Coach's Decision                  ,0021500851,,,,,,,,1626273,Marcelo Huertas,,,,,,LAL,Los Angeles,1610612747
12,,,DNP - Coach's Decision                  ,0021500851,,,,,,,,203527,Ryan Kelly,,,,,,LAL,Los Angeles,1610612747
13,1.0,0.0,,0021500851,37:07,8.0,16.0,8.0,26.0,3.0,2.0,2440,Matt Barnes,5.0,2.0,2.0,6.0,F,MEM,Memphis,1610612763
14,0.0,1.0,,0021500851,25:17,2.0,6.0,0.0,12.0,2.0,2.0,203210,JaMychal Green,2.0,7.0,2.0,8.0,F,MEM,Memphis,1610612763
15,0.0,1.0,,0021500851,29:02,9.0,6.0,0.0,12.0,3.0,4.0,2216,Zach Randolph,4.0,0.0,0.0,4.0,C,MEM,Memphis,1610612763
16,0.0,0.0,,0021500851,22:30,0.0,6.0,0.0,10.0,1.0,2.0,203798,PJ Hairston,3.0,6.0,2.0,2.0,G,MEM,Memphis,1610612763
17,0.0,1.0,,0021500851,29:24,7.0,9.0,2.0,14.0,1.0,2.0,201144,Mike Conley,0.0,0.0,3.0,12.0,G,MEM,Memphis,1610612763
18,0.0,0.0,,0021500851,18:22,13.0,11.0,6.0,14.0,2.0,1.0,201596,Mario Chalmers,0.0,0.0,0.0,2.0,,MEM,Memphis,1610612763
19,0.0,0.0,,0021500851,23:17,12.0,10.0,8.0,20.0,3.0,2.0,202362,Lance Stephenson,0.0,2.0,4.0,4.0,,MEM,Memphis,1610612763
20,2.0,0.0,,0021500851,21:58,15.0,11.0,6.0,16.0,3.0,4.0,201148,Brandan Wright,4.0,0.0,0.0,14.0,,MEM,Memphis,1610612763
21,1.0,0.0,,0021500851,20:56,13.0,5.0,4.0,12.0,2.0,1.0,1713,Vince Carter,0.0,2.0,0.0,2.0,,MEM,Memphis,1610612763
22,0.0,0.0,,0021500851,2:56,4.0,2.0,4.0,6.0,0.0,0.0,1626185,Jarell Martin,0.0,0.0,0.0,0.0,,MEM,Memphis,1610612763
23,0.0,0.0,,0021500851,8:08,2.0,8.0,2.0,8.0,0.0,1.0,2365,Chris Andersen,0.0,0.0,0.0,0.0,,MEM,Memphis,1610612763
24,0.0,0.0,,0021500851,1:03,0.0,0.0,0.0,0.0,0.0,0.0,203516,James Ennis,0.0,0.0,0.0,0.0,,MEM,Memphis,1610612763
25,,,DNP - Coach's Decision                  ,0021500851,,,,,,,,2754,Tony Allen,,,,,,MEM,Memphis,1610612763
