,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,4.0,0.0,,0021500967,45:59,12.0,14.0,18.0,50.0,5.0,1.0,201967,Dante Cunningham,0.0,5.0,5.0,10.0,F,NOP,New Orleans,1610612740
1,1.0,0.0,,0021500967,46:30,10.0,10.0,14.0,44.0,3.0,10.0,203076,Anthony Davis,5.0,3.0,0.0,12.0,F,NOP,New Orleans,1610612740
2,0.0,2.0,,0021500967,12:52,4.0,4.0,0.0,6.0,1.0,0.0,201600,Omer Asik,0.0,0.0,0.0,0.0,C,NOP,New Orleans,1610612740
3,0.0,3.0,,0021500967,41:44,10.0,10.0,14.0,40.0,6.0,2.0,201962,Toney Douglas,0.0,1.0,2.0,6.0,G,NOP,New Orleans,1610612740
4,1.0,1.0,,0021500967,40:31,10.0,10.0,14.0,46.0,4.0,7.0,201950,Jrue Holiday,3.0,5.0,0.0,18.0,G,NOP,New Orleans,1610612740
5,0.0,0.0,,0021500967,36:36,6.0,10.0,20.0,46.0,1.0,5.0,201583,Ryan Anderson,3.0,3.0,0.0,6.0,,NOP,New Orleans,1610612740
6,0.0,0.0,,0021500967,25:23,6.0,8.0,14.0,40.0,2.0,1.0,202087,Alonzo Gee,0.0,0.0,0.0,0.0,,NOP,New Orleans,1610612740
7,0.0,1.0,,0021500967,4:47,0.0,2.0,2.0,4.0,1.0,0.0,203111,Orlando Johnson,0.0,0.0,0.0,0.0,,NOP,New Orleans,1610612740
8,0.0,0.0,,0021500967,10:39,2.0,2.0,4.0,14.0,4.0,0.0,202337,Luke Babbitt,0.0,0.0,0.0,2.0,,NOP,New Orleans,1610612740
9,,,DND - Fractured Sternum                 ,0021500967,,,,,,,,201582,Alexis Ajinca,,,,,,NOP,New Orleans,1610612740
10,,,DND - Lower Back                        ,0021500967,,,,,,,,202708,Norris Cole,,,,,,NOP,New Orleans,1610612740
11,,,NWT - Fractured Right Ring Finger       ,0021500967,,,,,,,,201569,Eric Gordon,,,,,,NOP,New Orleans,1610612740
12,,,DNP - Coach's Decision                  ,0021500967,,,,,,,,2570,Kendrick Perkins,,,,,,NOP,New Orleans,1610612740
13,0.0,1.0,,0021500967,43:36,10.0,13.0,7.0,52.0,5.0,4.0,2440,Matt Barnes,4.0,0.0,2.0,8.0,F,MEM,Memphis,1610612763
14,1.0,1.0,,0021500967,38:03,4.0,15.0,5.0,28.0,5.0,4.0,203210,JaMychal Green,2.0,2.0,2.0,12.0,F,MEM,Memphis,1610612763
15,3.0,0.0,,0021500967,12:34,6.0,8.0,5.0,12.0,2.0,1.0,200797,Ryan Hollins,2.0,0.0,0.0,4.0,C,MEM,Memphis,1610612763
16,0.0,2.0,,0021500967,36:31,10.0,11.0,7.0,40.0,2.0,2.0,2754,Tony Allen,0.0,2.0,4.0,8.0,G,MEM,Memphis,1610612763
17,1.0,0.0,,0021500967,39:42,10.0,14.0,7.0,46.0,2.0,4.0,1627362,Briante Weber,2.0,0.0,0.0,2.0,G,MEM,Memphis,1610612763
18,0.0,0.0,,0021500967,24:02,6.0,6.0,2.0,30.0,5.0,1.0,203798,PJ Hairston,0.0,4.0,0.0,6.0,,MEM,Memphis,1610612763
19,1.0,1.0,,0021500967,21:16,1.0,8.0,0.0,18.0,1.0,1.0,1626185,Jarell Martin,0.0,0.0,2.0,4.0,,MEM,Memphis,1610612763
20,0.0,0.0,,0021500967,11:27,1.0,3.0,0.0,8.0,1.0,2.0,1713,Vince Carter,0.0,2.0,0.0,0.0,,MEM,Memphis,1610612763
21,1.0,1.0,,0021500967,37:48,7.0,7.0,2.0,36.0,3.0,8.0,202362,Lance Stephenson,2.0,4.0,10.0,14.0,,MEM,Memphis,1610612763
22,,,DND - Left Shoulder Subluxation         ,0021500967,,,,,,,,2365,Chris Andersen,,,,,,MEM,Memphis,1610612763
23,,,DND - Sore Left Foot                    ,0021500967,,,,,,,,201144,Mike Conley,,,,,,MEM,Memphis,1610612763
24,,,DND - Sore Right Knee                   ,0021500967,,,,,,,,2216,Zach Randolph,,,,,,MEM,Memphis,1610612763
