,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,-96.25305,-120.56961,120.56961,-216.82266,-672.75816,-296.86467,-0.033,405.276,72.94968,-0.016,-84.09477,-35.46165,0.014,82,,,Overall,2015-16,40,3966.0,87.13434,51.67269,-51.67269,-186.42696,-186.42696,-129.68832,149.95212,MEM,1610612763.0,Memphis Grizzlies,-240.12603,42,0.512
0,9.11871,-16.21104,16.21104,-12.15828,-44.58036,-10.1319,0.059,29.38251,9.11871,-0.01,17.22423,24.31656,0.113,25,2754 - 201144 - 201188 - 201584 - 2216,"Allen,Tony - Conley,Mike - Gasol,Marc - Lee,Courtney - Randolph,Zach",Lineups,,10,260.94,1.01319,-10.1319,10.1319,32.42208,32.42208,-11.14509,19.25061,,,,-33.43527,15,0.6
1,6.07914,8.10552,-8.10552,-15.19785,-10.1319,-1.01319,0.027,-10.1319,-1.01319,0.01,-22.29018,-19.25061,-0.018,26,2440 - 201144 - 201188 - 201145 - 201584,"Barnes,Matt - Conley,Mike - Gasol,Marc - Green,Jeff - Lee,Courtney",Lineups,,13,199.086666667,-17.22423,18.23742,-18.23742,-22.29018,-22.29018,-32.42208,2.02638,,,,-6.07914,13,0.5
2,-20.2638,-4.05276,4.05276,-10.1319,-49.64631,-21.27699,-0.074,-9.11871,-14.18466,-0.036,14.18466,6.07914,-0.071,18,2754 - 201144 - 201188 - 201145 - 2216,"Allen,Tony - Conley,Mike - Gasol,Marc - Green,Jeff - Randolph,Zach",Lineups,,6,166.526666667,3.03957,-20.2638,20.2638,-43.56717,-43.56717,-7.09233,-3.03957,,,,0.0,12,0.667
3,-6.07914,-7.09233,7.09233,-25.32975,-15.19785,-12.15828,-0.137,17.22423,-7.09233,-0.087,16.21104,14.18466,0.041,25,201144 - 201188 - 201145 - 201584 - 2216,"Conley,Mike - Gasol,Marc - Green,Jeff - Lee,Courtney - Randolph,Zach",Lineups,,12,98.225,2.02638,-8.10552,8.10552,-12.15828,-12.15828,-23.30337,-1.01319,,,,-3.03957,13,0.52
4,2.02638,1.01319,-1.01319,-3.03957,-18.23742,-10.1319,-0.125,4.05276,1.01319,-0.006,-8.10552,-9.11871,-0.072,14,2754 - 201596 - 201188 - 201584 - 2216,"Allen,Tony - Chalmers,Mario - Gasol,Marc - Lee,Courtney - Randolph,Zach",Lineups,,4,82.8733333333,-3.03957,4.05276,-4.05276,-17.22423,-17.22423,-6.07914,4.05276,,,,0.0,10,0.714
5,-2.02638,5.06595,-5.06595,-1.01319,2.02638,-3.03957,-0.123,8.10552,-1.01319,-0.04,6.07914,-2.02638,-0.148,19,2440 - 201144 - 201188 - 201584 - 2216,"Barnes,Matt - Conley,Mike - Gasol,Marc - Lee,Courtney - Randolph,Zach",Lineups,,12,71.53,7.09233,-2.02638,2.02638,-7.09233,-7.09233,6.07914,-2.02638,,,,-3.03957,7,0.368
6,-4.05276,-11.14509,11.14509,-12.15828,-9.11871,-8.10552,-0.189,23.30337,-9.11871,-0.16,-15.19785,-14.18466,-0.033,5,2754 - 2365 - 2440 - 200770 - 2216,"Allen,Tony - Andersen,Chris - Barnes,Matt - Farmar,Jordan - Randolph,Zach",Lineups,,4,67.22,10.1319,3.03957,-3.03957,-40.5276,-40.5276,-2.02638,1.01319,,,,1.01319,1,0.2
7,2.02638,-2.02638,2.02638,1.01319,-20.2638,-4.05276,0.129,6.07914,10.1319,0.075,-6.07914,-8.10552,-0.1,11,2754 - 2440 - 201144 - 201188 - 201145,"Allen,Tony - Barnes,Matt - Conley,Mike - Gasol,Marc - Green,Jeff",Lineups,,3,56.3983333333,1.01319,5.06595,-5.06595,8.10552,8.10552,2.02638,2.02638,,,,-3.03957,8,0.727
8,-20.2638,-2.02638,2.02638,-9.11871,-1.01319,-5.06595,-0.226,3.03957,-8.10552,-0.111,6.07914,7.09233,0.125,5,2365 - 2440 - 201144 - 203798 - 2216,"Andersen,Chris - Barnes,Matt - Conley,Mike - Hairston,PJ - Randolph,Zach",Lineups,,2,51.95,0.0,-7.09233,7.09233,-14.18466,-14.18466,-9.11871,-2.02638,,,,-6.07914,3,0.6
9,10.1319,-3.03957,3.03957,17.22423,-13.17147,-1.01319,0.15,15.19785,14.18466,0.103,24.31656,15.19785,-0.062,10,2440 - 201144 - 201188 - 201145 - 2216,"Barnes,Matt - Conley,Mike - Gasol,Marc - Green,Jeff - Randolph,Zach",Lineups,,5,48.78,12.15828,-20.2638,20.2638,42.55398,42.55398,29.38251,-2.02638,,,,-2.02638,5,0.5
10,-1.01319,-2.02638,2.02638,5.06595,-22.29018,-5.06595,0.119,-1.01319,1.01319,0.021,7.09233,5.06595,-0.003,10,2754 - 201144 - 201188 - 201145 - 201584,"Allen,Tony - Conley,Mike - Gasol,Marc - Green,Jeff - Lee,Courtney",Lineups,,3,44.54,4.05276,-7.09233,7.09233,2.02638,2.02638,9.11871,8.10552,,,,-8.10552,7,0.7
11,-22.29018,-10.1319,10.1319,-13.17147,-11.14509,-11.14509,-0.242,16.21104,-15.19785,-0.26,-11.14509,-11.14509,-0.289,4,2754 - 2440 - 203210 - 200797 - 1627362,"Allen,Tony - Barnes,Matt - Green,JaMychal - Hollins,Ryan - Weber,Briante",Lineups,,3,42.4833333333,16.21104,6.07914,-6.07914,-52.68588,-52.68588,3.03957,-4.05276,,,,8.10552,1,0.25
12,-1.01319,3.03957,-3.03957,5.06595,-1.01319,0.0,0.016,-2.02638,5.06595,0.085,0.0,2.02638,0.095,6,2440 - 201144 - 203210 - 203798 - 2216,"Barnes,Matt - Conley,Mike - Green,JaMychal - Hairston,PJ - Randolph,Zach",Lineups,,2,41.5,-2.02638,5.06595,-5.06595,12.15828,12.15828,3.03957,2.02638,,,,-5.06595,4,0.667
13,1.01319,-1.01319,1.01319,3.03957,2.02638,-4.05276,-0.231,-3.03957,-1.01319,0.004,-1.01319,-1.01319,-0.008,9,2440 - 1713 - 201596 - 201145 - 200797,"Barnes,Matt - Carter,Vince - Chalmers,Mario - Green,Jeff - Hollins,Ryan",Lineups,,3,39.2883333333,-4.05276,1.01319,-1.01319,-7.09233,-7.09233,-1.01319,1.01319,,,,0.0,6,0.667
14,4.05276,3.03957,-3.03957,-3.03957,-5.06595,0.0,0.114,-10.1319,3.03957,0.137,-3.03957,-1.01319,0.052,17,2440 - 201596 - 201188 - 201145 - 201584,"Barnes,Matt - Chalmers,Mario - Gasol,Marc - Green,Jeff - Lee,Courtney",Lineups,,5,36.82,-8.10552,1.01319,-1.01319,5.06595,5.06595,-11.14509,3.03957,,,,0.0,12,0.706
