,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,-96.25305,-120.56961,120.56961,,-216.82266,-672.75816,-296.86467,-0.033,405.276,72.94968,-0.016,-84.09477,-35.46165,0.014,82,Overall,2015-16,40,3966.0,87.13434,51.67269,-51.67269,-186.42696,-186.42696,-129.68832,149.95212,MEM,1610612763,Memphis Grizzlies,-240.12603,,,42,0.512
0,1.01319,-3.03957,3.03957,On,-4.05276,-3.03957,-3.03957,-0.5,5.06595,2.02638,-0.024,3.03957,3.03957,0.115,2,On/Off Court,,2,14.6666666667,0.0,-3.03957,3.03957,4.05276,4.05276,-4.05276,4.05276,MEM,1610612763,Memphis Grizzlies,-4.05276,203919.0,"Adams, Jordan",0,0.0
1,-39.51441,-77.00244,77.00244,On,-61.80459,-341.44503,-128.67513,-0.011,172.2423,34.44846,-0.016,-48.63312,-33.43527,0.005,64,On/Off Court,,30,1619.82166667,69.91011,38.50122,-38.50122,-93.21348,-93.21348,8.10552,94.22667,MEM,1610612763,Memphis Grizzlies,-128.67513,2754.0,"Allen, Tony",34,0.531
2,-44.58036,-13.17147,13.17147,On,-40.5276,-49.64631,-32.42208,-0.085,42.55398,-13.17147,-0.053,2.02638,5.06595,0.021,20,On/Off Court,,13,366.448333333,1.01319,-5.06595,5.06595,-53.69907,-53.69907,-39.51441,19.25061,MEM,1610612763,Memphis Grizzlies,-29.38251,2365.0,"Andersen, Chris",7,0.35
3,-66.87054,-52.68588,52.68588,On,-132.72789,-295.85148,-136.78065,-0.03,243.1656,20.2638,-0.023,-145.89936,-118.54323,-0.004,76,On/Off Court,,38,2190.15333333,46.60674,94.22667,-94.22667,-214.79628,-214.79628,-86.12115,54.71226,MEM,1610612763,Memphis Grizzlies,-102.33219,2440.0,"Barnes, Matt",38,0.5
4,-21.27699,-34.44846,34.44846,On,-56.73864,-204.66438,-102.33219,-0.064,147.92574,43.56717,-0.012,-58.76502,-18.23742,0.046,60,On/Off Court,,27,1005.38666667,13.17147,8.10552,-8.10552,-33.43527,-33.43527,-43.56717,54.71226,MEM,1610612763,Memphis Grizzlies,-81.0552,1713.0,"Carter, Vince",33,0.55
5,30.3957,-11.14509,11.14509,On,-27.35613,-232.02051,-89.16072,-0.021,92.20029,62.81778,0.011,-55.72545,-12.15828,0.041,55,On/Off Court,,20,1252.93333333,-23.30337,37.48803,-37.48803,24.31656,24.31656,-50.6595,63.83097,MEM,1610612763,Memphis Grizzlies,-84.09477,201596.0,"Chalmers, Mario",35,0.636
6,-4.05276,-24.31656,24.31656,On,-100.30581,-289.77234,-102.33219,0.001,98.27943,43.56717,0.0,83.08158,80.04201,0.018,56,On/Off Court,,23,1760.47833333,-22.29018,-52.68588,52.68588,64.84416,64.84416,-122.59599,78.01563,MEM,1610612763,Memphis Grizzlies,-149.95212,201144.0,"Conley, Mike",33,0.589
7,-6.07914,1.01319,-1.01319,On,-3.03957,-4.05276,-3.03957,-0.6,-3.03957,-4.05276,-0.25,2.02638,1.01319,-0.25,5,On/Off Court,,4,6.05833333333,-2.02638,-2.02638,2.02638,-10.1319,-10.1319,-5.06595,0.0,MEM,1610612763,Memphis Grizzlies,0.0,203955.0,"Cotton, Bryce",1,0.2
8,-7.09233,-1.01319,1.01319,On,-6.07914,-2.02638,-7.09233,-0.25,-4.05276,-9.11871,-0.122,5.06595,1.01319,-0.104,10,On/Off Court,,4,39.5683333333,3.03957,-1.01319,1.01319,-24.31656,-24.31656,-3.03957,1.01319,MEM,1610612763,Memphis Grizzlies,-3.03957,203516.0,"Ennis, James",6,0.6
9,-37.48803,-22.29018,22.29018,On,-48.63312,-19.25061,-13.17147,-0.043,66.87054,-7.09233,-0.075,-36.47484,-37.48803,-0.068,12,On/Off Court,,10,291.293333333,21.27699,11.14509,-11.14509,-64.84416,-64.84416,-27.35613,8.10552,MEM,1610612763,Memphis Grizzlies,-15.19785,200770.0,"Farmar, Jordan",2,0.167
