,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,TEAM_ID,TEAM_NAME
0,342,708,358,0.506,187,74,0.396,895,432,0.483,0.138,56,3464,"Conley, Mike",201144,,made,1610612763,Memphis Grizzlies
1,163,554,265,0.478,128,38,0.297,682,303,0.444,0.116,76,2908,"Barnes, Matt",2440,,made,1610612763,Memphis Grizzlies
2,196,500,229,0.458,207,62,0.3,707,291,0.412,0.099,52,2482,"Gasol, Marc",201188,,made,1610612763,Memphis Grizzlies
3,211,471,235,0.499,147,58,0.395,618,293,0.474,0.092,55,2302,"Chalmers, Mario",201596,,made,1610612763,Memphis Grizzlies
4,142,317,137,0.432,164,65,0.396,481,202,0.42,0.088,68,2208,"Randolph, Zach",2216,,made,1610612763,Memphis Grizzlies
5,67,260,118,0.454,88,28,0.318,348,146,0.42,0.07,78,1747,"Green, JaMychal",203210,,made,1610612763,Memphis Grizzlies
6,98,260,121,0.465,96,39,0.406,356,160,0.449,0.065,53,1634,"Green, Jeff",201145,,made,1610612763,Memphis Grizzlies
7,76,256,115,0.449,68,20,0.294,324,135,0.417,0.054,51,1345,"Lee, Courtney",201584,,made,1610612763,Memphis Grizzlies
8,70,208,83,0.399,53,15,0.283,261,98,0.375,0.051,64,1280,"Allen, Tony",2754,,made,1610612763,Memphis Grizzlies
9,56,205,90,0.439,55,17,0.309,260,107,0.412,0.046,60,1155,"Carter, Vince",1713,,made,1610612763,Memphis Grizzlies
10,72,164,78,0.476,69,20,0.29,233,98,0.421,0.03,26,752,"Stephenson, Lance",202362,,made,1610612763,Memphis Grizzlies
11,37,126,56,0.444,44,10,0.227,170,66,0.388,0.022,12,559,"Farmar, Jordan",200770,,made,1610612763,Memphis Grizzlies
12,16,54,25,0.463,21,5,0.238,75,30,0.4,0.017,27,414,"Martin, Jarell",1626185,,made,1610612763,Memphis Grizzlies
13,9,40,16,0.4,13,5,0.385,53,21,0.396,0.016,20,394,"Andersen, Chris",2365,,made,1610612763,Memphis Grizzlies
14,27,95,40,0.421,18,5,0.278,113,45,0.398,0.015,10,385,"McCallum, Ray",203492,,made,1610612763,Memphis Grizzlies
15,22,69,33,0.478,25,6,0.24,94,39,0.415,0.015,14,374,"Munford, Xavier",204098,,made,1610612763,Memphis Grizzlies
16,10,56,20,0.357,9,2,0.222,65,22,0.338,0.014,30,352,"Hollins, Ryan",200797,,made,1610612763,Memphis Grizzlies
17,18,48,18,0.375,21,6,0.286,69,24,0.348,0.013,6,319,"Weber, Briante",1627362,,made,1610612763,Memphis Grizzlies
18,26,37,21,0.568,18,7,0.389,55,28,0.509,0.01,8,256,"Udrih, Beno",2757,,made,1610612763,Memphis Grizzlies
19,9,34,17,0.5,11,1,0.091,45,18,0.4,0.009,18,232,"Hairston, PJ",203798,,made,1610612763,Memphis Grizzlies
20,6,23,8,0.348,10,3,0.3,33,11,0.333,0.008,12,206,"Wright, Brandan",201148,,made,1610612763,Memphis Grizzlies
21,11,20,10,0.5,16,5,0.313,36,15,0.417,0.004,14,110,"Smith, Russ",203893,,made,1610612763,Memphis Grizzlies
22,3,12,7,0.583,2,1,0.5,14,8,0.571,0.003,5,84,"Williams, Elliot",202343,,made,1610612763,Memphis Grizzlies
23,2,8,2,0.25,2,1,0.5,10,3,0.3,0.002,4,55,"Johnson, Orlando",1962937406,,made,1610612763,Memphis Grizzlies
24,2,6,3,0.5,0,0,0.0,6,3,0.5,0.001,7,34,"Ennis, James",203516,,made,1610612763,Memphis Grizzlies
25,3,4,3,0.75,0,0,0.0,4,3,0.75,0.001,2,13,"Adams, Jordan",203919,,made,1610612763,Memphis Grizzlies
26,0,1,0,0.0,0,0,0.0,1,0,0.0,0.0,2,6,"Stokes, Jarnell",203950,,made,1610612763,Memphis Grizzlies
27,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1,2,"Cotton, Bryce",1962937348,,made,1610612763,Memphis Grizzlies
0,120,425,189,0.445,210,77,0.367,635,266,0.419,0.156,56,3908,,201144,"Conley, Mike",received,1610612763,Memphis Grizzlies
1,227,675,315,0.467,2,2,1.0,677,317,0.468,0.104,52,2610,,201188,"Gasol, Marc",received,1610612763,Memphis Grizzlies
2,60,233,104,0.446,130,43,0.331,363,147,0.405,0.102,55,2563,,201596,"Chalmers, Mario",received,1610612763,Memphis Grizzlies
3,209,755,356,0.472,21,6,0.286,776,362,0.466,0.09,68,2257,,2216,"Randolph, Zach",received,1610612763,Memphis Grizzlies
4,202,257,116,0.451,356,115,0.323,613,231,0.377,0.089,76,2243,,2440,"Barnes, Matt",received,1610612763,Memphis Grizzlies
5,113,357,163,0.457,133,42,0.316,490,205,0.418,0.067,53,1691,,201145,"Green, Jeff",received,1610612763,Memphis Grizzlies
6,140,262,128,0.489,138,51,0.37,400,179,0.448,0.063,51,1567,,201584,"Lee, Courtney",received,1610612763,Memphis Grizzlies
7,159,341,161,0.472,45,15,0.333,386,176,0.456,0.056,78,1392,,203210,"Green, JaMychal",received,1610612763,Memphis Grizzlies
8,130,325,149,0.458,42,15,0.357,367,164,0.447,0.047,64,1167,,2754,"Allen, Tony",received,1610612763,Memphis Grizzlies
9,89,151,66,0.437,164,56,0.341,315,122,0.387,0.041,60,1034,,1713,"Carter, Vince",received,1610612763,Memphis Grizzlies
10,39,240,117,0.488,30,11,0.367,270,128,0.474,0.038,26,949,,202362,"Stephenson, Lance",received,1610612763,Memphis Grizzlies
11,12,52,23,0.442,42,15,0.357,94,38,0.404,0.025,12,619,,200770,"Farmar, Jordan",received,1610612763,Memphis Grizzlies
12,16,47,17,0.362,25,9,0.36,72,26,0.361,0.018,10,439,,203492,"McCallum, Ray",received,1610612763,Memphis Grizzlies
13,14,48,21,0.438,23,9,0.391,71,30,0.423,0.016,14,402,,204098,"Munford, Xavier",received,1610612763,Memphis Grizzlies
14,31,91,40,0.44,2,0,0.0,93,40,0.43,0.013,27,334,,1626185,"Martin, Jarell",received,1610612763,Memphis Grizzlies
15,3,26,10,0.385,4,0,0.0,30,10,0.333,0.013,6,319,,1627362,"Weber, Briante",received,1610612763,Memphis Grizzlies
16,26,51,22,0.431,67,16,0.239,118,38,0.322,0.013,18,316,,203798,"Hairston, PJ",received,1610612763,Memphis Grizzlies
17,11,31,15,0.484,9,4,0.444,40,19,0.475,0.011,8,286,,2757,"Udrih, Beno",received,1610612763,Memphis Grizzlies
18,33,56,34,0.607,0,0,0.0,56,34,0.607,0.01,29,251,,200797,"Hollins, Ryan",received,1610612763,Memphis Grizzlies
19,26,36,24,0.667,9,2,0.222,45,26,0.578,0.009,20,231,,2365,"Andersen, Chris",received,1610612763,Memphis Grizzlies
20,25,43,29,0.674,0,0,0.0,43,29,0.674,0.007,12,164,,201148,"Wright, Brandan",received,1610612763,Memphis Grizzlies
21,2,13,4,0.308,5,1,0.2,18,5,0.278,0.005,14,131,,203893,"Smith, Russ",received,1610612763,Memphis Grizzlies
22,1,6,1,0.167,4,1,0.25,10,2,0.2,0.003,5,86,,202343,"Williams, Elliot",received,1610612763,Memphis Grizzlies
23,3,12,3,0.25,0,0,0.0,12,3,0.25,0.002,4,45,,1962937406,"Johnson, Orlando",received,1610612763,Memphis Grizzlies
24,3,3,1,0.333,8,2,0.25,11,3,0.273,0.001,8,34,,203516,"Ennis, James",received,1610612763,Memphis Grizzlies
25,1,4,1,0.25,1,0,0.0,5,1,0.2,0.001,2,18,,203919,"Adams, Jordan",received,1610612763,Memphis Grizzlies
26,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,2,4,,203950,"Stokes, Jarnell",received,1610612763,Memphis Grizzlies
27,0,2,2,1.0,0,0,0.0,2,2,1.0,0.0,3,3,,1962937348,"Cotton, Bryce",received,1610612763,Memphis Grizzlies
