,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,469,170,2015-16,0.477,1521,504,0.331,6859,3019,0.44,Overall,2015-16,0.502,0.861,0.562,0.498,0.139,0.438
0,368,171,Less Than 5 ft.,0.547,0,0,0.0,2617,1431,0.547,Shot Distance (5ft),Less Than 5 ft.,0.471,0.0,0.471,0.529,0.0,0.529
1,68,171,5-9 ft.,0.394,0,0,0.0,832,328,0.394,Shot Distance (5ft),5-9 ft.,0.418,0.0,0.418,0.582,0.0,0.582
2,14,171,10-14 ft.,0.398,0,0,0.0,573,228,0.398,Shot Distance (5ft),10-14 ft.,0.509,0.0,0.509,0.491,0.0,0.491
3,7,171,15-19 ft.,0.399,0,0,0.0,991,395,0.399,Shot Distance (5ft),15-19 ft.,0.618,0.0,0.618,0.382,0.0,0.382
4,9,171,20-24 ft.,0.49,910,315,0.346,1235,448,0.363,Shot Distance (5ft),20-24 ft.,0.692,0.883,0.826,0.308,0.117,0.174
5,2,171,25-29 ft.,0.483,575,185,0.322,575,185,0.322,Shot Distance (5ft),25-29 ft.,0.0,0.838,0.838,0.0,0.162,0.162
6,0,171,30-34 ft.,0.0,6,0,0.0,6,0,0.0,Shot Distance (5ft),30-34 ft.,0.0,0.0,0.0,0.0,0.0,0.0
7,0,171,35-39 ft.,0.0,4,0,0.0,4,0,0.0,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,0.0,0.0
8,1,171,40+ ft.,0.18,25,3,0.12,25,3,0.12,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,1.0,1.0
0,418,172,Less Than 8 ft.,0.518,0,0,0.0,3192,1652,0.518,Shot Distance (8ft),Less Than 8 ft.,0.463,0.0,0.463,0.537,0.0,0.537
1,34,172,8-16 ft.,0.415,0,0,0.0,966,401,0.415,Shot Distance (8ft),8-16 ft.,0.496,0.0,0.496,0.504,0.0,0.504
2,9,172,16-24 ft.,0.392,0,0,0.0,1180,462,0.392,Shot Distance (8ft),16-24 ft.,0.647,0.0,0.647,0.353,0.0,0.353
3,7,172,24+ ft.,0.501,1496,500,0.334,1496,500,0.334,Shot Distance (8ft),24+ ft.,0.0,0.866,0.866,0.0,0.134,0.134
4,1,172,Back Court Shot,0.188,24,3,0.125,24,3,0.125,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,1.0,1.0
0,332,173,Restricted Area,0.564,0,0,0.0,2386,1345,0.564,Shot Area,Restricted Area,0.476,0.0,0.476,0.524,0.0,0.524
1,105,173,In The Paint (Non-RA),0.383,0,0,0.0,1200,459,0.383,Shot Area,In The Paint (Non-RA),0.412,0.0,0.412,0.588,0.0,0.588
2,24,173,Mid-Range,0.406,0,0,0.0,1752,711,0.406,Shot Area,Mid-Range,0.61,0.0,0.61,0.39,0.0,0.39
3,0,173,Left Corner 3,0.516,221,76,0.344,221,76,0.344,Shot Area,Left Corner 3,0.0,0.947,0.947,0.0,0.053,0.053
4,3,173,Right Corner 3,0.446,202,60,0.297,202,60,0.297,Shot Area,Right Corner 3,0.0,0.95,0.95,0.0,0.05,0.05
5,4,173,Above the Break 3,0.508,1075,364,0.339,1075,364,0.339,Shot Area,Above the Break 3,0.0,0.835,0.835,0.0,0.165,0.165
6,1,173,Backcourt,0.205,22,3,0.136,22,3,0.136,Shot Area,Backcourt,0.0,0.0,0.0,0.0,1.0,1.0
0,0,169,Assisted,1.128,434,434,1.0,1697,1697,1.0,Assisted Shot,Assisted,1.0,1.0,1.0,0.0,0.0,0.0
1,0,169,Unassisted,1.026,70,70,1.0,1322,1322,1.0,Assisted Shot,Unassisted,0.0,0.0,0.0,1.0,1.0,1.0
0,0,174,Alley Oop Dunk Shot,0.81,0,0,0.0,21,17,0.81,Shot Type,Alley Oop Dunk Shot,1.0,0.0,1.0,0.0,0.0,0.0
