,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,2,6,2,0.333,,1,0,0.0,1.88,4,0.357,0,0021500851,28:57,0,26,977,Kobe Bryant,4,0,3.89,F,43,LAL,Los Angeles,1610612747,8,3,0.375
1,0,8,4,0.5,,5,4,0.8,2.23,14,0.444,0,0021500851,33:20,10,44,203944,Julius Randle,24,0,4.01,F,59,LAL,Los Angeles,1610612747,1,0,0.0
2,0,1,0,0.0,,3,0,0.0,1.14,4,0.0,0,0021500851,16:00,3,18,201579,Roy Hibbert,7,0,4.27,C,22,LAL,Los Angeles,1610612747,0,0,0.0
3,3,9,4,0.444,,1,1,1.0,2.77,7,0.556,0,0021500851,40:31,3,48,203903,Jordan Clarkson,10,0,4.1,G,70,LAL,Los Angeles,1610612747,9,6,0.667
4,8,6,1,0.167,,4,3,0.75,2.38,5,0.421,2,0021500851,32:52,1,59,1626156,D'Angelo Russell,6,0,4.34,G,83,LAL,Los Angeles,1610612747,13,7,0.538
5,1,4,1,0.25,,1,1,1.0,1.43,3,0.462,0,0021500851,22:37,1,22,101150,Lou Williams,4,1,3.78,,39,LAL,Los Angeles,1610612747,9,5,0.556
6,0,5,3,0.6,,3,1,0.333,1.53,6,0.6,1,0021500851,22:22,6,23,101138,Brandon Bass,12,1,4.1,,30,LAL,Los Angeles,1610612747,0,0,0.0
7,0,3,1,0.333,,2,2,1.0,1.16,1,0.286,0,0021500851,19:03,0,8,201156,Nick Young,1,1,3.65,,16,LAL,Los Angeles,1610612747,4,1,0.25
8,1,1,1,1.0,,5,3,0.6,1.1,3,1.0,0,0021500851,14:40,4,13,1626204,Larry Nance Jr.,7,0,4.48,,16,LAL,Los Angeles,1610612747,0,0,0.0
9,1,1,0,0.0,,1,0,0.0,0.63,2,0.0,0,0021500851,9:38,4,11,204028,Tarik Black,6,0,3.91,,12,LAL,Los Angeles,1610612747,0,0,0.0
10,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500851,0:00,0,0,1626148,Anthony Brown,0,0,0.0,,0,LAL,Los Angeles,1610612747,0,0,0.0
11,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500851,0:00,0,0,1626273,Marcelo Huertas,0,0,0.0,,0,LAL,Los Angeles,1610612747,0,0,0.0
12,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500851,0:00,0,0,203527,Ryan Kelly,0,0,0.0,,0,LAL,Los Angeles,1610612747,0,0,0.0
13,2,1,1,1.0,,5,4,0.8,2.64,9,0.643,0,0021500851,37:07,2,39,2440,Matt Barnes,11,2,4.26,F,57,MEM,Memphis,1610612763,13,8,0.615
14,0,5,3,0.6,,3,1,0.333,1.78,12,0.625,0,0021500851,25:17,3,35,203210,JaMychal Green,15,0,4.22,F,44,MEM,Memphis,1610612763,3,2,0.667
15,3,6,1,0.167,,4,2,0.5,1.89,11,0.417,0,0021500851,29:02,2,29,2216,Zach Randolph,13,0,3.9,C,45,MEM,Memphis,1610612763,6,4,0.667
16,2,1,0,0.0,,0,0,0.0,1.57,2,0.556,0,0021500851,22:30,0,21,203798,PJ Hairston,2,0,4.18,G,33,MEM,Memphis,1610612763,8,5,0.625
17,8,9,6,0.667,,1,1,1.0,2.09,5,0.714,1,0021500851,29:24,1,56,201144,Mike Conley,6,2,4.26,G,76,MEM,Memphis,1610612763,5,4,0.8
18,6,2,1,0.5,,0,0,0.0,1.19,2,0.333,1,0021500851,18:22,1,36,201596,Mario Chalmers,3,1,3.88,,42,MEM,Memphis,1610612763,1,0,0.0
19,1,4,1,0.25,,0,0,0.0,1.58,6,0.429,0,0021500851,23:17,1,14,202362,Lance Stephenson,7,0,4.06,,24,MEM,Memphis,1610612763,3,2,0.667
20,1,8,6,0.75,,5,2,0.4,1.47,5,0.7,0,0021500851,21:58,5,25,201148,Brandan Wright,10,1,4.0,,39,MEM,Memphis,1610612763,2,1,0.5
21,2,3,1,0.333,,3,1,0.333,1.36,3,0.5,0,0021500851,20:56,2,20,1713,Vince Carter,5,0,3.89,,28,MEM,Memphis,1610612763,3,2,0.667
22,0,0,0,0.0,,0,0,0.0,0.24,0,0.0,0,0021500851,2:56,0,4,1626185,Jarell Martin,0,0,4.88,,4,MEM,Memphis,1610612763,0,0,0.0
23,1,0,0,0.0,,3,2,0.667,0.6,1,0.0,0,0021500851,8:08,3,8,2365,Chris Andersen,4,0,4.41,,9,MEM,Memphis,1610612763,1,0,0.0
24,0,0,0,0.0,,0,0,0.0,0.05,0,0.0,0,0021500851,1:03,0,0,203516,James Ennis,0,0,2.84,,1,MEM,Memphis,1610612763,1,0,0.0
25,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500851,0:00,0,0,2754,Tony Allen,0,0,0.0,,0,MEM,Memphis,1610612763,0,0,0.0
