,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,1.0,4.0,,5.0,5.0,2.0,0.4,11.0,7.0,0.636,2.0,1.0,0.5,0021500967,45:59,1.0,5.0,201967,Dante Cunningham,-5.0,17.0,6.0,F,2.0,NOP,New Orleans,1610612740,2.0
1,2.0,1.0,,11.0,1.0,0.0,0.0,17.0,9.0,0.529,9.0,7.0,0.778,0021500967,46:30,2.0,3.0,203076,Anthony Davis,-10.0,25.0,13.0,F,1.0,NOP,New Orleans,1610612740,3.0
2,0.0,0.0,,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0021500967,12:52,2.0,1.0,201600,Omer Asik,8.0,0.0,5.0,C,0.0,NOP,New Orleans,1610612740,0.0
3,6.0,0.0,,6.0,7.0,1.0,0.143,15.0,5.0,0.333,4.0,1.0,0.25,0021500967,41:44,1.0,6.0,201962,Toney Douglas,1.0,12.0,7.0,G,2.0,NOP,New Orleans,1610612740,2.0
4,10.0,1.0,,5.0,7.0,2.0,0.286,27.0,12.0,0.444,10.0,8.0,0.8,0021500967,40:31,0.0,4.0,201950,Jrue Holiday,3.0,34.0,5.0,G,0.0,NOP,New Orleans,1610612740,7.0
5,3.0,0.0,,6.0,4.0,2.0,0.5,17.0,8.0,0.471,7.0,6.0,0.857,0021500967,36:36,8.0,1.0,201583,Ryan Anderson,-12.0,24.0,14.0,,0.0,NOP,New Orleans,1610612740,3.0
6,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0021500967,25:23,0.0,2.0,202087,Alonzo Gee,-9.0,0.0,4.0,,1.0,NOP,New Orleans,1610612740,0.0
7,0.0,0.0,,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0021500967,4:47,0.0,1.0,203111,Orlando Johnson,-5.0,0.0,1.0,,0.0,NOP,New Orleans,1610612740,0.0
8,1.0,0.0,,2.0,0.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,0021500967,10:39,1.0,4.0,202337,Luke Babbitt,-6.0,2.0,3.0,,0.0,NOP,New Orleans,1610612740,0.0
9,,,DND - Fractured Sternum                 ,,,,,,,,,,,0021500967,,,,201582,Alexis Ajinca,,,,,,NOP,New Orleans,1610612740,
10,,,DND - Lower Back                        ,,,,,,,,,,,0021500967,,,,202708,Norris Cole,,,,,,NOP,New Orleans,1610612740,
11,,,NWT - Fractured Right Ring Finger       ,,,,,,,,,,,0021500967,,,,201569,Eric Gordon,,,,,,NOP,New Orleans,1610612740,
12,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500967,,,,2570,Kendrick Perkins,,,,,,NOP,New Orleans,1610612740,
13,10.0,0.0,,9.0,8.0,4.0,0.5,19.0,8.0,0.421,6.0,6.0,1.0,0021500967,43:36,2.0,5.0,2440,Matt Barnes,3.0,26.0,11.0,F,2.0,MEM,Memphis,1610612763,0.0
14,1.0,1.0,,6.0,0.0,0.0,0.0,15.0,9.0,0.6,4.0,3.0,0.75,0021500967,38:03,4.0,5.0,203210,JaMychal Green,19.0,21.0,10.0,F,1.0,MEM,Memphis,1610612763,1.0
15,0.0,3.0,,1.0,0.0,0.0,0.0,3.0,2.0,0.667,2.0,0.0,0.0,0021500967,12:34,1.0,2.0,200797,Ryan Hollins,-9.0,4.0,2.0,C,0.0,MEM,Memphis,1610612763,2.0
16,1.0,0.0,,3.0,1.0,0.0,0.0,10.0,4.0,0.4,1.0,0.0,0.0,0021500967,36:31,1.0,2.0,2754,Tony Allen,10.0,8.0,4.0,G,4.0,MEM,Memphis,1610612763,3.0
17,7.0,1.0,,4.0,0.0,0.0,0.0,6.0,4.0,0.667,2.0,2.0,1.0,0021500967,39:42,1.0,2.0,1627362,Briante Weber,-4.0,10.0,5.0,G,1.0,MEM,Memphis,1610612763,2.0
18,1.0,0.0,,3.0,1.0,0.0,0.0,10.0,4.0,0.4,1.0,0.0,0.0,0021500967,24:02,1.0,5.0,203798,PJ Hairston,-8.0,8.0,4.0,,1.0,MEM,Memphis,1610612763,1.0
19,2.0,1.0,,2.0,0.0,0.0,0.0,9.0,3.0,0.333,2.0,0.0,0.0,0021500967,21:16,0.0,1.0,1626185,Jarell Martin,-2.0,6.0,2.0,,2.0,MEM,Memphis,1610612763,0.0
20,1.0,0.0,,5.0,2.0,1.0,0.5,4.0,1.0,0.25,2.0,2.0,1.0,0021500967,11:27,0.0,1.0,1713,Vince Carter,9.0,5.0,5.0,,1.0,MEM,Memphis,1610612763,0.0
21,4.0,1.0,,7.0,2.0,1.0,0.5,20.0,12.0,0.6,12.0,8.0,0.667,0021500967,37:48,0.0,3.0,202362,Lance Stephenson,17.0,33.0,7.0,,2.0,MEM,Memphis,1610612763,1.0
22,,,DND - Left Shoulder Subluxation         ,,,,,,,,,,,0021500967,,,,2365,Chris Andersen,,,,,,MEM,Memphis,1610612763,
23,,,DND - Sore Left Foot                    ,,,,,,,,,,,0021500967,,,,201144,Mike Conley,,,,,,MEM,Memphis,1610612763,
24,,,DND - Sore Right Knee                   ,,,,,,,,,,,0021500967,,,,2216,Zach Randolph,,,,,,MEM,Memphis,1610612763,
