,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,2.0,0.0,,1.0,7.0,2.0,0.286,14.0,5.0,0.357,2.0,1.0,0.5,0021500851,28:57,0.0,2.0,977,Kobe Bryant,-7.0,13.0,1.0,F,1.0,LAL,Los Angeles,1610612747,1.0
1,0.0,0.0,,10.0,0.0,0.0,0.0,9.0,4.0,0.444,6.0,3.0,0.5,0021500851,33:20,4.0,2.0,203944,Julius Randle,-20.0,11.0,14.0,F,0.0,LAL,Los Angeles,1610612747,2.0
2,0.0,2.0,,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.5,0021500851,16:00,1.0,4.0,201579,Roy Hibbert,-16.0,1.0,4.0,C,2.0,LAL,Los Angeles,1610612747,1.0
3,3.0,0.0,,5.0,11.0,6.0,0.545,18.0,10.0,0.556,3.0,2.0,0.667,0021500851,40:31,1.0,3.0,203903,Jordan Clarkson,-17.0,28.0,6.0,G,0.0,LAL,Los Angeles,1610612747,2.0
4,8.0,0.0,,4.0,9.0,3.0,0.333,19.0,8.0,0.421,4.0,3.0,0.75,0021500851,32:52,0.0,0.0,1626156,D'Angelo Russell,-11.0,22.0,4.0,G,0.0,LAL,Los Angeles,1610612747,1.0
5,1.0,0.0,,2.0,7.0,4.0,0.571,13.0,6.0,0.462,6.0,6.0,1.0,0021500851,22:37,1.0,1.0,101150,Lou Williams,10.0,22.0,3.0,,0.0,LAL,Los Angeles,1610612747,0.0
6,0.0,1.0,,3.0,0.0,0.0,0.0,5.0,3.0,0.6,5.0,5.0,1.0,0021500851,22:22,3.0,3.0,101138,Brandon Bass,12.0,11.0,6.0,,1.0,LAL,Los Angeles,1610612747,0.0
7,0.0,0.0,,0.0,5.0,2.0,0.4,7.0,2.0,0.286,3.0,2.0,0.667,0021500851,19:03,0.0,2.0,201156,Nick Young,-2.0,8.0,0.0,,0.0,LAL,Los Angeles,1610612747,0.0
8,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.5,0021500851,14:40,2.0,1.0,1626204,Larry Nance Jr.,11.0,3.0,3.0,,1.0,LAL,Los Angeles,1610612747,0.0
9,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0021500851,9:38,3.0,3.0,204028,Tarik Black,-5.0,0.0,4.0,,0.0,LAL,Los Angeles,1610612747,0.0
10,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500851,,,,1626148,Anthony Brown,,,,,,LAL,Los Angeles,1610612747,
11,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500851,,,,1626273,Marcelo Huertas,,,,,,LAL,Los Angeles,1610612747,
12,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500851,,,,203527,Ryan Kelly,,,,,,LAL,Los Angeles,1610612747,
13,2.0,1.0,,7.0,9.0,5.0,0.556,14.0,9.0,0.643,3.0,2.0,0.667,0021500851,37:07,1.0,3.0,2440,Matt Barnes,5.0,25.0,8.0,F,1.0,MEM,Memphis,1610612763,2.0
14,0.0,0.0,,8.0,1.0,1.0,1.0,8.0,5.0,0.625,2.0,1.0,0.5,0021500851,25:17,1.0,2.0,203210,JaMychal Green,15.0,12.0,9.0,F,1.0,MEM,Memphis,1610612763,0.0
15,3.0,0.0,,7.0,1.0,0.0,0.0,12.0,5.0,0.417,6.0,4.0,0.667,0021500851,29:02,2.0,3.0,2216,Zach Randolph,25.0,14.0,9.0,C,1.0,MEM,Memphis,1610612763,1.0
16,2.0,0.0,,2.0,7.0,4.0,0.571,9.0,5.0,0.556,4.0,3.0,0.75,0021500851,22:30,0.0,1.0,203798,PJ Hairston,18.0,17.0,2.0,G,1.0,MEM,Memphis,1610612763,0.0
17,8.0,0.0,,5.0,4.0,2.0,0.5,14.0,10.0,0.714,2.0,2.0,1.0,0021500851,29:24,1.0,1.0,201144,Mike Conley,14.0,24.0,6.0,G,1.0,MEM,Memphis,1610612763,2.0
18,6.0,0.0,,1.0,1.0,0.0,0.0,3.0,1.0,0.333,2.0,2.0,1.0,0021500851,18:22,0.0,2.0,201596,Mario Chalmers,-7.0,4.0,1.0,,0.0,MEM,Memphis,1610612763,1.0
19,1.0,0.0,,4.0,0.0,0.0,0.0,7.0,3.0,0.429,4.0,2.0,0.5,0021500851,23:17,0.0,3.0,202362,Lance Stephenson,-11.0,8.0,4.0,,0.0,MEM,Memphis,1610612763,1.0
20,1.0,2.0,,2.0,0.0,0.0,0.0,10.0,7.0,0.7,4.0,1.0,0.25,0021500851,21:58,4.0,3.0,201148,Brandan Wright,-3.0,15.0,6.0,,0.0,MEM,Memphis,1610612763,2.0
21,2.0,1.0,,1.0,2.0,1.0,0.5,6.0,3.0,0.5,2.0,2.0,1.0,0021500851,20:56,0.0,2.0,1713,Vince Carter,9.0,9.0,1.0,,1.0,MEM,Memphis,1610612763,0.0
22,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0021500851,2:56,0.0,0.0,1626185,Jarell Martin,-8.0,0.0,0.0,,0.0,MEM,Memphis,1610612763,0.0
23,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0021500851,8:08,0.0,0.0,2365,Chris Andersen,-7.0,0.0,0.0,,0.0,MEM,Memphis,1610612763,0.0
24,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0021500851,1:03,0.0,0.0,203516,James Ennis,-5.0,0.0,0.0,,0.0,MEM,Memphis,1610612763,0.0
25,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500851,,,,2754,Tony Allen,,,,,,MEM,Memphis,1610612763,
