,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.0,0.0,0.0,,105.4,0.067,0.45,0021501097,23:56,-10.3,95.1,0.0,98.99,0.021,202711,Bojan Bogdanovic,0.031,F,BKN,Brooklyn,1610612751,16.7,0.45,0.229
1,0.176,18.8,3.0,,106.0,0.381,0.833,0021501097,30:55,-5.0,101.0,0.053,96.04,0.247,201152,Thaddeus Young,0.225,F,BKN,Brooklyn,1610612751,6.3,0.833,0.196
2,0.0,0.0,0.0,,105.7,0.038,0.6,0021501097,34:46,-3.2,102.5,0.125,94.2,0.119,201572,Brook Lopez,0.08,C,BKN,Brooklyn,1610612751,16.1,0.623,0.33
3,0.133,34.0,2.0,,96.6,0.167,0.5,0021501097,18:17,4.7,101.3,0.0,99.55,0.041,203508,Sergey Karasev,0.091,G,BKN,Brooklyn,1610612751,17.0,0.521,0.101
4,0.32,40.7,2.0,,112.7,0.167,0.2,0021501097,29:09,-8.4,104.4,0.0,98.57,0.091,203499,Shane Larkin,0.083,G,BKN,Brooklyn,1610612751,20.4,0.458,0.187
5,0.0,0.0,0.0,,141.2,0.154,0.455,0021501097,21:28,-23.9,117.3,0.063,93.6,0.068,203930,Sean Kilpatrick,0.103,,BKN,Brooklyn,1610612751,13.6,0.549,0.31
6,0.188,51.0,3.0,,103.5,0.167,0.0,0021501097,20:14,0.2,103.7,0.0,89.29,0.062,1626178,Rondae Hollis-Jefferson,0.086,,BKN,Brooklyn,1610612751,17.0,0.532,0.068
7,0.0,0.0,0.0,,132.5,0.167,0.417,0021501097,17:05,-21.8,110.7,0.063,93.4,0.034,1626191,Chris McCullough,0.107,,BKN,Brooklyn,1610612751,25.0,0.417,0.208
8,0.214,38.1,3.0,,120.1,0.067,0.333,0021501097,18:51,-16.0,104.2,0.0,89.74,0.015,202388,Donald Sloan,0.031,,BKN,Brooklyn,1610612751,12.7,0.258,0.115
9,0.111,20.0,1.0,,138.9,0.429,0.667,0021501097,13:14,-29.7,109.2,0.273,97.46,0.085,203156,Henry Sims,0.333,,BKN,Brooklyn,1610612751,20.0,0.667,0.135
10,0.0,0.0,0.0,,142.2,0.0,0.875,0021501097,12:05,-36.5,105.8,0.1,93.03,0.083,203900,Markel Brown,0.056,,BKN,Brooklyn,1610612751,20.0,0.875,0.175
11,,0.0,,DNP - Coach's Decision                  ,,,,0021501097,,,,,,,201961,Wayne Ellington,,,BKN,Brooklyn,1610612751,,,0.0
12,,0.0,,DNP - Coach's Decision                  ,,,,0021501097,,,,,,,203080,Thomas Robinson,,,BKN,Brooklyn,1610612751,,,0.0
13,0.219,36.8,1.75,,110.1,0.148,0.125,0021501097,34:55,-2.8,107.3,0.0,94.85,0.0,2207,Joe Johnson,0.074,F,MIA,Miami,1610612748,21.1,0.125,0.158
14,0.036,7.7,1.0,,105.8,0.19,0.409,0021501097,30:52,8.2,113.9,0.048,97.64,0.061,2736,Luol Deng,0.119,F,MIA,Miami,1610612748,7.7,0.409,0.179
15,0.0,0.0,0.0,,104.3,0.182,1.0,0021501097,16:58,-11.3,93.0,0.091,95.96,0.168,2405,Amar'e Stoudemire,0.136,C,MIA,Miami,1610612748,20.5,0.902,0.142
16,0.45,27.4,2.25,,102.6,0.1,0.737,0021501097,31:32,16.5,119.1,0.0,99.64,0.221,2548,Dwyane Wade,0.054,G,MIA,Miami,1610612748,12.2,0.755,0.364
17,0.091,21.6,3.0,,98.5,0.143,0.833,0021501097,38:14,17.8,116.3,0.038,96.47,0.122,1626196,Josh Richardson,0.093,G,MIA,Miami,1610612748,7.2,0.81,0.133
18,0.0,0.0,0.0,,101.0,0.115,0.55,0021501097,31:40,20.6,121.6,0.0,91.13,0.082,1626159,Justise Winslow,0.061,,MIA,Miami,1610612748,0.0,0.597,0.163
19,0.045,5.1,1.0,,104.3,0.208,0.75,0021501097,31:02,23.2,127.5,0.136,94.63,0.19,202355,Hassan Whiteside,0.174,,MIA,Miami,1610612748,5.1,0.76,0.276
20,0.0,0.0,0.0,,132.0,0.0,0.333,0021501097,7:39,-24.5,107.5,0.167,87.09,0.015,101123,Gerald Green,0.1,,MIA,Miami,1610612748,0.0,0.333,0.178
21,0.286,44.4,0.0,,101.5,0.071,0.4,0021501097,17:08,17.0,118.5,0.0,90.52,0.083,201177,Josh McRoberts,0.038,,MIA,Miami,1610612748,0.0,0.4,0.143
22,,0.0,,NWT - Cold                              ,,,,0021501097,,,,,,,201609,Goran Dragic,,,MIA,Miami,1610612748,,,0.0
23,,0.0,,DNP - Coach's Decision                  ,,,,0021501097,,,,,,,2617,Udonis Haslem,,,MIA,Miami,1610612748,,,0.0
24,,0.0,,DND - Left Shoulder Surgery             ,,,,0021501097,,,,,,,204020,Tyler Johnson,,,MIA,Miami,1610612748,,,0.0
