,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.574,0.352,0021500892,29:24,0.784,0.386,0.167,0.195,0.182,2399,Mike Dunleavy,F,CHI,Chicago,1610612741,0.093
1,,0.575,0.35,0021500892,23:03,0.73,0.351,0.182,0.147,0.188,201959,Taj Gibson,F,CHI,Chicago,1610612741,0.122
2,,0.525,0.22,0021500892,30:26,0.694,0.278,0.211,0.096,0.24,2200,Pau Gasol,C,CHI,Chicago,1610612741,0.107
3,,0.608,0.243,0021500892,19:10,0.766,0.375,0.2,0.124,0.214,202734,E'Twaun Moore,G,CHI,Chicago,1610612741,0.073
4,,0.598,0.317,0021500892,24:10,0.778,0.178,0.25,0.133,0.125,201565,Derrick Rose,G,CHI,Chicago,1610612741,0.152
5,,0.5,0.2,0021500892,14:48,0.558,0.192,0.083,0.099,0.077,203503,Tony Snell,,CHI,Chicago,1610612741,0.16
6,,0.472,0.208,0021500892,26:24,0.688,0.35,0.154,0.169,0.192,203926,Doug McDermott,,CHI,Chicago,1610612741,0.086
7,,0.472,0.245,0021500892,26:51,0.679,0.333,0.133,0.178,0.192,1626171,Bobby Portis,,CHI,Chicago,1610612741,0.085
8,,0.42,0.341,0021500892,21:54,0.655,0.552,0.091,0.186,0.24,201166,Aaron Brooks,,CHI,Chicago,1610612741,0.043
9,,0.318,0.455,0021500892,6:16,0.75,0.2,0.0,0.155,0.125,1626245,Cristiano Felicio,,CHI,Chicago,1610612741,0.076
10,,0.453,0.344,0021500892,16:19,0.771,0.375,0.167,0.182,0.222,203200,Justin Holiday,,CHI,Chicago,1610612741,0.057
11,,1.5,2.0,0021500892,1:15,0.5,0.0,0.0,0.0,0.0,203946,Cameron Bairstow,,CHI,Chicago,1610612741,0.0
12,NWT - Left Knee Strain                  ,,,0021500892,,,,,,,202710,Jimmy Butler,,CHI,Chicago,1610612741,
13,,0.746,0.298,0021500892,32:32,0.508,0.339,0.179,0.113,0.176,2207,Joe Johnson,F,MIA,Miami,1610612748,0.115
14,,0.75,0.357,0021500892,36:50,0.5,0.31,0.242,0.076,0.176,2736,Luol Deng,F,MIA,Miami,1610612748,0.163
15,,0.783,0.1,0021500892,14:59,0.534,0.069,0.2,0.125,0.333,2405,Amar'e Stoudemire,C,MIA,Miami,1610612748,0.066
16,,0.792,0.358,0021500892,34:13,0.522,0.294,0.226,0.079,0.143,2548,Dwyane Wade,G,MIA,Miami,1610612748,0.168
17,,0.72,0.305,0021500892,34:34,0.492,0.361,0.2,0.11,0.211,201609,Goran Dragic,G,MIA,Miami,1610612748,0.113
18,,0.607,0.31,0021500892,27:02,0.55,0.2,0.13,0.105,0.118,1626159,Justise Winslow,,MIA,Miami,1610612748,0.179
19,,0.67,0.468,0021500892,33:01,0.508,0.393,0.188,0.084,0.063,202355,Hassan Whiteside,,MIA,Miami,1610612748,0.189
20,,0.622,0.317,0021500892,26:49,0.539,0.196,0.13,0.103,0.125,1626196,Josh Richardson,,MIA,Miami,1610612748,0.183
21,DNP - Coach's Decision                  ,,,0021500892,,,,,,,101123,Gerald Green,,MIA,Miami,1610612748,
22,DNP - Coach's Decision                  ,,,0021500892,,,,,,,2617,Udonis Haslem,,MIA,Miami,1610612748,
23,DNP - Coach's Decision                  ,,,0021500892,,,,,,,201177,Josh McRoberts,,MIA,Miami,1610612748,
