,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0.0,2.0,,0021501097,23:56,3.0,10.0,10.0,30.0,0.0,0.0,202711,Bojan Bogdanovic,0.0,4.0,2.0,4.0,F,BKN,Brooklyn,1610612751
1,1.0,0.0,,0021501097,30:55,7.0,10.0,15.0,40.0,1.0,1.0,201152,Thaddeus Young,0.0,0.0,4.0,16.0,F,BKN,Brooklyn,1610612751
2,1.0,0.0,,0021501097,34:46,10.0,10.0,15.0,42.0,1.0,4.0,201572,Brook Lopez,6.0,0.0,0.0,20.0,C,BKN,Brooklyn,1610612751
3,0.0,0.0,,0021501097,18:17,3.0,4.0,8.0,22.0,1.0,1.0,203508,Sergey Karasev,0.0,0.0,0.0,0.0,G,BKN,Brooklyn,1610612751
4,0.0,2.0,,0021501097,29:09,5.0,10.0,13.0,40.0,0.0,3.0,203499,Shane Larkin,0.0,2.0,4.0,0.0,G,BKN,Brooklyn,1610612751
5,0.0,0.0,,0021501097,21:28,5.0,6.0,9.0,38.0,1.0,2.0,203930,Sean Kilpatrick,4.0,0.0,0.0,6.0,,BKN,Brooklyn,1610612751
6,0.0,0.0,,0021501097,20:14,9.0,2.0,9.0,28.0,3.0,2.0,1626178,Rondae Hollis-Jefferson,0.0,0.0,0.0,0.0,,BKN,Brooklyn,1610612751
7,0.0,0.0,,0021501097,17:05,5.0,2.0,8.0,32.0,0.0,0.0,1626191,Chris McCullough,0.0,0.0,5.0,0.0,,BKN,Brooklyn,1610612751
8,0.0,0.0,,0021501097,18:51,7.0,2.0,10.0,32.0,0.0,1.0,202388,Donald Sloan,0.0,0.0,0.0,2.0,,BKN,Brooklyn,1610612751
9,0.0,0.0,,0021501097,13:14,2.0,2.0,8.0,30.0,2.0,0.0,203156,Henry Sims,0.0,0.0,0.0,4.0,,BKN,Brooklyn,1610612751
10,0.0,0.0,,0021501097,12:05,4.0,2.0,10.0,26.0,1.0,0.0,203900,Markel Brown,0.0,0.0,0.0,2.0,,BKN,Brooklyn,1610612751
11,,,DNP - Coach's Decision                  ,0021501097,,,,,,,,201961,Wayne Ellington,,,,,,BKN,Brooklyn,1610612751
12,,,DNP - Coach's Decision                  ,0021501097,,,,,,,,203080,Thomas Robinson,,,,,,BKN,Brooklyn,1610612751
13,0.0,1.0,,0021501097,34:55,10.0,6.0,11.0,40.0,2.0,1.0,2207,Joe Johnson,0.0,0.0,0.0,2.0,F,MIA,Miami,1610612748
14,0.0,0.0,,0021501097,30:52,8.0,6.0,10.0,40.0,0.0,0.0,2736,Luol Deng,0.0,0.0,0.0,6.0,F,MIA,Miami,1610612748
15,0.0,0.0,,0021501097,16:58,4.0,6.0,8.0,20.0,0.0,2.0,2405,Amar'e Stoudemire,0.0,0.0,2.0,4.0,C,MIA,Miami,1610612748
16,2.0,0.0,,0021501097,31:32,8.0,6.0,10.0,38.0,3.0,2.0,2548,Dwyane Wade,3.0,6.0,8.0,22.0,G,MIA,Miami,1610612748
17,1.0,0.0,,0021501097,38:14,6.0,6.0,12.0,44.0,2.0,1.0,1626196,Josh Richardson,3.0,0.0,0.0,2.0,G,MIA,Miami,1610612748
18,0.0,0.0,,0021501097,31:40,6.0,0.0,9.0,34.0,1.0,1.0,1626159,Justise Winslow,0.0,6.0,5.0,8.0,,MIA,Miami,1610612748
19,1.0,0.0,,0021501097,31:02,6.0,0.0,7.0,34.0,4.0,3.0,202355,Hassan Whiteside,4.0,0.0,8.0,22.0,,MIA,Miami,1610612748
20,0.0,1.0,,0021501097,7:39,0.0,0.0,3.0,6.0,0.0,0.0,101123,Gerald Green,2.0,0.0,0.0,2.0,,MIA,Miami,1610612748
21,0.0,0.0,,0021501097,17:08,2.0,0.0,5.0,14.0,2.0,0.0,201177,Josh McRoberts,0.0,0.0,0.0,4.0,,MIA,Miami,1610612748
22,,,NWT - Cold                              ,0021501097,,,,,,,,201609,Goran Dragic,,,,,,MIA,Miami,1610612748
23,,,DNP - Coach's Decision                  ,0021501097,,,,,,,,2617,Udonis Haslem,,,,,,MIA,Miami,1610612748
24,,,DND - Left Shoulder Surgery             ,0021501097,,,,,,,,204020,Tyler Johnson,,,,,,MIA,Miami,1610612748
