,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,0,6,2,0.333,,1,1,1.0,1.65,2,0.4,0,0021501097,23:56,0,14,202711,Bojan Bogdanovic,2,1,4.13,F,27,BKN,Brooklyn,1610612751,4,2,0.5
1,3,8,6,0.75,,4,3,0.75,2.11,11,0.833,0,0021501097,30:55,2,41,201152,Thaddeus Young,13,0,4.09,F,55,BKN,Brooklyn,1610612751,4,4,1.0
2,0,17,10,0.588,,14,7,0.5,2.25,6,0.6,2,0021501097,34:46,5,29,201572,Brook Lopez,11,0,3.87,C,59,BKN,Brooklyn,1610612751,3,2,0.667
3,2,2,1,0.5,,4,4,1.0,1.4,3,0.5,0,0021501097,18:17,0,22,203508,Sergey Karasev,3,0,4.27,G,26,BKN,Brooklyn,1610612751,0,0,0.0
4,8,4,1,0.25,,2,0,0.0,2.12,5,0.2,0,0021501097,29:09,0,56,203499,Shane Larkin,5,0,4.35,G,70,BKN,Brooklyn,1610612751,1,0,0.0
5,0,7,3,0.429,,0,0,0.0,1.42,3,0.455,0,0021501097,21:28,1,12,203930,Sean Kilpatrick,4,0,4.23,,27,BKN,Brooklyn,1610612751,4,2,0.5
6,3,0,0,0.0,,3,2,0.667,1.47,4,0.0,0,0021501097,20:14,1,21,1626178,Rondae Hollis-Jefferson,5,0,4.35,,24,BKN,Brooklyn,1610612751,1,0,0.0
7,0,2,0,0.0,,3,2,0.667,1.29,6,0.333,0,0021501097,17:05,1,14,1626191,Chris McCullough,7,0,4.52,,23,BKN,Brooklyn,1610612751,4,2,0.5
8,3,2,1,0.5,,0,0,0.0,1.32,1,0.333,1,0021501097,18:51,0,39,202388,Donald Sloan,1,1,4.19,,45,BKN,Brooklyn,1610612751,1,0,0.0
9,1,2,1,0.5,,11,9,0.818,0.9,5,0.667,1,0021501097,13:14,5,13,203156,Henry Sims,10,1,4.07,,17,BKN,Brooklyn,1610612751,1,1,1.0
10,0,3,3,1.0,,2,1,0.5,0.79,1,0.75,0,0021501097,12:05,1,5,203900,Markel Brown,2,1,3.91,,10,BKN,Brooklyn,1610612751,1,0,0.0
11,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501097,0:00,0,0,201961,Wayne Ellington,0,0,0.0,,0,BKN,Brooklyn,1610612751,0,0,0.0
12,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501097,0:00,0,0,203080,Thomas Robinson,0,0,0.0,,0,BKN,Brooklyn,1610612751,0,0,0.0
13,7,3,0,0.0,,0,0,0.0,2.44,4,0.125,1,0021501097,34:55,3,40,2207,Joe Johnson,7,0,4.18,F,53,MIA,Miami,1610612748,5,1,0.2
14,1,7,3,0.429,,6,4,0.667,2.21,7,0.364,0,0021501097,30:52,2,51,2736,Luol Deng,9,0,4.28,F,62,MIA,Miami,1610612748,4,1,0.25
15,0,1,1,1.0,,4,3,0.75,1.09,3,1.0,0,0021501097,16:58,1,13,2405,Amar'e Stoudemire,4,0,3.84,C,18,MIA,Miami,1610612748,2,2,1.0
16,9,11,9,0.818,,0,0,0.0,2.01,2,0.737,1,0021501097,31:32,0,33,2548,Dwyane Wade,2,0,3.82,G,59,MIA,Miami,1610612748,8,5,0.625
17,3,5,3,0.6,,4,3,0.75,2.74,6,0.667,0,0021501097,38:14,2,64,1626196,Josh Richardson,8,2,4.29,G,77,MIA,Miami,1610612748,4,3,0.75
18,0,6,2,0.333,,4,2,0.5,2.19,4,0.5,1,0021501097,31:40,3,38,1626159,Justise Winslow,7,1,4.14,,51,MIA,Miami,1610612748,4,3,0.75
19,1,13,10,0.769,,13,5,0.385,1.89,11,0.75,0,0021501097,31:02,6,22,202355,Hassan Whiteside,17,1,3.65,,41,MIA,Miami,1610612748,3,2,0.667
20,0,0,0,0.0,,0,0,0.0,0.55,0,0.333,0,0021501097,7:39,1,3,101123,Gerald Green,1,0,4.31,,6,MIA,Miami,1610612748,3,1,0.333
21,4,2,2,1.0,,3,1,0.333,1.14,3,0.4,0,0021501097,17:08,1,36,201177,Josh McRoberts,4,0,3.99,,42,MIA,Miami,1610612748,3,0,0.0
22,0,0,0,0.0,NWT - Cold                              ,0,0,0.0,0.0,0,0.0,0,0021501097,0:00,0,0,201609,Goran Dragic,0,0,0.0,,0,MIA,Miami,1610612748,0,0,0.0
23,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501097,0:00,0,0,2617,Udonis Haslem,0,0,0.0,,0,MIA,Miami,1610612748,0,0,0.0
24,0,0,0,0.0,DND - Left Shoulder Surgery             ,0,0,0.0,0.0,0,0.0,0,0021501097,0:00,0,0,204020,Tyler Johnson,0,0,0.0,,0,MIA,Miami,1610612748,0,0,0.0
