,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.059,5.1,1.0,,110.3,0.224,0.55,0021500022,53:32,5.3,115.6,0.02,103.63,0.181,201142,Kevin Durant,0.121,F,OKC,Oklahoma City,1610612760,5.1,0.617,0.275
1,0.0,0.0,0.0,,114.5,0.222,0.333,0021500022,32:41,-16.9,97.7,0.171,109.06,0.052,201586,Serge Ibaka,0.194,F,OKC,Oklahoma City,1610612760,7.7,0.333,0.154
2,0.069,18.6,1.0,,108.3,0.094,0.6,0021500022,35:55,0.3,108.6,0.128,105.42,0.069,203500,Steven Adams,0.113,C,OKC,Oklahoma City,1610612760,18.6,0.666,0.095
3,0.0,0.0,0.0,,128.7,0.133,0.0,0021500022,18:48,-20.3,108.4,0.0,101.87,-0.012,203460,Andre Roberson,0.067,G,OKC,Oklahoma City,1610612760,66.7,0.0,0.072
4,0.296,14.0,1.33,,105.9,0.136,0.486,0021500022,47:35,6.2,112.1,0.106,106.47,0.197,201566,Russell Westbrook,0.121,G,OKC,Oklahoma City,1610612760,10.5,0.558,0.404
5,0.0,0.0,0.0,,117.4,0.083,0.5,0021500022,14:04,-15.8,101.5,0.0,111.92,0.05,201627,Anthony Morrow,0.034,,OKC,Oklahoma City,1610612760,25.0,0.5,0.101
6,0.227,42.1,0.0,,92.9,0.034,0.833,0021500022,28:14,26.7,119.7,0.04,99.93,0.178,201571,D.J. Augustin,0.037,,OKC,Oklahoma City,1610612760,0.0,0.872,0.095
7,0.08,18.2,0.67,,91.6,0.226,0.25,0021500022,28:34,29.9,121.5,0.0,100.23,0.02,203079,Dion Waiters,0.123,,OKC,Oklahoma City,1610612760,27.3,0.25,0.122
8,0.0,0.0,0.0,,98.7,0.105,0.5,0021500022,18:02,20.5,119.2,0.286,101.23,0.028,202683,Enes Kanter,0.182,,OKC,Oklahoma City,1610612760,17.7,0.536,0.26
9,0.0,0.0,0.0,,105.1,0.083,0.333,0021500022,12:35,-25.0,80.1,0.0,105.59,0.0,202713,Kyle Singler,0.034,,OKC,Oklahoma City,1610612760,20.5,0.387,0.141
10,,0.0,,DNP - Coach's Decision                  ,,,,0021500022,,,,,,,2555,Nick Collison,,,OKC,Oklahoma City,1610612760,,,0.0
11,,0.0,,DNP - Coach's Decision                  ,,,,0021500022,,,,,,,203956,Mitch McGary,,,OKC,Oklahoma City,1610612760,,,0.0
12,,0.0,,DNP - Coach's Decision                  ,,,,0021500022,,,,,,,200779,Steve Novak,,,OKC,Oklahoma City,1610612760,,,0.0
13,0.103,10.5,1.5,,109.5,0.091,0.429,0021500022,44:42,-0.6,108.9,0.024,104.74,0.073,203095,Evan Fournier,0.058,F,ORL,Orlando,1610612753,7.0,0.465,0.231
14,0.133,12.0,0.8,,113.5,0.109,0.526,0021500022,46:17,-4.5,109.0,0.095,105.37,0.121,202699,Tobias Harris,0.102,F,ORL,Orlando,1610612753,15.0,0.618,0.26
15,0.0,0.0,0.0,,112.9,0.093,0.714,0021500022,45:05,-0.6,112.3,0.073,104.5,0.126,202696,Nikola Vucevic,0.083,C,ORL,Orlando,1610612753,5.4,0.742,0.17
16,0.313,23.3,2.0,,113.9,0.265,0.352,0021500022,50:40,-10.9,103.0,0.0,105.35,0.101,203506,Victor Oladipo,0.137,G,ORL,Orlando,1610612753,11.7,0.377,0.266
17,0.227,29.6,0.0,,117.8,0.061,0.545,0021500022,36:47,-8.6,109.3,0.029,100.54,0.083,203901,Elfrid Payton,0.045,G,ORL,Orlando,1610612753,0.0,0.589,0.14
18,0.167,37.5,0.0,,94.8,0.125,0.3,0021500022,20:58,3.2,98.0,0.0,109.25,0.08,201228,CJ Watson,0.068,,ORL,Orlando,1610612753,0.0,0.3,0.093
19,0.0,0.0,0.0,,94.0,0.0,0.5,0021500022,14:16,23.9,117.9,0.0,102.18,-0.045,1626209,Mario Hezonja,0.0,,ORL,Orlando,1610612753,40.0,0.5,0.157
20,0.0,0.0,0.0,,117.3,0.133,1.125,0021500022,17:51,-2.9,114.4,0.056,104.41,0.169,203932,Aaron Gordon,0.091,,ORL,Orlando,1610612753,11.7,0.997,0.195
21,0.0,0.0,0.0,,102.5,0.143,0.5,0021500022,12:54,-13.5,89.0,0.308,102.83,0.157,203473,Dewayne Dedmon,0.222,,ORL,Orlando,1610612753,0.0,0.5,0.063
22,0.0,0.0,0.0,,0.0,0.0,0.0,0021500022,0:30,0.0,0.0,0.0,96.97,0.0,203894,Shabazz Napier,0.0,,ORL,Orlando,1610612753,0.0,0.0,0.0
23,,0.0,,DNP - Coach's Decision                  ,,,,0021500022,,,,,,,101112,Channing Frye,,,ORL,Orlando,1610612753,,,0.0
24,,0.0,,DNP - Coach's Decision                  ,,,,0021500022,,,,,,,203094,Andrew Nicholson,,,ORL,Orlando,1610612753,,,0.0
25,,0.0,,DNP - Coach's Decision                  ,,,,0021500022,,,,,,,201160,Jason Smith,,,ORL,Orlando,1610612753,,,0.0
