,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.676,0.294,0021500435,27:40,0.298,0.231,0.235,0.14,0.444,201142,Kevin Durant,F,OKC,Oklahoma City,1610612760,0.154
1,,0.698,0.292,0021500435,26:10,0.296,0.306,0.242,0.112,0.5,201586,Serge Ibaka,F,OKC,Oklahoma City,1610612760,0.148
2,,0.707,0.283,0021500435,24:36,0.296,0.184,0.258,0.135,0.467,203500,Steven Adams,C,OKC,Oklahoma City,1610612760,0.152
3,,0.627,0.255,0021500435,26:30,0.235,0.294,0.243,0.11,0.545,203460,Andre Roberson,G,OKC,Oklahoma City,1610612760,0.125
4,,0.629,0.259,0021500435,29:33,0.351,0.281,0.222,0.111,0.478,201566,Russell Westbrook,G,OKC,Oklahoma City,1610612760,0.144
5,,0.378,0.135,0021500435,17:48,0.5,0.448,0.158,0.136,0.391,2555,Nick Collison,,OKC,Oklahoma City,1610612760,0.188
6,,0.353,0.088,0021500435,16:23,0.5,0.31,0.176,0.143,0.364,203079,Dion Waiters,,OKC,Oklahoma City,1610612760,0.204
7,,0.413,0.043,0021500435,21:40,0.525,0.175,0.19,0.113,0.423,202683,Enes Kanter,,OKC,Oklahoma City,1610612760,0.201
8,,0.467,0.133,0021500435,10:10,0.361,0.389,0.231,0.1,0.125,201571,D.J. Augustin,,OKC,Oklahoma City,1610612760,0.252
9,,0.486,0.054,0021500435,19:24,0.632,0.206,0.188,0.105,0.389,201627,Anthony Morrow,,OKC,Oklahoma City,1610612760,0.226
10,,0.455,0.0,0021500435,8:34,0.667,0.0,0.2,0.176,0.636,1626166,Cameron Payne,,OKC,Oklahoma City,1610612760,0.167
11,,0.615,0.0,0021500435,5:46,0.591,0.0,0.25,0.091,0.75,202713,Kyle Singler,,OKC,Oklahoma City,1610612760,0.167
12,,0.615,0.0,0021500435,5:46,0.591,0.0,0.25,0.091,0.75,200779,Steve Novak,,OKC,Oklahoma City,1610612760,0.167
13,,0.33,0.302,0021500435,27:56,0.683,0.288,0.5,0.154,0.235,977,Kobe Bryant,F,LAL,Los Angeles,1610612747,0.119
14,,0.208,0.167,0021500435,19:44,0.688,0.3,0.5,0.073,0.16,1626204,Larry Nance Jr.,F,LAL,Los Angeles,1610612747,0.148
15,,0.329,0.268,0021500435,21:30,0.737,0.211,0.5,0.18,0.28,201579,Roy Hibbert,C,LAL,Los Angeles,1610612747,0.093
16,,0.208,0.208,0021500435,25:07,0.67,0.277,0.412,0.164,0.229,101150,Lou Williams,G,LAL,Los Angeles,1610612747,0.153
17,,0.364,0.271,0021500435,30:39,0.608,0.233,0.48,0.156,0.27,203903,Jordan Clarkson,G,LAL,Los Angeles,1610612747,0.111
18,,0.458,0.229,0021500435,26:30,0.447,0.158,0.438,0.161,0.172,203135,Robert Sacre,,LAL,Los Angeles,1610612747,0.143
19,,0.538,0.264,0021500435,28:14,0.455,0.127,0.414,0.207,0.185,1626156,D'Angelo Russell,,LAL,Los Angeles,1610612747,0.1
20,,0.486,0.343,0021500435,16:16,0.444,0.185,0.333,0.313,0.35,101138,Brandon Bass,,LAL,Los Angeles,1610612747,0.083
21,,0.5,0.167,0021500435,20:04,0.419,0.047,0.417,0.191,0.2,1626148,Anthony Brown,,LAL,Los Angeles,1610612747,0.126
22,,0.611,0.222,0021500435,12:00,0.5,0.0,0.538,0.125,0.111,203527,Ryan Kelly,,LAL,Los Angeles,1610612747,0.138
23,,0.611,0.222,0021500435,12:00,0.5,0.0,0.538,0.125,0.111,1626273,Marcelo Huertas,,LAL,Los Angeles,1610612747,0.138
24,DND - Sprained Left Ankle               ,,,0021500435,,,,,,,203944,Julius Randle,,LAL,Los Angeles,1610612747,
25,DNP - Coach's Decision                  ,,,0021500435,,,,,,,1897,Metta World Peace,,LAL,Los Angeles,1610612747,
