,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,3.0,0.0,,0021500435,27:40,12.0,2.0,7.0,12.0,4.0,4.0,201142,Kevin Durant,0.0,8.0,3.0,8.0,F,OKC,Oklahoma City,1610612760
1,2.0,0.0,,0021500435,26:10,12.0,0.0,5.0,8.0,2.0,2.0,201586,Serge Ibaka,3.0,5.0,4.0,8.0,F,OKC,Oklahoma City,1610612760
2,2.0,1.0,,0021500435,24:36,12.0,0.0,5.0,8.0,2.0,4.0,203500,Steven Adams,0.0,0.0,0.0,6.0,C,OKC,Oklahoma City,1610612760
3,4.0,1.0,,0021500435,26:30,9.0,3.0,2.0,12.0,1.0,1.0,203460,Andre Roberson,5.0,4.0,0.0,14.0,G,OKC,Oklahoma City,1610612760
4,0.0,1.0,,0021500435,29:33,12.0,5.0,7.0,16.0,2.0,4.0,201566,Russell Westbrook,4.0,6.0,5.0,16.0,G,OKC,Oklahoma City,1610612760
5,0.0,0.0,,0021500435,17:48,2.0,5.0,6.0,14.0,1.0,0.0,2555,Nick Collison,2.0,0.0,2.0,4.0,,OKC,Oklahoma City,1610612760
6,0.0,0.0,,0021500435,16:23,2.0,5.0,6.0,14.0,2.0,0.0,203079,Dion Waiters,0.0,0.0,2.0,2.0,,OKC,Oklahoma City,1610612760
7,2.0,1.0,,0021500435,21:40,2.0,7.0,8.0,24.0,2.0,1.0,202683,Enes Kanter,8.0,2.0,0.0,12.0,,OKC,Oklahoma City,1610612760
8,0.0,0.0,,0021500435,10:10,2.0,0.0,1.0,4.0,0.0,2.0,201571,D.J. Augustin,0.0,0.0,0.0,0.0,,OKC,Oklahoma City,1610612760
9,0.0,0.0,,0021500435,19:24,5.0,2.0,9.0,16.0,1.0,0.0,201627,Anthony Morrow,0.0,0.0,0.0,2.0,,OKC,Oklahoma City,1610612760
10,0.0,0.0,,0021500435,8:34,0.0,2.0,5.0,12.0,0.0,0.0,1626166,Cameron Payne,0.0,0.0,0.0,2.0,,OKC,Oklahoma City,1610612760
11,0.0,1.0,,0021500435,5:46,0.0,2.0,2.0,10.0,0.0,0.0,202713,Kyle Singler,0.0,2.0,2.0,2.0,,OKC,Oklahoma City,1610612760
12,0.0,0.0,,0021500435,5:46,0.0,2.0,2.0,10.0,0.0,0.0,200779,Steve Novak,0.0,0.0,0.0,0.0,,OKC,Oklahoma City,1610612760
13,0.0,3.0,,0021500435,27:56,12.0,23.0,12.0,52.0,3.0,4.0,977,Kobe Bryant,6.0,2.0,7.0,6.0,F,LAL,Los Angeles,1610612747
14,0.0,2.0,,0021500435,19:44,7.0,20.0,9.0,40.0,3.0,0.0,1626204,Larry Nance Jr.,4.0,0.0,0.0,2.0,F,LAL,Los Angeles,1610612747
15,1.0,1.0,,0021500435,21:30,6.0,18.0,6.0,40.0,4.0,1.0,201579,Roy Hibbert,0.0,0.0,0.0,0.0,C,LAL,Los Angeles,1610612747
16,0.0,1.0,,0021500435,25:07,9.0,23.0,14.0,48.0,2.0,3.0,101150,Lou Williams,0.0,0.0,1.0,0.0,G,LAL,Los Angeles,1610612747
17,0.0,1.0,,0021500435,30:39,14.0,22.0,9.0,52.0,0.0,2.0,203903,Jordan Clarkson,2.0,0.0,0.0,4.0,G,LAL,Los Angeles,1610612747
18,1.0,0.0,,0021500435,26:30,16.0,9.0,12.0,36.0,2.0,2.0,203135,Robert Sacre,2.0,0.0,2.0,6.0,,LAL,Los Angeles,1610612747
19,0.0,4.0,,0021500435,28:14,13.0,7.0,9.0,34.0,2.0,4.0,1626156,D'Angelo Russell,0.0,3.0,0.0,2.0,,LAL,Los Angeles,1610612747
20,2.0,0.0,,0021500435,16:16,7.0,5.0,5.0,18.0,1.0,0.0,101138,Brandon Bass,0.0,0.0,0.0,2.0,,LAL,Los Angeles,1610612747
21,0.0,1.0,,0021500435,20:04,10.0,4.0,6.0,24.0,0.0,0.0,1626148,Anthony Brown,0.0,2.0,0.0,2.0,,LAL,Los Angeles,1610612747
22,1.0,0.0,,0021500435,12:00,8.0,2.0,4.0,18.0,0.0,1.0,203527,Ryan Kelly,0.0,0.0,3.0,8.0,,LAL,Los Angeles,1610612747
23,0.0,0.0,,0021500435,12:00,8.0,2.0,4.0,18.0,1.0,0.0,1626273,Marcelo Huertas,0.0,0.0,0.0,0.0,,LAL,Los Angeles,1610612747
24,,,DND - Sprained Left Ankle               ,0021500435,,,,,,,,203944,Julius Randle,,,,,,LAL,Los Angeles,1610612747
25,,,DNP - Coach's Decision                  ,0021500435,,,,,,,,1897,Metta World Peace,,,,,,LAL,Los Angeles,1610612747
