,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,117.53004,115.50366,-115.50366,550.16217,-4.05276,11.14509,0.006,-111.4509,224.92818,0.038,118.54323,143.87298,0.026,82,,,Overall,2015-16,27,3966.0,149.95212,38.50122,-38.50122,604.87443,604.87443,700.11429,-117.53004,OKC,1610612760.0,Oklahoma City Thunder,240.12603,55,0.671
0,120.56961,61.80459,-61.80459,183.38739,-67.88373,-28.36932,-0.014,-54.71226,122.59599,0.098,105.37176,79.02882,-0.01,59,203500 - 201142 - 201586 - 203460 - 201566,"Adams,Steven - Durant,Kevin - Ibaka,Serge - Roberson,Andre - Westbrook,Russell",Lineups,,16,815.54,26.34294,-53.69907,53.69907,295.85148,295.85148,209.73033,-20.2638,,,,31.40889,43,0.729
1,42.55398,30.3957,-30.3957,56.73864,-19.25061,13.17147,0.118,-22.29018,35.46165,0.068,23.30337,29.38251,0.061,49,203500 - 201142 - 201586 - 203079 - 201566,"Adams,Steven - Durant,Kevin - Ibaka,Serge - Waiters,Dion - Westbrook,Russell",Lineups,,12,360.173333333,-6.07914,-4.05276,4.05276,113.47728,113.47728,50.6595,0.0,,,,17.22423,37,0.755
2,1.01319,-5.06595,5.06595,21.27699,3.03957,0.0,-0.024,20.2638,12.15828,0.009,21.27699,28.36932,0.124,38,201142 - 201586 - 202683 - 203079 - 201566,"Durant,Kevin - Ibaka,Serge - Kanter,Enes - Waiters,Dion - Westbrook,Russell",Lineups,,11,129.113333333,20.2638,-13.17147,13.17147,52.68588,52.68588,41.54079,-1.01319,,,,3.03957,27,0.711
3,-9.11871,3.03957,-3.03957,2.02638,-11.14509,-3.03957,0.012,-23.30337,-14.18466,-0.024,-11.14509,-6.07914,0.06,13,201142 - 200751 - 202683 - 202713 - 203079,"Durant,Kevin - Foye,Randy - Kanter,Enes - Singler,Kyle - Waiters,Dion",Lineups,,6,82.21,-8.10552,7.09233,-7.09233,-37.48803,-37.48803,-6.07914,-13.17147,,,,21.27699,7,0.538
4,-10.1319,-4.05276,4.05276,8.10552,-8.10552,-2.02638,0.05,-14.18466,-12.15828,-0.042,-14.18466,-4.05276,0.288,15,201571 - 2555 - 202683 - 201627 - 203079,"Augustin,D.J. - Collison,Nick - Kanter,Enes - Morrow,Anthony - Waiters,Dion",Lineups,,5,76.455,-1.01319,0.0,0.0,-30.3957,-30.3957,7.09233,-10.1319,,,,18.23742,10,0.667
5,-1.01319,1.01319,-1.01319,12.15828,-8.10552,-1.01319,0.043,-12.15828,0.0,0.039,8.10552,11.14509,0.145,26,201142 - 201586 - 202683 - 203460 - 201566,"Durant,Kevin - Ibaka,Serge - Kanter,Enes - Roberson,Andre - Westbrook,Russell",Lineups,,7,76.3416666667,-6.07914,-3.03957,3.03957,10.1319,10.1319,6.07914,1.01319,,,,2.02638,19,0.731
6,6.07914,5.06595,-5.06595,-1.01319,16.21104,11.14509,0.194,-1.01319,1.01319,0.012,17.22423,15.19785,0.133,7,203500 - 201586 - 201627 - 203460 - 201566,"Adams,Steven - Ibaka,Serge - Morrow,Anthony - Roberson,Andre - Westbrook,Russell",Lineups,,5,60.1,0.0,-9.11871,9.11871,28.36932,28.36932,-1.01319,5.06595,,,,-7.09233,2,0.286
7,-5.06595,-1.01319,1.01319,-14.18466,10.1319,-3.03957,-0.329,13.17147,-6.07914,-0.12,6.07914,5.06595,0.019,17,203500 - 201586 - 203460 - 203079 - 201566,"Adams,Steven - Ibaka,Serge - Roberson,Andre - Waiters,Dion - Westbrook,Russell",Lineups,,7,54.9133333333,10.1319,1.01319,-1.01319,-10.1319,-10.1319,-4.05276,-2.02638,,,,-1.01319,10,0.588
8,-7.09233,-4.05276,4.05276,2.02638,-11.14509,-4.05276,0.005,1.01319,-4.05276,-0.051,9.11871,10.1319,0.192,6,201571 - 2555 - 202683 - 202713 - 203079,"Augustin,D.J. - Collison,Nick - Kanter,Enes - Singler,Kyle - Waiters,Dion",Lineups,,3,51.9416666667,9.11871,-5.06595,5.06595,-2.02638,-2.02638,11.14509,-4.05276,,,,0.0,3,0.5
