,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,117.53004,115.50366,-115.50366,,550.16217,-4.05276,11.14509,0.006,-111.4509,224.92818,0.038,118.54323,143.87298,0.026,82,Overall,2015-16,27,3966.0,149.95212,38.50122,-38.50122,604.87443,604.87443,700.11429,-117.53004,OKC,1610612760,Oklahoma City Thunder,240.12603,,,55,0.671
0,141.8466,126.64875,-126.64875,On,288.75915,-33.43527,-4.05276,0.007,-52.68588,175.28187,0.054,176.29506,137.79384,0.005,80,On/Off Court,,26,2014.37666667,77.00244,-48.63312,48.63312,484.30482,484.30482,365.76159,-15.19785,OKC,1610612760,Oklahoma City Thunder,66.87054,203500.0,"Adams, Steven",54,0.675
1,-29.38251,-18.23742,18.23742,On,66.87054,-21.27699,-9.11871,-0.008,-24.31656,-5.06595,0.006,-25.32975,0.0,0.069,34,On/Off Court,,10,518.865,25.32975,13.17147,-13.17147,-19.25061,-19.25061,92.20029,-35.46165,OKC,1610612760,Oklahoma City Thunder,49.64631,201571.0,"Augustin, D.J.",24,0.706
2,-22.29018,-21.27699,21.27699,On,95.23986,-6.07914,-3.03957,-0.003,28.36932,22.29018,0.008,-61.80459,-17.22423,0.083,59,On/Off Court,,20,699.261666667,89.16072,56.73864,-56.73864,24.31656,24.31656,184.40058,-48.63312,OKC,1610612760,Oklahoma City Thunder,67.88373,2555.0,"Collison, Nick",39,0.661
3,177.30825,116.51685,-116.51685,On,474.17292,-41.54079,16.21104,0.023,-170.21592,216.82266,0.062,191.49291,205.67757,0.042,72,On/Off Court,,20,2577.58666667,38.50122,-39.51441,39.51441,655.53393,655.53393,512.67414,-93.21348,OKC,1610612760,Oklahoma City Thunder,165.14997,201142.0,"Durant, Kevin",52,0.722
4,7.09233,6.07914,-6.07914,On,91.1871,4.05276,15.19785,0.043,-32.42208,39.51441,0.052,-25.32975,-22.29018,-0.009,27,On/Off Court,,12,572.005,-7.09233,41.54079,-41.54079,71.93649,71.93649,84.09477,-17.22423,OKC,1610612760,Oklahoma City Thunder,55.72545,200751.0,"Foye, Randy",15,0.556
5,-3.03957,0.0,0.0,On,6.07914,3.03957,4.05276,0.119,2.02638,9.11871,0.086,-17.22423,-20.2638,-0.223,5,On/Off Court,,3,54.9833333333,-1.01319,4.05276,-4.05276,2.02638,2.02638,5.06595,-11.14509,OKC,1610612760,Oklahoma City Thunder,10.1319,203962.0,"Huestis, Josh",2,0.4
6,173.25549,134.75427,-134.75427,On,359.68245,-38.50122,-12.15828,0.001,-112.46409,192.5061,0.053,193.51929,166.16316,0.011,78,On/Off Court,,24,2500.29333333,54.71226,-55.72545,55.72545,539.01708,539.01708,414.39471,-55.72545,OKC,1610612760,Oklahoma City Thunder,99.29262,201586.0,"Ibaka, Serge",54,0.692
7,-34.44846,-24.31656,24.31656,On,256.33707,15.19785,4.05276,-0.002,-21.27699,45.59355,0.018,-11.14509,33.43527,0.047,82,On/Off Court,,27,1720.67833333,113.47728,54.71226,-54.71226,128.67513,128.67513,369.81435,-86.12115,OKC,1610612760,Oklahoma City Thunder,170.21592,202683.0,"Kanter, Enes",55,0.671
8,-5.06595,0.0,0.0,On,-3.03957,-8.10552,-10.1319,-0.193,-6.07914,-11.14509,-0.067,-23.30337,-17.22423,-0.023,20,On/Off Court,,3,72.45,-7.09233,5.06595,-5.06595,-49.64631,-49.64631,-10.1319,-2.02638,OKC,1610612760,Oklahoma City Thunder,10.1319,203956.0,"McGary, Mitch",17,0.85
