,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,TEAM_ID,TEAM_NAME
0,834,1409,809,0.574,469,180,0.384,1878,989,0.527,0.216,80,4668,"Westbrook, Russell",201566,,made,1610612760,Oklahoma City Thunder
1,61,348,175,0.503,135,42,0.311,483,217,0.449,0.137,80,2970,"Adams, Steven",203500,,made,1610612760,Oklahoma City Thunder
2,360,679,364,0.536,322,113,0.351,1001,477,0.477,0.124,72,2685,"Durant, Kevin",201142,,made,1610612760,Oklahoma City Thunder
3,33,282,143,0.507,122,36,0.295,404,179,0.443,0.121,82,2613,"Kanter, Enes",202683,,made,1610612760,Oklahoma City Thunder
4,66,240,111,0.463,152,58,0.382,392,169,0.431,0.087,78,1887,"Ibaka, Serge",201586,,made,1610612760,Oklahoma City Thunder
5,153,279,141,0.505,201,80,0.398,480,221,0.46,0.063,78,1352,"Waiters, Dion",203079,,made,1610612760,Oklahoma City Thunder
6,107,249,119,0.478,103,41,0.398,352,160,0.455,0.053,57,1153,"Payne, Cameron",1626166,,made,1610612760,Oklahoma City Thunder
7,47,152,76,0.5,88,25,0.284,240,101,0.421,0.041,70,886,"Roberson, Andre",203460,,made,1610612760,Oklahoma City Thunder
8,66,171,85,0.497,54,15,0.278,225,100,0.444,0.04,34,859,"Augustin, D.J.",201571,,made,1610612760,Oklahoma City Thunder
9,52,137,66,0.482,51,12,0.235,188,78,0.415,0.035,59,747,"Collison, Nick",2555,,made,1610612760,Oklahoma City Thunder
10,24,104,46,0.442,41,9,0.22,145,55,0.379,0.029,67,619,"Singler, Kyle",202713,,made,1610612760,Oklahoma City Thunder
11,49,121,62,0.512,56,22,0.393,177,84,0.475,0.025,27,537,"Foye, Randy",200751,,made,1610612760,Oklahoma City Thunder
12,24,86,35,0.407,35,13,0.371,121,48,0.397,0.022,64,470,"Morrow, Anthony",201627,,made,1610612760,Oklahoma City Thunder
13,3,6,3,0.5,7,1,0.143,13,4,0.308,0.005,17,98,"McGary, Mitch",203956,,made,1610612760,Oklahoma City Thunder
14,0,5,2,0.4,1,0,0.0,6,2,0.333,0.001,5,31,"Huestis, Josh",203962,,made,1610612760,Oklahoma City Thunder
15,0,4,2,0.5,3,0,0.0,7,2,0.286,0.001,7,25,"Novak, Steve",200779,,made,1610612760,Oklahoma City Thunder
16,0,2,1,0.5,1,0,0.0,3,1,0.333,0.001,4,19,"Mohammed, Nazr",1737,,made,1610612760,Oklahoma City Thunder
0,141,891,446,0.501,317,94,0.297,1208,540,0.447,0.261,80,5636,,201566,"Westbrook, Russell",received,1610612760,Oklahoma City Thunder
1,381,812,464,0.571,429,165,0.385,1241,629,0.507,0.161,72,3480,,201142,"Durant, Kevin",received,1610612760,Oklahoma City Thunder
2,136,400,163,0.408,232,86,0.371,632,249,0.394,0.085,78,1848,,203079,"Waiters, Dion",received,1610612760,Oklahoma City Thunder
3,356,619,319,0.515,178,59,0.331,797,378,0.474,0.085,78,1836,,201586,"Ibaka, Serge",received,1610612760,Oklahoma City Thunder
4,199,322,214,0.665,0,0,0.0,322,214,0.665,0.076,80,1648,,203500,"Adams, Steven",received,1610612760,Oklahoma City Thunder
5,249,516,296,0.574,20,10,0.5,536,306,0.571,0.075,82,1613,,202683,"Kanter, Enes",received,1610612760,Oklahoma City Thunder
6,39,148,69,0.466,108,36,0.333,256,105,0.41,0.06,57,1300,,1626166,"Payne, Cameron",received,1610612760,Oklahoma City Thunder
7,23,54,21,0.389,59,24,0.407,113,45,0.398,0.044,34,946,,201571,"Augustin, D.J.",received,1610612760,Oklahoma City Thunder
8,105,124,76,0.613,103,32,0.311,227,108,0.476,0.035,70,759,,203460,"Roberson, Andre",received,1610612760,Oklahoma City Thunder
9,102,121,54,0.446,201,78,0.388,322,132,0.41,0.031,66,665,,201627,"Morrow, Anthony",received,1610612760,Oklahoma City Thunder
10,27,61,22,0.361,78,24,0.308,139,46,0.331,0.027,27,594,,200751,"Foye, Randy",received,1610612760,Oklahoma City Thunder
11,33,74,35,0.473,2,0,0.0,76,35,0.461,0.027,59,582,,2555,"Collison, Nick",received,1610612760,Oklahoma City Thunder
12,71,102,46,0.451,95,30,0.316,197,76,0.386,0.027,66,576,,202713,"Singler, Kyle",received,1610612760,Oklahoma City Thunder
13,6,18,11,0.611,4,0,0.0,22,11,0.5,0.003,16,72,,203956,"McGary, Mitch",received,1610612760,Oklahoma City Thunder
14,5,3,1,0.333,9,5,0.556,12,6,0.5,0.001,7,27,,200779,"Novak, Steve",received,1610612760,Oklahoma City Thunder
15,5,5,1,0.2,6,4,0.667,11,5,0.455,0.001,5,25,,203962,"Huestis, Josh",received,1610612760,Oklahoma City Thunder
16,1,4,2,0.5,0,0,0.0,4,2,0.5,0.001,4,12,,1737,"Mohammed, Nazr",received,1610612760,Oklahoma City Thunder
