,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,373,170,2015-16,0.524,1945,678,0.349,7082,3372,0.476,Overall,2015-16,0.508,0.758,0.558,0.492,0.242,0.442
0,309,171,Less Than 5 ft.,0.596,0,0,0.0,2677,1595,0.596,Shot Distance (5ft),Less Than 5 ft.,0.513,0.0,0.513,0.487,0.0,0.487
1,34,171,5-9 ft.,0.468,0,0,0.0,555,260,0.468,Shot Distance (5ft),5-9 ft.,0.473,0.0,0.473,0.527,0.0,0.527
2,13,171,10-14 ft.,0.471,0,0,0.0,701,330,0.471,Shot Distance (5ft),10-14 ft.,0.4,0.0,0.4,0.6,0.0,0.6
3,10,171,15-19 ft.,0.441,0,0,0.0,1017,449,0.441,Shot Distance (5ft),15-19 ft.,0.584,0.0,0.584,0.416,0.0,0.416
4,4,171,20-24 ft.,0.503,1232,436,0.354,1419,496,0.35,Shot Distance (5ft),20-24 ft.,0.55,0.81,0.778,0.45,0.19,0.222
5,3,171,25-29 ft.,0.526,681,239,0.351,681,239,0.351,Shot Distance (5ft),25-29 ft.,0.0,0.669,0.669,0.0,0.331,0.331
6,0,171,30-34 ft.,0.214,14,2,0.143,14,2,0.143,Shot Distance (5ft),30-34 ft.,0.0,0.5,0.5,0.0,0.5,0.5
7,0,171,35-39 ft.,0.214,7,1,0.143,7,1,0.143,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,1.0,1.0
8,0,171,40+ ft.,0.0,9,0,0.0,9,0,0.0,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,0.0,0.0
0,335,172,Less Than 8 ft.,0.579,0,0,0.0,3038,1759,0.579,Shot Distance (8ft),Less Than 8 ft.,0.509,0.0,0.509,0.491,0.0,0.491
1,25,172,8-16 ft.,0.481,0,0,0.0,1060,510,0.481,Shot Distance (8ft),8-16 ft.,0.427,0.0,0.427,0.573,0.0,0.573
2,6,172,16-24 ft.,0.409,0,0,0.0,1038,425,0.409,Shot Distance (8ft),16-24 ft.,0.6,0.0,0.6,0.4,0.0,0.4
3,7,172,24+ ft.,0.525,1935,678,0.35,1936,678,0.35,Shot Distance (8ft),24+ ft.,0.0,0.758,0.758,0.0,0.242,0.242
4,0,172,Back Court Shot,0.0,8,0,0.0,8,0,0.0,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,0.0,0.0
0,295,173,Restricted Area,0.607,0,0,0.0,2527,1533,0.607,Shot Area,Restricted Area,0.517,0.0,0.517,0.483,0.0,0.483
1,52,173,In The Paint (Non-RA),0.462,0,0,0.0,913,422,0.462,Shot Area,In The Paint (Non-RA),0.443,0.0,0.443,0.557,0.0,0.557
2,19,173,Mid-Range,0.436,0,0,0.0,1696,739,0.436,Shot Area,Mid-Range,0.526,0.0,0.526,0.474,0.0,0.474
3,2,173,Left Corner 3,0.543,293,106,0.362,293,106,0.362,Shot Area,Left Corner 3,0.0,0.972,0.972,0.0,0.028,0.028
4,1,173,Right Corner 3,0.526,290,102,0.352,291,102,0.351,Shot Area,Right Corner 3,0.0,0.961,0.961,0.0,0.039,0.039
5,4,173,Above the Break 3,0.521,1354,470,0.347,1354,470,0.347,Shot Area,Above the Break 3,0.0,0.666,0.666,0.0,0.334,0.334
6,0,173,Backcourt,0.0,6,0,0.0,6,0,0.0,Shot Area,Backcourt,0.0,0.0,0.0,0.0,0.0,0.0
0,0,169,Assisted,1.136,514,514,1.0,1883,1883,1.0,Assisted Shot,Assisted,1.0,1.0,1.0,0.0,0.0,0.0
1,0,169,Unassisted,1.055,164,164,1.0,1489,1489,1.0,Assisted Shot,Unassisted,0.0,0.0,0.0,1.0,1.0,1.0
0,1,174,Alley Oop Dunk Shot,0.892,0,0,0.0,65,58,0.892,Shot Type,Alley Oop Dunk Shot,1.0,0.0,1.0,0.0,0.0,0.0
1,1,174,Alley Oop Layup shot,0.639,0,0,0.0,36,23,0.639,Shot Type,Alley Oop Layup shot,1.0,0.0,1.0,0.0,0.0,0.0
2,1,174,Cutting Dunk Shot,0.982,0,0,0.0,56,55,0.982,Shot Type,Cutting Dunk Shot,1.0,0.0,1.0,0.0,0.0,0.0
3,0,174,Cutting Finger Roll Layup Shot,1.0,0,0,0.0,1,1,1.0,Shot Type,Cutting Finger Roll Layup Shot,1.0,0.0,1.0,0.0,0.0,0.0
4,2,174,Cutting Layup Shot,0.88,0,0,0.0,50,44,0.88,Shot Type,Cutting Layup Shot,1.0,0.0,1.0,0.0,0.0,0.0
5,0,174,Driving Bank Hook Shot,0.667,0,0,0.0,3,2,0.667,Shot Type,Driving Bank Hook Shot,0.5,0.0,0.5,0.5,0.0,0.5
6,0,174,Driving Bank shot,0.789,0,0,0.0,19,15,0.789,Shot Type,Driving Bank shot,0.4,0.0,0.4,0.6,0.0,0.6
7,4,174,Driving Dunk Shot,0.938,0,0,0.0,80,75,0.938,Shot Type,Driving Dunk Shot,0.4,0.0,0.4,0.6,0.0,0.6
8,1,174,Driving Finger Roll Layup Shot,0.708,0,0,0.0,48,34,0.708,Shot Type,Driving Finger Roll Layup Shot,0.176,0.0,0.176,0.824,0.0,0.824
9,0,174,Driving Floating Bank Jump Shot,0.692,0,0,0.0,13,9,0.692,Shot Type,Driving Floating Bank Jump Shot,0.0,0.0,0.0,1.0,0.0,1.0
10,7,174,Driving Floating Jump Shot,0.486,0,0,0.0,37,18,0.486,Shot Type,Driving Floating Jump Shot,0.111,0.0,0.111,0.889,0.0,0.889
11,1,174,Driving Hook Shot,0.538,0,0,0.0,26,14,0.538,Shot Type,Driving Hook Shot,0.357,0.0,0.357,0.643,0.0,0.643
12,0,174,Driving Jump shot,0.0,0,0,0.0,0,0,0.0,Shot Type,Driving Jump shot,0.0,0.0,0.0,0.0,0.0,0.0
13,53,174,Driving Layup Shot,0.582,0,0,0.0,452,263,0.582,Shot Type,Driving Layup Shot,0.183,0.0,0.183,0.817,0.0,0.817
14,0,174,Driving Reverse Dunk Shot,0.0,0,0,0.0,0,0,0.0,Shot Type,Driving Reverse Dunk Shot,0.0,0.0,0.0,0.0,0.0,0.0
15,5,174,Driving Reverse Layup Shot,0.563,0,0,0.0,48,27,0.563,Shot Type,Driving Reverse Layup Shot,0.259,0.0,0.259,0.741,0.0,0.741
16,8,174,Dunk Shot,0.87,0,0,0.0,215,187,0.87,Shot Type,Dunk Shot,0.904,0.0,0.904,0.096,0.0,0.096
17,0,174,Fadeaway Bank shot,1.0,0,0,0.0,3,3,1.0,Shot Type,Fadeaway Bank shot,0.333,0.0,0.333,0.667,0.0,0.667
18,1,174,Fadeaway Jump Shot,0.489,0,0,0.0,90,44,0.489,Shot Type,Fadeaway Jump Shot,0.386,0.0,0.386,0.614,0.0,0.614
19,1,174,Finger Roll Layup Shot,0.692,0,0,0.0,26,18,0.692,Shot Type,Finger Roll Layup Shot,0.444,0.0,0.444,0.556,0.0,0.556
20,4,174,Floating Jump shot,0.507,0,0,0.0,201,102,0.507,Shot Type,Floating Jump shot,0.559,0.0,0.559,0.441,0.0,0.441
21,0,174,Hook Bank Shot,0.5,0,0,0.0,2,1,0.5,Shot Type,Hook Bank Shot,1.0,0.0,1.0,0.0,0.0,0.0
22,7,174,Hook Shot,0.465,0,0,0.0,127,59,0.465,Shot Type,Hook Shot,0.678,0.0,0.678,0.322,0.0,0.322
23,0,174,Jump Bank Shot,0.573,6,5,0.833,48,25,0.521,Shot Type,Jump Bank Shot,0.4,1.0,0.52,0.6,0.0,0.48
24,72,174,Jump Shot,0.434,1664,552,0.332,3023,1037,0.343,Shot Type,Jump Shot,0.796,0.882,0.842,0.204,0.118,0.158
25,167,174,Layup Shot,0.429,0,0,0.0,701,301,0.429,Shot Type,Layup Shot,0.641,0.0,0.641,0.359,0.0,0.359
26,0,174,Pullup Bank shot,0.538,0,0,0.0,13,7,0.538,Shot Type,Pullup Bank shot,0.0,0.0,0.0,1.0,0.0,1.0
27,3,174,Pullup Jump shot,0.579,227,96,0.423,682,347,0.509,Shot Type,Pullup Jump shot,0.167,0.177,0.17,0.833,0.823,0.83
28,1,174,Putback Dunk Shot,0.842,0,0,0.0,19,16,0.842,Shot Type,Putback Dunk Shot,0.0,0.0,0.0,1.0,0.0,1.0
