,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,117.53004,115.50366,-115.50366,155,2015-16,550.16217,-4.05276,11.14509,0.006,-111.4509,224.92818,0.038,118.54323,143.87298,0.026,,82,Overall,2015-16,27,3966.0,149.95212,38.50122,-38.50122,604.87443,604.87443,700.11429,,,2015-16,-117.53004,,,240.12603,55,0.671
0,135.76746,84.09477,-84.09477,153,Home,268.49535,13.17147,-8.10552,-0.013,-5.06595,154.00488,0.044,112.46409,109.42452,0.025,,41,Location,Home,9,1978.0,109.42452,-23.30337,23.30337,409.32876,409.32876,377.91987,,,,-23.30337,,Home,68.89692,32,0.78
1,-18.23742,31.40889,-31.40889,153,Road,281.66682,-17.22423,19.25061,0.025,-106.38495,70.9233,0.033,6.07914,34.44846,0.028,,41,Location,Road,18,1988.0,40.5276,61.80459,-61.80459,195.54567,195.54567,322.19442,,,,-94.22667,,Road,171.22911,23,0.561
0,207.70395,101.319,-101.319,157,Wins,485.31801,24.31656,73.96287,0.05,-45.59355,288.75915,0.064,112.46409,142.85979,0.041,Wins,55,Wins/Losses,Wins,0,2660.0,114.49047,12.15828,-12.15828,794.34096,794.34096,599.80848,,,,-39.51441,,,121.5828,55,1.0
1,-90.17391,14.18466,-14.18466,157,Losses,64.84416,-28.36932,-62.81778,-0.081,-65.85735,-63.83097,-0.014,6.07914,1.01319,-0.006,Losses,27,Wins/Losses,Losses,27,1306.0,35.46165,26.34294,-26.34294,-189.46653,-189.46653,100.30581,,,,-78.01563,,,118.54323,0,0.0
0,-7.09233,-6.07914,6.07914,154,October,10.1319,-2.02638,-2.02638,-0.028,-3.03957,0.0,0.007,9.11871,11.14509,0.063,,2,Month,October,0,106.0,12.15828,-2.02638,2.02638,9.11871,9.11871,22.29018,October,,,-6.07914,,,9.11871,2,1.0
1,33.43527,48.63312,-48.63312,154,November,84.09477,19.25061,8.10552,0.003,-15.19785,48.63312,0.04,-17.22423,-7.09233,0.015,,16,Month,November,7,768.0,23.30337,27.35613,-27.35613,98.27943,98.27943,107.39814,November,,,-31.40889,,,32.42208,9,0.563
2,19.25061,27.35613,-27.35613,154,December,110.43771,-48.63312,-18.23742,-0.004,-61.80459,39.51441,0.052,89.16072,103.34538,0.105,,15,Month,December,3,725.0,-2.02638,-38.50122,38.50122,164.13678,164.13678,108.41133,December,,,4.05276,,,8.10552,12,0.8
3,26.34294,9.11871,-9.11871,154,January,84.09477,-4.05276,9.11871,0.028,7.09233,59.77821,0.04,-9.11871,-4.05276,0.007,,16,Month,January,3,773.0,31.40889,30.3957,-30.3957,124.62237,124.62237,115.50366,January,,,-10.1319,,,33.43527,13,0.813
4,9.11871,17.22423,-17.22423,154,February,72.94968,43.56717,14.18466,-0.004,-14.18466,7.09233,0.014,16.21104,20.2638,0.03,,11,Month,February,5,533.0,21.27699,5.06595,-5.06595,48.63312,48.63312,94.22667,February,,,-18.23742,,,49.64631,6,0.545
