,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,5,6,4,0.667,,1,0,0.0,1.81,8,0.778,0,0021500435,27:40,0,29,201142,Kevin Durant,8,1,3.91,F,45,OKC,Oklahoma City,1610612760,3,3,1.0
1,0,2,2,1.0,,6,2,0.333,1.71,8,0.636,0,0021500435,26:09,2,19,201586,Serge Ibaka,10,1,3.91,F,32,OKC,Oklahoma City,1610612760,9,5,0.556
2,1,3,1,0.333,,3,0,0.0,1.59,10,0.6,0,0021500435,24:36,5,31,203500,Steven Adams,15,1,3.86,C,37,OKC,Oklahoma City,1610612760,2,2,1.0
3,3,4,3,0.75,,0,0,0.0,2.0,4,0.778,1,0021500435,26:29,6,14,203460,Andre Roberson,10,0,4.52,G,27,OKC,Oklahoma City,1610612760,5,4,0.8
4,8,11,7,0.636,,1,1,1.0,2.02,9,0.526,1,0021500435,29:33,5,47,201566,Russell Westbrook,14,2,4.09,G,71,OKC,Oklahoma City,1610612760,8,3,0.375
5,0,4,2,0.5,,1,1,1.0,1.27,8,0.5,0,0021500435,17:49,3,22,2555,Nick Collison,11,0,4.27,,27,OKC,Oklahoma City,1610612760,0,0,0.0
6,1,5,1,0.2,,0,0,0.0,1.1,3,0.125,0,0021500435,16:24,0,11,203079,Dion Waiters,3,0,4.02,,22,OKC,Oklahoma City,1610612760,3,0,0.0
7,0,7,4,0.571,,4,1,0.25,1.54,9,0.667,0,0021500435,21:40,8,35,202683,Enes Kanter,17,0,4.26,,49,OKC,Oklahoma City,1610612760,5,4,0.8
8,4,0,0,0.0,,0,0,0.0,0.69,1,0.0,0,0021500435,10:10,0,21,201571,D.J. Augustin,1,0,4.07,,24,OKC,Oklahoma City,1610612760,1,0,0.0
9,0,6,2,0.333,,1,1,1.0,1.3,3,0.25,0,0021500435,19:24,1,6,201627,Anthony Morrow,4,0,4.02,,14,OKC,Oklahoma City,1610612760,2,0,0.0
10,1,2,0,0.0,,1,1,1.0,0.59,2,0.4,0,0021500435,8:34,0,15,1626166,Cameron Payne,2,0,4.13,,21,OKC,Oklahoma City,1610612760,3,2,0.667
11,0,2,1,0.5,,0,0,0.0,0.39,1,0.333,0,0021500435,5:46,2,3,202713,Kyle Singler,3,0,4.05,,6,OKC,Oklahoma City,1610612760,1,0,0.0
12,0,1,1,1.0,,1,1,1.0,0.4,0,1.0,0,0021500435,5:46,0,4,200779,Steve Novak,0,0,4.16,,5,OKC,Oklahoma City,1610612760,0,0,0.0
13,3,13,4,0.308,,0,0,0.0,1.78,0,0.318,0,0021500435,27:56,2,23,977,Kobe Bryant,2,1,3.81,F,52,LAL,Los Angeles,1610612747,9,3,0.333
14,1,3,1,0.333,,1,1,1.0,1.53,7,0.4,0,0021500435,19:43,3,37,1626204,Larry Nance Jr.,10,0,4.64,F,47,LAL,Los Angeles,1610612747,2,1,0.5
15,1,3,0,0.0,,7,4,0.571,1.42,4,0.25,0,0021500435,21:30,1,24,201579,Roy Hibbert,5,0,3.95,C,30,LAL,Los Angeles,1610612747,1,1,1.0
16,2,3,0,0.0,,2,2,1.0,1.62,2,0.0,0,0021500435,25:07,1,25,101150,Lou Williams,3,0,3.86,G,34,LAL,Los Angeles,1610612747,3,0,0.0
17,2,7,3,0.429,,1,1,1.0,2.1,6,0.333,1,0021500435,30:39,3,51,203903,Jordan Clarkson,9,0,4.1,G,70,LAL,Los Angeles,1610612747,5,1,0.2
18,0,5,3,0.6,,13,6,0.462,1.75,11,0.667,0,0021500435,26:30,7,32,203135,Robert Sacre,18,0,3.96,,39,LAL,Los Angeles,1610612747,1,1,1.0
19,2,9,2,0.222,,3,2,0.667,2.06,4,0.375,0,0021500435,28:14,3,53,1626156,D'Angelo Russell,7,1,4.37,,72,LAL,Los Angeles,1610612747,7,4,0.571
20,1,1,1,1.0,,5,2,0.4,1.19,6,0.5,0,0021500435,16:17,3,23,101138,Brandon Bass,9,0,4.38,,27,LAL,Los Angeles,1610612747,3,1,0.333
21,3,1,0,0.0,,3,3,1.0,1.46,6,0.167,0,0021500435,20:04,2,18,1626148,Anthony Brown,8,0,4.36,,26,LAL,Los Angeles,1610612747,5,1,0.2
22,0,4,3,0.75,,3,0,0.0,0.79,5,0.714,0,0021500435,12:00,0,12,203527,Ryan Kelly,5,0,3.95,,21,LAL,Los Angeles,1610612747,3,2,0.667
23,4,1,0,0.0,,1,1,1.0,0.81,2,0.0,1,0021500435,12:00,0,24,1626273,Marcelo Huertas,2,1,4.05,,26,LAL,Los Angeles,1610612747,0,0,0.0
24,0,0,0,0.0,DND - Sprained Left Ankle               ,0,0,0.0,0.0,0,0.0,0,0021500435,0:00,0,0,203944,Julius Randle,0,0,0.0,,0,LAL,Los Angeles,1610612747,0,0,0.0
25,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500435,0:00,0,0,1897,Metta World Peace,0,0,0.0,,0,LAL,Los Angeles,1610612747,0,0,0.0
