,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,5.0,3.0,,7.0,2.0,1.0,0.5,9.0,7.0,0.778,6.0,6.0,1.0,0021500435,27:40,0.0,4.0,201142,Kevin Durant,41.0,21.0,7.0,F,0.0,OKC,Oklahoma City,1610612760,3.0
1,0.0,2.0,,6.0,4.0,2.0,0.5,11.0,7.0,0.636,1.0,1.0,1.0,0021500435,26:10,1.0,2.0,201586,Serge Ibaka,38.0,17.0,7.0,F,0.0,OKC,Oklahoma City,1610612760,2.0
2,1.0,2.0,,5.0,0.0,0.0,0.0,5.0,3.0,0.6,1.0,0.0,0.0,0021500435,24:36,2.0,2.0,203500,Steven Adams,39.0,6.0,7.0,C,1.0,OKC,Oklahoma City,1610612760,2.0
3,3.0,4.0,,3.0,1.0,0.0,0.0,9.0,7.0,0.778,2.0,1.0,0.5,0021500435,26:30,4.0,1.0,203460,Andre Roberson,45.0,15.0,7.0,G,2.0,OKC,Oklahoma City,1610612760,1.0
4,8.0,0.0,,5.0,1.0,0.0,0.0,19.0,10.0,0.526,5.0,3.0,0.6,0021500435,29:33,3.0,2.0,201566,Russell Westbrook,33.0,23.0,8.0,G,2.0,OKC,Oklahoma City,1610612760,2.0
5,0.0,0.0,,6.0,0.0,0.0,0.0,4.0,2.0,0.5,0.0,0.0,0.0,0021500435,17:48,2.0,1.0,2555,Nick Collison,-4.0,4.0,8.0,,0.0,OKC,Oklahoma City,1610612760,1.0
6,1.0,0.0,,1.0,3.0,0.0,0.0,8.0,1.0,0.125,0.0,0.0,0.0,0021500435,16:23,0.0,2.0,203079,Dion Waiters,-7.0,2.0,1.0,,0.0,OKC,Oklahoma City,1610612760,2.0
7,0.0,2.0,,5.0,0.0,0.0,0.0,12.0,8.0,0.667,0.0,0.0,0.0,0021500435,21:40,6.0,2.0,202683,Enes Kanter,-6.0,16.0,11.0,,0.0,OKC,Oklahoma City,1610612760,2.0
8,4.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0021500435,10:10,0.0,0.0,201571,D.J. Augustin,-1.0,2.0,0.0,,0.0,OKC,Oklahoma City,1610612760,0.0
9,0.0,0.0,,2.0,4.0,1.0,0.25,8.0,2.0,0.25,0.0,0.0,0.0,0021500435,19:24,0.0,1.0,201627,Anthony Morrow,-9.0,5.0,2.0,,0.0,OKC,Oklahoma City,1610612760,0.0
10,1.0,0.0,,1.0,3.0,1.0,0.333,5.0,2.0,0.4,0.0,0.0,0.0,0021500435,8:34,0.0,0.0,1626166,Cameron Payne,0.0,5.0,1.0,,2.0,OKC,Oklahoma City,1610612760,0.0
11,0.0,0.0,,1.0,0.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,0021500435,5:46,1.0,0.0,202713,Kyle Singler,3.0,2.0,2.0,,0.0,OKC,Oklahoma City,1610612760,0.0
12,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0021500435,5:46,0.0,0.0,200779,Steve Novak,3.0,2.0,0.0,,0.0,OKC,Oklahoma City,1610612760,0.0
13,3.0,0.0,,0.0,7.0,2.0,0.286,22.0,7.0,0.318,3.0,3.0,1.0,0021500435,27:56,1.0,3.0,977,Kobe Bryant,-36.0,19.0,1.0,F,1.0,LAL,Los Angeles,1610612747,2.0
14,1.0,0.0,,3.0,0.0,0.0,0.0,5.0,2.0,0.4,0.0,0.0,0.0,0021500435,19:44,2.0,3.0,1626204,Larry Nance Jr.,-45.0,4.0,5.0,F,0.0,LAL,Los Angeles,1610612747,2.0
15,1.0,1.0,,1.0,0.0,0.0,0.0,4.0,1.0,0.25,2.0,2.0,1.0,0021500435,21:30,0.0,4.0,201579,Roy Hibbert,-28.0,4.0,1.0,C,0.0,LAL,Los Angeles,1610612747,2.0
16,2.0,0.0,,0.0,2.0,0.0,0.0,6.0,0.0,0.0,6.0,2.0,0.333,0021500435,25:07,1.0,2.0,101150,Lou Williams,-47.0,2.0,1.0,G,1.0,LAL,Los Angeles,1610612747,0.0
17,2.0,0.0,,4.0,2.0,0.0,0.0,12.0,4.0,0.333,2.0,2.0,1.0,0021500435,30:39,2.0,0.0,203903,Jordan Clarkson,-30.0,10.0,6.0,G,2.0,LAL,Los Angeles,1610612747,1.0
18,0.0,1.0,,3.0,0.0,0.0,0.0,6.0,4.0,0.667,4.0,2.0,0.5,0021500435,26:30,3.0,2.0,203135,Robert Sacre,-7.0,10.0,6.0,,1.0,LAL,Los Angeles,1610612747,1.0
