,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,2.0,2.0,,11.0,9.0,3.0,0.333,30.0,15.0,0.5,11.0,10.0,0.909,0021500022,53:32,1.0,4.0,201142,Kevin Durant,3.0,43.0,12.0,F,1.0,OKC,Oklahoma City,1610612760,2.0
1,0.0,2.0,,6.0,1.0,0.0,0.0,12.0,4.0,0.333,0.0,0.0,0.0,0021500022,32:41,6.0,3.0,201586,Serge Ibaka,-18.0,8.0,12.0,F,1.0,OKC,Oklahoma City,1610612760,1.0
2,2.0,2.0,,3.0,0.0,0.0,0.0,5.0,3.0,0.6,4.0,3.0,0.75,0021500022,35:55,5.0,5.0,203500,Steven Adams,-3.0,9.0,8.0,C,2.0,OKC,Oklahoma City,1610612760,2.0
3,0.0,0.0,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0021500022,18:48,0.0,0.0,203460,Andre Roberson,-13.0,0.0,2.0,G,0.0,OKC,Oklahoma City,1610612760,2.0
4,8.0,1.0,,6.0,5.0,1.0,0.2,36.0,17.0,0.472,16.0,13.0,0.813,0021500022,47:35,5.0,3.0,201566,Russell Westbrook,2.0,48.0,11.0,G,1.0,OKC,Oklahoma City,1610612760,6.0
5,0.0,0.0,,1.0,3.0,1.0,0.333,3.0,1.0,0.333,0.0,0.0,0.0,0021500022,14:04,0.0,0.0,201627,Anthony Morrow,-8.0,3.0,1.0,,2.0,OKC,Oklahoma City,1610612760,1.0
6,5.0,0.0,,1.0,4.0,2.0,0.5,6.0,4.0,0.667,2.0,2.0,1.0,0021500022,28:14,1.0,3.0,201571,D.J. Augustin,24.0,12.0,2.0,,0.0,OKC,Oklahoma City,1610612760,0.0
7,2.0,1.0,,7.0,3.0,1.0,0.333,6.0,1.0,0.167,0.0,0.0,0.0,0021500022,28:34,0.0,3.0,203079,Dion Waiters,24.0,3.0,7.0,,0.0,OKC,Oklahoma City,1610612760,3.0
8,0.0,1.0,,2.0,0.0,0.0,0.0,8.0,4.0,0.5,3.0,2.0,0.667,0021500022,18:02,4.0,6.0,202683,Enes Kanter,9.0,10.0,6.0,,0.0,OKC,Oklahoma City,1610612760,2.0
9,0.0,0.0,,1.0,1.0,0.0,0.0,3.0,1.0,0.333,2.0,1.0,0.5,0021500022,12:35,0.0,1.0,202713,Kyle Singler,-5.0,3.0,1.0,,1.0,OKC,Oklahoma City,1610612760,1.0
10,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500022,,,,2555,Nick Collison,,,,,,OKC,Oklahoma City,1610612760,
11,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500022,,,,203956,Mitch McGary,,,,,,OKC,Oklahoma City,1610612760,
12,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500022,,,,200779,Steve Novak,,,,,,OKC,Oklahoma City,1610612760,
13,3.0,0.0,,4.0,8.0,2.0,0.25,21.0,8.0,0.381,6.0,4.0,0.667,0021500022,44:42,1.0,3.0,203095,Evan Fournier,5.0,22.0,5.0,F,2.0,ORL,Orlando,1610612753,2.0
14,4.0,1.0,,5.0,4.0,2.0,0.5,19.0,9.0,0.474,12.0,10.0,0.833,0021500022,46:17,4.0,3.0,202699,Tobias Harris,-2.0,30.0,9.0,F,0.0,ORL,Orlando,1610612753,5.0
15,0.0,5.0,,4.0,0.0,0.0,0.0,14.0,10.0,0.714,8.0,6.0,0.75,0021500022,45:05,3.0,5.0,202696,Nikola Vucevic,3.0,26.0,7.0,C,1.0,ORL,Orlando,1610612753,1.0
16,10.0,1.0,,13.0,10.0,3.0,0.3,27.0,8.0,0.296,2.0,2.0,1.0,0021500022,50:40,0.0,5.0,203506,Victor Oladipo,-9.0,21.0,13.0,G,3.0,ORL,Orlando,1610612753,5.0
17,5.0,0.0,,2.0,4.0,2.0,0.5,11.0,5.0,0.455,2.0,2.0,1.0,0021500022,36:47,1.0,5.0,203901,Elfrid Payton,-7.0,14.0,3.0,G,1.0,ORL,Orlando,1610612753,0.0
18,3.0,0.0,,3.0,3.0,1.0,0.333,5.0,1.0,0.2,0.0,0.0,0.0,0021500022,20:58,0.0,1.0,201228,CJ Watson,2.0,3.0,3.0,,1.0,ORL,Orlando,1610612753,0.0
19,0.0,0.0,,0.0,3.0,1.0,0.333,3.0,1.0,0.333,0.0,0.0,0.0,0021500022,14:16,0.0,2.0,1626209,Mario Hezonja,4.0,3.0,0.0,,1.0,ORL,Orlando,1610612753,2.0
20,0.0,1.0,,2.0,1.0,1.0,1.0,4.0,4.0,1.0,8.0,6.0,0.75,0021500022,17:51,1.0,5.0,203932,Aaron Gordon,-6.0,15.0,3.0,,1.0,ORL,Orlando,1610612753,1.0
