,COMMENT,GAME_ID,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,USG_PCT
0,,0021500022,53:32,0.105,0.25,0.286,0.314,0.333,0.375,0.291,0.306,0.367,0.385,0.05,0.154,0.259,0.326,0.218,0.125,0.111,201142,Kevin Durant,F,OKC,Oklahoma City,1610612760,0.275
1,,0021500022,32:41,0.0,0.4,0.143,0.261,0.071,0.0,0.197,0.16,0.0,0.0,0.462,0.375,0.111,0.114,0.333,0.25,0.071,201586,Serge Ibaka,F,OKC,Oklahoma City,1610612760,0.154
2,,0021500022,35:55,0.182,0.333,0.0,0.115,0.0,0.0,0.068,0.094,0.211,0.188,0.333,0.357,0.105,0.107,0.195,0.5,0.182,203500,Steven Adams,C,OKC,Oklahoma City,1610612760,0.095
3,,0021500022,18:48,0.0,0.0,0.0,0.154,0.143,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.333,203460,Andre Roberson,G,OKC,Oklahoma City,1610612760,0.072
4,,0021500022,47:35,0.5,0.125,0.625,0.182,0.208,0.143,0.387,0.386,0.615,0.619,0.278,0.136,0.56,0.414,0.216,0.143,0.353,201566,Russell Westbrook,G,OKC,Oklahoma City,1610612760,0.404
5,,0021500022,14:04,0.0,0.0,0.0,0.125,0.6,1.0,0.103,0.083,0.0,0.0,0.0,0.0,0.125,0.094,0.063,0.5,0.143,201627,Anthony Morrow,,OKC,Oklahoma City,1610612760,0.101
6,,0021500022,28:14,0.5,0.0,0.0,0.053,0.308,0.4,0.111,0.154,0.091,0.111,0.1,0.15,0.125,0.16,0.069,0.0,0.0,201571,D.J. Augustin,,OKC,Oklahoma City,1610612760,0.095
7,,0021500022,28:34,0.2,0.2,0.0,0.333,0.214,0.2,0.111,0.038,0.0,0.0,0.0,0.143,0.0,0.039,0.219,0.0,0.333,203079,Dion Waiters,,OKC,Oklahoma City,1610612760,0.122
8,,0021500022,18:02,0.0,0.5,0.25,0.167,0.0,0.0,0.276,0.267,0.2,0.167,0.8,0.462,0.222,0.217,0.353,0.0,0.25,202683,Enes Kanter,,OKC,Oklahoma City,1610612760,0.26
9,,0021500022,12:35,0.0,0.0,0.2,0.1,0.125,0.0,0.13,0.143,0.154,0.111,0.0,0.2,0.125,0.13,0.063,0.5,0.167,202713,Kyle Singler,,OKC,Oklahoma City,1610612760,0.141
10,DNP - Coach's Decision                  ,0021500022,,,,,,,,,,,,,,,,,,,2555,Nick Collison,,OKC,Oklahoma City,1610612760,0.0
11,DNP - Coach's Decision                  ,0021500022,,,,,,,,,,,,,,,,,,,203956,Mitch McGary,,OKC,Oklahoma City,1610612760,0.0
12,DNP - Coach's Decision                  ,0021500022,,,,,,,,,,,,,,,,,,,200779,Steve Novak,,OKC,Oklahoma City,1610612760,0.0
13,,0021500022,44:42,0.158,0.0,0.143,0.154,0.286,0.222,0.25,0.216,0.188,0.154,0.091,0.143,0.208,0.202,0.135,0.25,0.154,203095,Evan Fournier,F,ORL,Orlando,1610612753,0.231
14,,0021500022,46:17,0.19,0.143,0.125,0.179,0.154,0.2,0.218,0.231,0.414,0.417,0.4,0.12,0.333,0.268,0.237,0.0,0.385,202699,Tobias Harris,F,ORL,Orlando,1610612753,0.26
15,,0021500022,45:05,0.0,0.714,0.125,0.148,0.0,0.0,0.165,0.256,0.276,0.25,0.333,0.238,0.3,0.232,0.194,0.143,0.091,202696,Nikola Vucevic,C,ORL,Orlando,1610612753,0.17
