,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.136,40.3,0.0,,128.0,0.083,0.5,0021500815,28:46,-32.5,95.5,0.036,108.49,0.06,203084,Harrison Barnes,0.058,F,GSW,Golden State,1610612744,0.0,0.563,0.063
1,0.333,32.2,0.89,,112.0,0.393,0.857,0021500815,31:08,-12.8,99.1,0.036,115.97,0.129,203110,Draymond Green,0.214,F,GSW,Golden State,1610612744,36.2,0.888,0.215
2,0.0,0.0,0.0,,136.7,0.273,0.333,0021500815,14:02,-23.0,113.8,0.0,108.63,0.006,101106,Andrew Bogut,0.143,C,GSW,Golden State,1610612744,25.0,0.333,0.13
3,0.05,4.8,1.0,,107.1,0.115,0.563,0021500815,28:28,6.2,113.4,0.0,110.18,0.125,202691,Klay Thompson,0.058,G,GSW,Golden State,1610612744,4.8,0.617,0.279
4,0.385,16.1,1.67,,119.0,0.045,0.674,0021500815,26:18,-24.9,94.2,0.077,119.64,0.17,201939,Stephen Curry,0.062,G,GSW,Golden State,1610612744,9.7,0.674,0.367
5,0.286,27.7,1.0,,110.4,0.087,0.167,0021500815,23:10,-32.4,78.1,0.0,116.15,-0.039,2738,Andre Iguodala,0.04,,GSW,Golden State,1610612744,27.7,0.155,0.177
6,0.125,10.2,0.0,,137.4,0.063,0.143,0021500815,19:33,-67.9,69.5,0.0,112.81,0.013,2571,Leandro Barbosa,0.022,,GSW,Golden State,1610612744,0.0,0.285,0.162
7,0.25,8.6,0.0,,150.7,0.222,0.25,0021500815,12:45,-59.1,91.6,0.222,100.07,0.147,201578,Marreese Speights,0.222,,GSW,Golden State,1610612744,0.0,0.47,0.31
8,0.111,20.0,0.5,,124.8,0.071,0.0,0021500815,15:16,-20.8,104.0,0.0,97.72,-0.048,2733,Shaun Livingston,0.033,,GSW,Golden State,1610612744,40.0,0.0,0.109
9,0.091,12.7,0.0,,120.1,0.125,0.0,0021500815,17:51,-27.8,92.3,0.0,114.98,-0.028,201575,Brandon Rush,0.051,,GSW,Golden State,1610612744,0.0,0.073,0.137
10,0.0,0.0,0.0,,129.4,0.667,0.5,0021500815,8:49,-24.4,105.0,0.267,104.42,0.23,1626172,Kevon Looney,0.381,,GSW,Golden State,1610612744,0.0,0.5,0.077
11,0.0,0.0,0.0,,132.8,0.0,0.5,0021500815,7:33,-39.6,93.2,0.083,109.61,0.096,203546,Ian Clark,0.059,,GSW,Golden State,1610612744,0.0,0.508,0.372
12,0.0,0.0,0.0,,125.7,0.2,0.0,0021500815,6:21,-35.4,90.3,0.083,108.55,0.068,201574,Jason Thompson,0.118,,GSW,Golden State,1610612744,0.0,0.362,0.15
13,0.0,0.0,0.0,,108.3,0.208,0.333,0021500815,25:17,18.8,127.1,0.048,114.21,0.016,202329,Al-Farouq Aminu,0.133,F,POR,Portland,1610612757,20.5,0.387,0.076
14,0.0,0.0,0.0,,97.8,0.211,0.583,0021500815,21:46,36.6,134.4,0.0,115.91,0.06,203943,Noah Vonleh,0.118,F,POR,Portland,1610612757,0.0,0.654,0.123
15,0.217,33.9,5.0,,99.1,0.19,0.714,0021500815,20:00,54.3,153.3,0.083,107.23,0.141,203486,Mason Plumlee,0.152,C,POR,Portland,1610612757,6.8,0.685,0.199
16,0.25,22.6,1.17,,93.2,0.133,0.583,0021500815,32:02,36.7,129.8,0.0,109.63,0.106,203468,CJ McCollum,0.071,G,POR,Portland,1610612757,19.4,0.583,0.295
17,0.368,18.4,0.0,,102.7,0.0,0.804,0021500815,31:06,30.6,133.2,0.0,114.86,0.318,203081,Damian Lillard,0.0,G,POR,Portland,1610612757,0.0,0.82,0.399
18,0.091,19.2,0.0,,83.6,0.156,0.5,0021500815,25:22,31.4,114.9,0.0,112.59,0.106,203459,Allen Crabbe,0.086,,POR,Portland,1610612757,0.0,0.533,0.128
19,0.105,22.2,2.0,,87.0,0.182,0.917,0021500815,25:23,20.2,107.2,0.08,108.32,0.188,203090,Maurice Harkless,0.138,,POR,Portland,1610612757,11.1,0.917,0.111
20,0.1,12.0,2.0,,82.9,0.129,0.364,0021500815,25:14,24.2,107.2,0.0,112.35,0.115,201945,Gerald Henderson,0.073,,POR,Portland,1610612757,6.0,0.44,0.233
21,0.063,22.5,0.0,,81.4,0.263,0.333,0021500815,15:44,44.4,125.7,0.2,106.54,0.079,202334,Ed Davis,0.235,,POR,Portland,1610612757,0.0,0.291,0.088
22,0.0,0.0,0.0,,114.0,0.286,0.0,0021500815,4:45,-44.0,70.0,0.0,108.13,-0.077,2549,Chris Kaman,0.167,,POR,Portland,1610612757,0.0,0.0,0.182
23,0.0,0.0,0.0,,114.0,0.0,0.875,0021500815,4:45,-44.0,70.0,0.0,108.13,0.462,203148,Brian Roberts,0.0,,POR,Portland,1610612757,0.0,0.875,0.364
24,0.667,40.0,0.67,,114.0,0.143,0.0,0021500815,4:45,-44.0,70.0,0.2,108.13,-0.115,203086,Meyers Leonard,0.167,,POR,Portland,1610612757,60.0,0.0,0.273
25,0.0,0.0,0.0,,129.1,0.0,0.0,0021500815,3:51,-41.6,87.5,0.0,102.98,-0.143,1626192,Pat Connaughton,0.0,,POR,Portland,1610612757,0.0,0.0,0.125
