,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.509,0.167,0021500815,28:46,0.669,0.119,0.208,0.109,0.179,203084,Harrison Barnes,F,GSW,Golden State,1610612744,0.197
1,,0.586,0.103,0021500815,31:08,0.581,0.323,0.143,0.13,0.179,203110,Draymond Green,F,GSW,Golden State,1610612744,0.244
2,,0.667,0.083,0021500815,14:02,0.677,0.194,0.182,0.059,0.1,101106,Andrew Bogut,C,GSW,Golden State,1610612744,0.201
3,,0.602,0.185,0021500815,28:28,0.554,0.214,0.154,0.136,0.231,202691,Klay Thompson,G,GSW,Golden State,1610612744,0.186
4,,0.547,0.075,0021500815,26:18,0.625,0.365,0.091,0.121,0.231,201939,Stephen Curry,G,GSW,Golden State,1610612744,0.247
5,,0.411,0.156,0021500815,23:10,0.52,0.32,0.261,0.105,0.148,2738,Andre Iguodala,,GSW,Golden State,1610612744,0.2
6,,0.263,0.4,0021500815,19:33,0.683,0.268,0.25,0.087,0.276,2571,Leandro Barbosa,,GSW,Golden State,1610612744,0.152
7,,0.278,0.444,0021500815,12:45,0.661,0.071,0.333,0.0,0.389,201578,Marreese Speights,,GSW,Golden State,1610612744,0.073
8,,0.404,0.5,0021500815,15:16,0.594,0.031,0.357,0.099,0.313,2733,Shaun Livingston,,GSW,Golden State,1610612744,0.158
9,,0.379,0.636,0021500815,17:51,0.636,0.364,0.125,0.162,0.348,201575,Brandon Rush,,GSW,Golden State,1610612744,0.189
10,,0.25,0.889,0021500815,8:49,0.719,0.188,0.167,0.155,0.467,1626172,Kevon Looney,,GSW,Golden State,1610612744,0.053
11,,0.25,1.0,0021500815,7:33,0.75,0.214,0.2,0.173,0.333,203546,Ian Clark,,GSW,Golden State,1610612744,0.058
12,,0.25,0.714,0021500815,6:21,0.727,0.273,0.2,0.209,0.333,201574,Jason Thompson,,GSW,Golden State,1610612744,0.0
13,,0.667,0.275,0021500815,25:17,0.553,0.298,0.333,0.224,0.095,202329,Al-Farouq Aminu,F,POR,Portland,1610612757,0.113
14,,0.733,0.372,0021500815,21:46,0.579,0.184,0.158,0.24,0.067,203943,Noah Vonleh,F,POR,Portland,1610612757,0.109
15,,0.786,0.214,0021500815,20:00,0.459,0.27,0.333,0.189,0.167,203486,Mason Plumlee,C,POR,Portland,1610612757,0.064
16,,0.654,0.262,0021500815,32:02,0.518,0.2,0.133,0.212,0.231,203468,CJ McCollum,G,POR,Portland,1610612757,0.119
17,,0.702,0.323,0021500815,31:06,0.492,0.254,0.324,0.192,0.091,203081,Damian Lillard,G,POR,Portland,1610612757,0.092
18,,0.537,0.259,0021500815,25:22,0.377,0.208,0.281,0.184,0.269,203459,Allen Crabbe,,POR,Portland,1610612757,0.101
19,,0.529,0.173,0021500815,25:23,0.385,0.288,0.242,0.137,0.28,203090,Maurice Harkless,,POR,Portland,1610612757,0.125
20,,0.549,0.216,0021500815,25:14,0.392,0.235,0.29,0.216,0.208,201945,Gerald Henderson,,POR,Portland,1610612757,0.121
21,,0.574,0.147,0021500815,15:44,0.383,0.2,0.158,0.168,0.333,202334,Ed Davis,,POR,Portland,1610612757,0.088
22,,0.438,0.0,0021500815,4:45,0.389,1.111,0.286,0.0,0.2,2549,Chris Kaman,,POR,Portland,1610612757,0.3
23,,0.438,0.0,0021500815,4:45,0.389,1.111,0.286,0.0,0.2,203148,Brian Roberts,,POR,Portland,1610612757,0.3
24,,0.438,0.0,0021500815,4:45,0.389,1.111,0.286,0.0,0.2,203086,Meyers Leonard,,POR,Portland,1610612757,0.3
25,,0.5,0.0,0021500815,3:51,0.5,1.143,0.333,0.0,0.0,1626192,Pat Connaughton,,POR,Portland,1610612757,0.125
