,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.5,0.156,0021500982,26:24,0.612,0.102,0.261,0.134,0.227,203095,Evan Fournier,F,ORL,Orlando,1610612753,0.218
1,,0.483,0.102,0021500982,32:41,0.629,0.103,0.222,0.168,0.152,203932,Aaron Gordon,F,ORL,Orlando,1610612753,0.187
2,,0.52,0.12,0021500982,15:21,0.533,0.0,0.25,0.161,0.154,203473,Dewayne Dedmon,C,ORL,Orlando,1610612753,0.198
3,,0.45,0.1,0021500982,23:47,0.585,0.0,0.273,0.146,0.167,203506,Victor Oladipo,G,ORL,Orlando,1610612753,0.226
4,,0.427,0.073,0021500982,24:03,0.617,0.064,0.273,0.142,0.2,201228,CJ Watson,G,ORL,Orlando,1610612753,0.228
5,,0.353,0.241,0021500982,28:44,0.724,0.224,0.316,0.143,0.27,101141,Ersan Ilyasova,,ORL,Orlando,1610612753,0.129
6,,0.386,0.318,0021500982,11:20,0.735,0.294,0.0,0.135,0.182,201160,Jason Smith,,ORL,Orlando,1610612753,0.115
7,,0.373,0.273,0021500982,26:31,0.774,0.262,0.188,0.154,0.212,1626209,Mario Hezonja,,ORL,Orlando,1610612753,0.068
8,,0.333,0.238,0021500982,19:18,0.7,0.2,0.231,0.213,0.222,203906,Devyn Marble,,ORL,Orlando,1610612753,0.069
9,,0.4,0.3,0021500982,23:57,0.716,0.216,0.2,0.176,0.214,203894,Shabazz Napier,,ORL,Orlando,1610612753,0.073
10,,0.25,0.333,0021500982,7:54,0.75,0.0,0.4,0.2,0.25,203094,Andrew Nicholson,,ORL,Orlando,1610612753,0.0
11,DND - Sore left achilles                ,,,0021500982,,,,,,,201943,Brandon Jennings,,ORL,Orlando,1610612753,
12,DND - sprained right elbow              ,,,0021500982,,,,,,,203901,Elfrid Payton,,ORL,Orlando,1610612753,
13,,0.62,0.0,0021500982,23:15,0.475,0.1,0.174,0.209,0.286,202329,Al-Farouq Aminu,F,POR,Portland,1610612757,0.13
14,,0.563,0.0,0021500982,20:54,0.419,0.189,0.136,0.159,0.238,203943,Noah Vonleh,F,POR,Portland,1610612757,0.146
15,,0.582,0.163,0021500982,26:39,0.415,0.213,0.222,0.223,0.231,203486,Mason Plumlee,C,POR,Portland,1610612757,0.114
16,,0.596,0.115,0021500982,29:03,0.52,0.098,0.115,0.193,0.231,203468,CJ McCollum,G,POR,Portland,1610612757,0.171
17,,0.643,0.089,0021500982,29:46,0.452,0.192,0.214,0.192,0.24,203081,Damian Lillard,G,POR,Portland,1610612757,0.118
18,,0.758,0.355,0021500982,21:20,0.442,0.233,0.273,0.108,0.167,203086,Meyers Leonard,,POR,Portland,1610612757,0.191
19,,0.75,0.15,0021500982,13:10,0.54,0.08,0.143,0.077,0.167,202334,Ed Davis,,POR,Portland,1610612757,0.228
20,,0.713,0.275,0021500982,23:48,0.362,0.191,0.233,0.154,0.25,203459,Allen Crabbe,,POR,Portland,1610612757,0.146
21,,0.733,0.367,0021500982,20:29,0.39,0.22,0.24,0.133,0.083,201945,Gerald Henderson,,POR,Portland,1610612757,0.171
22,,0.75,0.0,0021500982,7:54,0.25,0.333,0.25,0.0,0.4,203148,Brian Roberts,,POR,Portland,1610612757,0.2
23,,0.75,0.0,0021500982,7:54,0.25,0.333,0.25,0.0,0.4,203090,Maurice Harkless,,POR,Portland,1610612757,0.2
24,,0.75,0.0,0021500982,7:54,0.25,0.333,0.25,0.0,0.4,1626192,Pat Connaughton,,POR,Portland,1610612757,0.2
25,,0.75,0.0,0021500982,7:54,0.25,0.333,0.25,0.0,0.4,2549,Chris Kaman,,POR,Portland,1610612757,0.2
