,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0,0,,0021500815,28:46,6,6,7,30,0,2,203084,Harrison Barnes,3,0,2,2,F,GSW,Golden State,1610612744
1,0,1,,0021500815,31:08,8,6,15,36,3,4,203110,Draymond Green,5,0,3,6,F,GSW,Golden State,1610612744
2,3,1,,0021500815,14:02,4,0,6,16,3,0,101106,Andrew Bogut,0,0,0,2,C,GSW,Golden State,1610612744
3,0,0,,0021500815,28:28,3,0,7,30,1,3,202691,Klay Thompson,2,2,0,10,G,GSW,Golden State,1610612744
4,0,0,,0021500815,26:18,4,7,10,26,4,0,201939,Stephen Curry,0,2,3,8,G,GSW,Golden State,1610612744
5,1,0,,0021500815,23:10,10,12,8,26,3,2,2738,Andre Iguodala,0,2,2,2,,GSW,Golden State,1610612744
6,0,1,,0021500815,19:33,8,14,8,18,0,3,2571,Leandro Barbosa,1,2,1,2,,GSW,Golden State,1610612744
7,0,0,,0021500815,12:45,3,8,2,12,1,3,201578,Marreese Speights,2,0,0,2,,GSW,Golden State,1610612744
8,0,0,,0021500815,15:16,7,5,7,18,1,0,2733,Shaun Livingston,0,0,0,0,,GSW,Golden State,1610612744
9,0,0,,0021500815,17:51,2,6,11,16,0,1,201575,Brandon Rush,0,0,0,0,,GSW,Golden State,1610612744
10,0,0,,0021500815,8:49,0,2,2,6,0,0,1626172,Kevon Looney,2,0,0,2,,GSW,Golden State,1610612744
11,0,1,,0021500815,7:33,0,2,2,4,1,1,203546,Ian Clark,0,0,0,2,,GSW,Golden State,1610612744
12,0,0,,0021500815,6:21,0,2,0,2,0,2,201574,Jason Thompson,0,0,0,0,,GSW,Golden State,1610612744
13,1,1,,0021500815,25:17,9,6,7,28,3,2,202329,Al-Farouq Aminu,0,0,0,0,F,POR,Portland,1610612757
14,0,0,,0021500815,21:46,2,6,7,20,3,2,203943,Noah Vonleh,0,0,0,4,F,POR,Portland,1610612757
15,0,1,,0021500815,20:00,4,4,2,16,1,2,203486,Mason Plumlee,2,0,4,10,C,POR,Portland,1610612757
16,0,1,,0021500815,32:02,4,8,10,22,2,2,203468,CJ McCollum,0,0,4,6,G,POR,Portland,1610612757
17,0,0,,0021500815,31:06,12,6,7,32,3,4,203081,Damian Lillard,0,5,2,12,G,POR,Portland,1610612757
18,1,0,,0021500815,25:22,12,2,3,20,2,1,203459,Allen Crabbe,5,3,0,0,,POR,Portland,1610612757
19,1,1,,0021500815,25:23,11,2,4,18,2,0,203090,Maurice Harkless,4,2,5,8,,POR,Portland,1610612757
20,1,0,,0021500815,25:14,12,4,8,20,0,3,201945,Gerald Henderson,0,4,2,4,,POR,Portland,1610612757
21,0,0,,0021500815,15:44,5,2,3,6,1,1,202334,Ed Davis,0,0,0,2,,POR,Portland,1610612757
22,0,0,,0021500815,4:45,1,0,1,2,1,0,2549,Chris Kaman,0,0,0,0,,POR,Portland,1610612757
23,0,0,,0021500815,4:45,1,0,1,2,0,0,203148,Brian Roberts,0,0,0,2,,POR,Portland,1610612757
24,0,0,,0021500815,4:45,1,0,1,2,2,0,203086,Meyers Leonard,0,0,0,0,,POR,Portland,1610612757
25,0,0,,0021500815,3:51,1,0,1,2,1,0,1626192,Pat Connaughton,0,0,0,0,,POR,Portland,1610612757
