,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,-22.29018,-44.58036,44.58036,66.87054,453.90912,166.16316,-0.001,96.25305,21.27699,-0.003,-243.1656,-139.82022,0.02,82,,,Overall,2015-16,38,3961.0,82.06839,187.44015,-187.44015,68.89692,68.89692,148.93893,-68.89692,POR,1610612757.0,Portland Trail Blazers,113.47728,44,0.537
0,-55.72545,-26.34294,26.34294,-7.09233,116.51685,58.76502,0.039,46.60674,-24.31656,-0.042,-30.3957,-19.25061,0.019,52,202329 - 203081 - 203468 - 203486 - 203943,"Aminu,Al-Farouq - Lillard,Damian - McCollum,CJ - Plumlee,Mason - Vonleh,Noah",Lineups,,25,610.663333333,39.51441,48.63312,-48.63312,-9.11871,-9.11871,32.42208,-17.22423,,,,17.22423,27,0.519
1,29.38251,-1.01319,1.01319,17.22423,46.60674,31.40889,0.076,-13.17147,15.19785,0.04,7.09233,12.15828,0.056,36,202329 - 203090 - 203081 - 203468 - 203486,"Aminu,Al-Farouq - Harkless,Maurice - Lillard,Damian - McCollum,CJ - Plumlee,Mason",Lineups,,14,290.201666667,-4.05276,-6.07914,6.07914,73.96287,73.96287,13.17147,3.03957,,,,-8.10552,22,0.611
2,3.03957,-3.03957,3.03957,6.07914,13.17147,-5.06595,-0.102,4.05276,8.10552,0.019,-15.19785,-8.10552,0.036,34,203459 - 202334 - 201945 - 203086 - 203468,"Crabbe,Allen - Davis,Ed - Henderson,Gerald - Leonard,Meyers - McCollum,CJ",Lineups,,13,193.82,1.01319,15.19785,-15.19785,3.03957,3.03957,7.09233,0.0,,,,-1.01319,21,0.618
3,12.15828,-7.09233,7.09233,-3.03957,40.5276,24.31656,0.088,-24.31656,-12.15828,-0.002,3.03957,4.05276,0.018,22,202329 - 203086 - 203081 - 203468 - 203486,"Aminu,Al-Farouq - Leonard,Meyers - Lillard,Damian - McCollum,CJ - Plumlee,Mason",Lineups,,12,174.883333333,-12.15828,9.11871,-9.11871,4.05276,4.05276,-15.19785,-16.21104,,,,9.11871,10,0.455
4,-2.02638,-1.01319,1.01319,-8.10552,-3.03957,-8.10552,-0.102,18.23742,5.06595,-0.012,-12.15828,-4.05276,0.086,26,203459 - 202334 - 203090 - 201945 - 203468,"Crabbe,Allen - Davis,Ed - Harkless,Maurice - Henderson,Gerald - McCollum,CJ",Lineups,,15,131.623333333,9.11871,11.14509,-11.14509,-2.02638,-2.02638,1.01319,6.07914,,,,-9.11871,11,0.423
5,11.14509,-5.06595,5.06595,-14.18466,20.2638,0.0,-0.07,36.47484,12.15828,-0.015,-5.06595,8.10552,0.118,37,202329 - 203459 - 203081 - 203468 - 203486,"Aminu,Al-Farouq - Crabbe,Allen - Lillard,Damian - McCollum,CJ - Plumlee,Mason",Lineups,,20,130.531666667,2.02638,-3.03957,3.03957,32.42208,32.42208,-12.15828,7.09233,,,,-21.27699,17,0.459
6,26.34294,0.0,0.0,13.17147,23.30337,9.11871,0.007,6.07914,15.19785,0.053,-10.1319,1.01319,0.141,30,203459 - 202334 - 201945 - 203086 - 203081,"Crabbe,Allen - Davis,Ed - Henderson,Gerald - Leonard,Meyers - Lillard,Damian",Lineups,,13,129.366666667,0.0,5.06595,-5.06595,40.5276,40.5276,13.17147,-5.06595,,,,2.02638,17,0.567
7,11.14509,-4.05276,4.05276,5.06595,19.25061,14.18466,0.166,26.34294,22.29018,0.066,-38.50122,-35.46165,-0.195,22,203459 - 202334 - 203090 - 203086 - 203468,"Crabbe,Allen - Davis,Ed - Harkless,Maurice - Leonard,Meyers - McCollum,CJ",Lineups,,14,96.1866666667,8.10552,23.30337,-23.30337,23.30337,23.30337,13.17147,-1.01319,,,,10.1319,8,0.364
8,-8.10552,2.02638,-2.02638,2.02638,4.05276,-1.01319,-0.053,-12.15828,-7.09233,-0.009,16.21104,6.07914,-0.099,27,203459 - 202334 - 203090 - 201945 - 203081,"Crabbe,Allen - Davis,Ed - Harkless,Maurice - Henderson,Gerald - Lillard,Damian",Lineups,,14,89.4433333333,-2.02638,-11.14509,11.14509,-9.11871,-9.11871,0.0,-2.02638,,,,7.09233,13,0.481
9,-8.10552,-4.05276,4.05276,0.0,9.11871,-6.07914,-0.169,7.09233,-10.1319,-0.086,4.05276,7.09233,0.101,27,203459 - 202334 - 203090 - 203086 - 203081,"Crabbe,Allen - Davis,Ed - Harkless,Maurice - Leonard,Meyers - Lillard,Damian",Lineups,,16,87.7583333333,9.11871,-1.01319,1.01319,-19.25061,-19.25061,9.11871,-2.02638,,,,6.07914,11,0.407
10,-3.03957,-1.01319,1.01319,1.01319,2.02638,-1.01319,-0.035,-6.07914,-1.01319,0.011,9.11871,6.07914,-0.005,10,202329 - 203459 - 203468 - 203486 - 203943,"Aminu,Al-Farouq - Crabbe,Allen - McCollum,CJ - Plumlee,Mason - Vonleh,Noah",Lineups,,5,86.3166666667,-11.14509,-2.02638,2.02638,3.03957,3.03957,-10.1319,4.05276,,,,-5.06595,5,0.5
11,7.09233,6.07914,-6.07914,-7.09233,13.17147,3.03957,-0.033,-3.03957,-9.11871,-0.063,19.25061,16.21104,0.054,23,202329 - 201945 - 203081 - 203468 - 203486,"Aminu,Al-Farouq - Henderson,Gerald - Lillard,Damian - McCollum,CJ - Plumlee,Mason",Lineups,,13,73.4283333333,2.02638,-8.10552,8.10552,1.01319,1.01319,-5.06595,3.03957,,,,-3.03957,10,0.435
12,-7.09233,0.0,0.0,4.05276,5.06595,0.0,-0.097,6.07914,-3.03957,-0.057,13.17147,8.10552,-0.132,16,202329 - 203459 - 202334 - 201945 - 203468,"Aminu,Al-Farouq - Crabbe,Allen - Davis,Ed - Henderson,Gerald - McCollum,CJ",Lineups,,6,54.5233333333,14.18466,-6.07914,6.07914,2.02638,2.02638,18.23742,3.03957,,,,5.06595,10,0.625
13,4.05276,-3.03957,3.03957,2.02638,16.21104,7.09233,0.023,12.15828,3.03957,-0.031,-28.36932,-20.2638,-0.15,28,202329 - 203459 - 202334 - 203086 - 203081,"Aminu,Al-Farouq - Crabbe,Allen - Davis,Ed - Leonard,Meyers - Lillard,Damian",Lineups,,16,53.1833333333,4.05276,13.17147,-13.17147,-7.09233,-7.09233,6.07914,-3.03957,,,,12.15828,12,0.429
14,-1.01319,6.07914,-6.07914,-5.06595,0.0,-2.02638,-0.071,3.03957,0.0,-0.014,-13.17147,-6.07914,0.185,11,203459 - 202334 - 203090 - 203468 - 203943,"Crabbe,Allen - Davis,Ed - Harkless,Maurice - McCollum,CJ - Vonleh,Noah",Lineups,,7,49.8133333333,6.07914,10.1319,-10.1319,-8.10552,-8.10552,1.01319,-1.01319,,,,2.02638,4,0.364
15,0.0,-1.01319,1.01319,4.05276,4.05276,2.02638,0.021,-1.01319,2.02638,0.03,1.01319,4.05276,0.171,23,202329 - 203459 - 203081 - 203486 - 203943,"Aminu,Al-Farouq - Crabbe,Allen - Lillard,Damian - Plumlee,Mason - Vonleh,Noah",Lineups,,9,47.09,0.0,3.03957,-3.03957,10.1319,10.1319,4.05276,5.06595,,,,-3.03957,14,0.609
16,0.0,-4.05276,4.05276,6.07914,6.07914,2.02638,-0.051,7.09233,2.02638,-0.025,1.01319,2.02638,0.061,20,202329 - 203459 - 203090 - 203081 - 203486,"Aminu,Al-Farouq - Crabbe,Allen - Harkless,Maurice - Lillard,Damian - Plumlee,Mason",Lineups,,9,46.1683333333,4.05276,5.06595,-5.06595,8.10552,8.10552,10.1319,6.07914,,,,-6.07914,11,0.55
17,-2.02638,1.01319,-1.01319,-2.02638,0.0,-6.07914,-0.231,-4.05276,-8.10552,-0.089,7.09233,5.06595,-0.049,9,202334 - 204025 - 203090 - 201945 - 203086,"Davis,Ed - Frazier,Tim - Harkless,Maurice - Henderson,Gerald - Leonard,Meyers",Lineups,,5,43.4616666667,7.09233,-2.02638,2.02638,-17.22423,-17.22423,5.06595,-2.02638,,,,4.05276,4,0.444
18,-3.03957,-1.01319,1.01319,-4.05276,2.02638,0.0,-0.032,-8.10552,-7.09233,-0.049,1.01319,5.06595,0.141,21,202329 - 203459 - 201945 - 203081 - 203486,"Aminu,Al-Farouq - Crabbe,Allen - Henderson,Gerald - Lillard,Damian - Plumlee,Mason",Lineups,,10,42.3516666667,-2.02638,-5.06595,5.06595,-9.11871,-9.11871,-6.07914,-1.01319,,,,0.0,11,0.524
19,-3.03957,-1.01319,1.01319,6.07914,11.14509,5.06595,0.046,3.03957,3.03957,0.021,6.07914,3.03957,-0.075,14,202329 - 202334 - 203086 - 203081 - 203468,"Aminu,Al-Farouq - Davis,Ed - Leonard,Meyers - Lillard,Damian - McCollum,CJ",Lineups,,6,40.3716666667,-1.01319,-9.11871,9.11871,14.18466,14.18466,5.06595,1.01319,,,,-3.03957,8,0.571
20,4.05276,0.0,0.0,9.11871,-3.03957,4.05276,0.246,-15.19785,-5.06595,0.026,-11.14509,-2.02638,0.409,21,202329 - 203459 - 203086 - 203081 - 203486,"Aminu,Al-Farouq - Crabbe,Allen - Leonard,Meyers - Lillard,Damian - Plumlee,Mason",Lineups,,8,38.8283333333,-6.07914,8.10552,-8.10552,-8.10552,-8.10552,3.03957,-5.06595,,,,11.14509,13,0.619
