,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,-22.29018,-44.58036,44.58036,,66.87054,453.90912,166.16316,-0.001,96.25305,21.27699,-0.003,-243.1656,-139.82022,0.02,82,Overall,2015-16,38,3961.0,82.06839,187.44015,-187.44015,68.89692,68.89692,148.93893,-68.89692,POR,1610612757,Portland Trail Blazers,113.47728,,,44,0.537
0,-7.09233,0.0,0.0,On,5.06595,-13.17147,-8.10552,-0.233,-6.07914,-4.05276,-0.02,2.02638,3.03957,0.105,8,On/Off Court,,5,35.9583333333,-6.07914,2.02638,-2.02638,-13.17147,-13.17147,-1.01319,-1.01319,POR,1610612757,Portland Trail Blazers,-3.03957,1626146.0,"Alexander, Cliff",3,0.375
1,-13.17147,-44.58036,44.58036,On,26.34294,337.39227,158.05764,0.025,34.44846,-27.35613,-0.01,-100.30581,-44.58036,0.026,82,On/Off Court,,38,2340.88833333,38.50122,115.50366,-115.50366,58.76502,58.76502,64.84416,-27.35613,POR,1610612757,Portland Trail Blazers,34.44846,202329.0,"Aminu, Al-Farouq",44,0.537
2,-1.01319,-4.05276,4.05276,On,4.05276,-3.03957,-5.06595,-0.049,3.03957,4.05276,0.011,-32.42208,-16.21104,0.11,34,On/Off Court,,17,143.466666667,-5.06595,17.22423,-17.22423,-13.17147,-13.17147,-1.01319,-12.15828,POR,1610612757,Portland Trail Blazers,13.17147,1626192.0,"Connaughton, Pat",17,0.5
3,24.31656,-14.18466,14.18466,On,30.3957,211.75671,61.80459,-0.013,89.16072,48.63312,0.002,-191.49291,-115.50366,0.025,81,On/Off Court,,38,2104.925,28.36932,125.63556,-125.63556,43.56717,43.56717,58.76502,-24.31656,POR,1610612757,Portland Trail Blazers,61.80459,203459.0,"Crabbe, Allen",43,0.531
4,9.11871,7.09233,-7.09233,On,60.7914,142.85979,20.2638,-0.034,52.68588,47.61993,0.008,-105.37176,-89.16072,-0.014,81,On/Off Court,,38,1684.37,73.96287,48.63312,-48.63312,26.34294,26.34294,134.75427,0.0,POR,1610612757,Portland Trail Blazers,47.61993,202334.0,"Davis, Ed",43,0.531
5,7.09233,-3.03957,3.03957,On,18.23742,-1.01319,-8.10552,-0.049,7.09233,4.05276,0.002,-25.32975,-21.27699,-0.018,35,On/Off Court,,16,271.838333333,17.22423,16.21104,-16.21104,-21.27699,-21.27699,35.46165,-2.02638,POR,1610612757,Portland Trail Blazers,7.09233,204025.0,"Frazier, Tim",19,0.543
6,-3.03957,-3.03957,3.03957,On,51.67269,93.21348,23.30337,-0.014,-5.06595,33.43527,0.014,-87.13434,-60.7914,0.004,78,On/Off Court,,38,1457.01166667,29.38251,49.64631,-49.64631,29.38251,29.38251,81.0552,-26.34294,POR,1610612757,Portland Trail Blazers,51.67269,203090.0,"Harkless, Maurice",40,0.513
7,12.15828,17.22423,-17.22423,On,48.63312,82.06839,-1.01319,-0.042,-3.03957,14.18466,0.006,-32.42208,-2.02638,0.028,72,On/Off Court,,33,1431.1,45.59355,-1.01319,1.01319,25.32975,25.32975,94.22667,-16.21104,POR,1610612757,Portland Trail Blazers,42.55398,201945.0,"Henderson, Gerald",39,0.542
8,-15.19785,-1.01319,1.01319,On,15.19785,-16.21104,-5.06595,0.012,-18.23742,-11.14509,-0.016,-11.14509,-4.05276,0.105,16,On/Off Court,,5,111.766666667,6.07914,14.18466,-14.18466,-31.40889,-31.40889,21.27699,-16.21104,POR,1610612757,Portland Trail Blazers,27.35613,2549.0,"Kaman, Chris",11,0.688
9,49.64631,-28.36932,28.36932,On,39.51441,213.78309,77.00244,-0.003,95.23986,66.87054,0.01,-185.41377,-110.43771,0.039,61,On/Off Court,,28,1332.59333333,18.23742,99.29262,-99.29262,100.30581,100.30581,57.75183,-52.68588,POR,1610612757,Portland Trail Blazers,73.96287,203086.0,"Leonard, Meyers",33,0.541
10,-20.2638,-42.55398,42.55398,On,13.17147,447.82998,184.40058,0.011,45.59355,-30.3957,-0.011,-81.0552,-28.36932,0.022,75,On/Off Court,,35,2675.62,45.59355,87.13434,-87.13434,95.23986,95.23986,58.76502,-60.7914,POR,1610612757,Portland Trail Blazers,79.02882,203081.0,"Lillard, Damian",40,0.533
11,-41.54079,-41.54079,41.54079,On,2.02638,369.81435,144.88617,0.003,180.34782,56.73864,-0.005,-171.22911,-102.33219,0.019,80,On/Off Court,,36,2779.895,87.13434,144.88617,-144.88617,156.03126,156.03126,89.16072,-22.29018,POR,1610612757,Portland Trail Blazers,18.23742,203468.0,"McCollum, CJ",44,0.55
12,-12.15828,-1.01319,1.01319,On,-5.06595,0.0,-8.10552,-0.348,1.01319,-13.17147,-0.205,-9.11871,-5.06595,0.062,12,On/Off Court,,6,42.0366666667,-2.02638,6.07914,-6.07914,-39.51441,-39.51441,-7.09233,-3.03957,POR,1610612757,Portland Trail Blazers,9.11871,1626242.0,"Montero, Luis",6,0.5
13,-31.40889,-36.47484,36.47484,On,34.44846,294.83829,143.87298,0.028,-32.42208,-49.64631,-0.009,-55.72545,-12.15828,0.028,82,On/Off Court,,38,2083.36333333,15.19785,84.09477,-84.09477,32.42208,32.42208,49.64631,-56.73864,POR,1610612757,Portland Trail Blazers,57.75183,203486.0,"Plumlee, Mason",44,0.537
14,-10.1319,-2.02638,2.02638,On,-11.14509,-8.10552,-4.05276,-0.025,-17.22423,-12.15828,-0.02,-22.29018,-16.21104,-0.001,21,On/Off Court,,10,136.665,-15.19785,14.18466,-14.18466,-44.58036,-44.58036,-26.34294,-12.15828,POR,1610612757,Portland Trail Blazers,16.21104,203148.0,"Roberts, Brian",11,0.524
15,-58.76502,-25.32975,25.32975,On,1.01319,117.53004,56.73864,0.021,54.71226,-21.27699,-0.022,-107.39814,-73.96287,0.01,78,On/Off Court,,37,1173.50166667,33.43527,113.47728,-113.47728,-59.77821,-59.77821,34.44846,-11.14509,POR,1610612757,Portland Trail Blazers,30.3957,203943.0,"Vonleh, Noah",41,0.526
0,-15.19785,-44.58036,44.58036,Off,61.80459,467.08059,174.26868,0.001,102.33219,25.32975,-0.003,-245.19198,-142.85979,0.019,82,On/Off Court,,38,3925.04166667,88.14753,185.41377,-185.41377,82.06839,82.06839,149.95212,-67.88373,POR,1610612757,Portland Trail Blazers,116.51685,1626146.0,"Alexander, Cliff",44,0.537
1,-9.11871,0.0,0.0,Off,40.5276,116.51685,8.10552,-0.038,61.80459,48.63312,0.007,-142.85979,-95.23986,0.012,82,On/Off Court,,38,1620.11166667,43.56717,71.93649,-71.93649,10.1319,10.1319,84.09477,-41.54079,POR,1610612757,Portland Trail Blazers,79.02882,202329.0,"Aminu, Al-Farouq",44,0.537
2,-21.27699,-40.5276,40.5276,Off,62.81778,456.94869,171.22911,0.0,93.21348,17.22423,-0.004,-210.74352,-123.60918,0.017,82,On/Off Court,,38,3817.53333333,87.13434,170.21592,-170.21592,82.06839,82.06839,149.95212,-56.73864,POR,1610612757,Portland Trail Blazers,100.30581,1626192.0,"Connaughton, Pat",44,0.537
