,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,TEAM_ID,TEAM_NAME
0,501,827,428,0.518,508,202,0.398,1335,630,0.472,0.192,74,4417,"Lillard, Damian",203081,,made,1610612757,Portland Trail Blazers
1,335,615,302,0.491,374,130,0.348,989,432,0.437,0.157,79,3622,"McCollum, CJ",203468,,made,1610612757,Portland Trail Blazers
2,224,488,237,0.486,294,116,0.395,782,353,0.451,0.111,81,2556,"Plumlee, Mason",203486,,made,1610612757,Portland Trail Blazers
3,87,328,144,0.439,143,52,0.364,471,196,0.416,0.092,80,2124,"Davis, Ed",202334,,made,1610612757,Portland Trail Blazers
4,135,357,179,0.501,160,79,0.494,517,258,0.499,0.089,81,2043,"Aminu, Al-Farouq",202329,,made,1610612757,Portland Trail Blazers
5,91,283,135,0.477,182,67,0.368,465,202,0.434,0.077,60,1773,"Leonard, Meyers",203086,,made,1610612757,Portland Trail Blazers
6,98,312,143,0.458,149,48,0.322,461,191,0.414,0.07,80,1617,"Crabbe, Allen",203459,,made,1610612757,Portland Trail Blazers
7,29,161,61,0.379,94,31,0.33,255,92,0.361,0.06,77,1380,"Vonleh, Noah",203943,,made,1610612757,Portland Trail Blazers
8,66,223,112,0.502,115,42,0.365,338,154,0.456,0.057,77,1305,"Harkless, Maurice",203090,,made,1610612757,Portland Trail Blazers
9,75,155,73,0.471,109,38,0.349,264,111,0.42,0.047,71,1090,"Henderson, Gerald",201945,,made,1610612757,Portland Trail Blazers
10,42,93,40,0.43,54,12,0.222,147,52,0.354,0.023,32,525,"Frazier, Tim",204025,,made,1610612757,Portland Trail Blazers
11,16,39,19,0.487,25,3,0.12,64,22,0.344,0.009,17,205,"Roberts, Brian",203148,,made,1610612757,Portland Trail Blazers
12,10,26,12,0.462,14,6,0.429,40,18,0.45,0.006,30,143,"Connaughton, Pat",1626192,,made,1610612757,Portland Trail Blazers
13,11,27,14,0.519,7,4,0.571,34,18,0.529,0.006,15,129,"Kaman, Chris",2549,,made,1610612757,Portland Trail Blazers
14,1,6,3,0.5,3,0,0.0,9,3,0.333,0.002,11,42,"Montero, Luis",1626242,,made,1610612757,Portland Trail Blazers
15,0,4,2,0.5,3,0,0.0,7,2,0.286,0.002,7,41,"Alexander, Cliff",1626146,,made,1610612757,Portland Trail Blazers
0,183,779,348,0.447,572,213,0.372,1351,561,0.415,0.252,74,5802,,203081,"Lillard, Damian",received,1610612757,Portland Trail Blazers
1,228,849,388,0.457,450,190,0.422,1299,578,0.445,0.205,79,4716,,203468,"McCollum, CJ",received,1610612757,Portland Trail Blazers
2,178,421,217,0.515,2,0,0.0,423,217,0.513,0.089,81,2046,,203486,"Plumlee, Mason",received,1610612757,Portland Trail Blazers
3,259,362,182,0.503,278,111,0.399,640,293,0.458,0.077,80,1772,,203459,"Crabbe, Allen",received,1610612757,Portland Trail Blazers
4,215,290,137,0.472,335,119,0.355,625,256,0.41,0.077,81,1764,,202329,"Aminu, Al-Farouq",received,1610612757,Portland Trail Blazers
5,166,185,100,0.541,219,84,0.384,404,184,0.455,0.064,60,1480,,203086,"Leonard, Meyers",received,1610612757,Portland Trail Blazers
6,138,338,159,0.47,133,48,0.361,471,207,0.439,0.057,71,1301,,201945,"Henderson, Gerald",received,1610612757,Portland Trail Blazers
7,117,214,128,0.598,0,0,0.0,214,128,0.598,0.049,80,1124,,202334,"Davis, Ed",received,1610612757,Portland Trail Blazers
8,123,199,115,0.578,135,38,0.281,334,153,0.458,0.045,76,1033,,203090,"Harkless, Maurice",received,1610612757,Portland Trail Blazers
9,67,170,73,0.429,45,11,0.244,215,84,0.391,0.036,76,819,,203943,"Vonleh, Noah",received,1610612757,Portland Trail Blazers
10,10,35,12,0.343,16,3,0.188,51,15,0.294,0.024,33,557,,204025,"Frazier, Tim",received,1610612757,Portland Trail Blazers
11,11,25,12,0.48,15,6,0.4,40,18,0.45,0.011,18,245,,203148,"Roberts, Brian",received,1610612757,Portland Trail Blazers
12,8,23,8,0.348,21,5,0.238,44,13,0.295,0.007,27,154,,1626192,"Connaughton, Pat",received,1610612757,Portland Trail Blazers
13,15,36,18,0.5,4,1,0.25,40,19,0.475,0.005,16,115,,2549,"Kaman, Chris",received,1610612757,Portland Trail Blazers
14,1,10,4,0.4,9,1,0.111,19,5,0.263,0.002,11,57,,1626242,"Montero, Luis",received,1610612757,Portland Trail Blazers
15,2,8,3,0.375,0,0,0.0,8,3,0.375,0.001,7,27,,1626146,"Alexander, Cliff",received,1610612757,Portland Trail Blazers
