,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,424,170,2015-16,0.511,2336,864,0.37,7040,3167,0.45,Overall,2015-16,0.469,0.772,0.552,0.531,0.228,0.448
0,320,171,Less Than 5 ft.,0.559,0,0,0.0,2373,1326,0.559,Shot Distance (5ft),Less Than 5 ft.,0.502,0.0,0.502,0.498,0.0,0.498
1,60,171,5-9 ft.,0.393,0,0,0.0,572,225,0.393,Shot Distance (5ft),5-9 ft.,0.356,0.0,0.356,0.644,0.0,0.644
2,14,171,10-14 ft.,0.436,0,0,0.0,484,211,0.436,Shot Distance (5ft),10-14 ft.,0.384,0.0,0.384,0.616,0.0,0.616
3,14,171,15-19 ft.,0.429,0,0,0.0,962,413,0.429,Shot Distance (5ft),15-19 ft.,0.453,0.0,0.453,0.547,0.0,0.547
4,8,171,20-24 ft.,0.552,1386,540,0.39,1699,668,0.393,Shot Distance (5ft),20-24 ft.,0.531,0.826,0.769,0.469,0.174,0.231
5,7,171,25-29 ft.,0.527,913,321,0.352,913,321,0.352,Shot Distance (5ft),25-29 ft.,0.0,0.688,0.688,0.0,0.312,0.312
6,0,171,30-34 ft.,0.136,11,1,0.091,11,1,0.091,Shot Distance (5ft),30-34 ft.,0.0,0.0,0.0,0.0,1.0,1.0
7,1,171,35-39 ft.,0.25,6,1,0.167,6,1,0.167,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,1.0,1.0
8,0,171,40+ ft.,0.094,16,1,0.063,16,1,0.063,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,1.0,1.0
0,369,172,Less Than 8 ft.,0.532,0,0,0.0,2763,1471,0.532,Shot Distance (8ft),Less Than 8 ft.,0.487,0.0,0.487,0.513,0.0,0.513
1,28,172,8-16 ft.,0.436,0,0,0.0,834,364,0.436,Shot Distance (8ft),8-16 ft.,0.39,0.0,0.39,0.61,0.0,0.61
2,13,172,16-24 ft.,0.423,0,0,0.0,1107,468,0.423,Shot Distance (8ft),16-24 ft.,0.476,0.0,0.476,0.524,0.0,0.524
3,14,172,24+ ft.,0.559,2320,864,0.372,2320,864,0.372,Shot Distance (8ft),24+ ft.,0.0,0.772,0.772,0.0,0.228,0.228
4,0,172,Back Court Shot,0.0,12,0,0.0,12,0,0.0,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,0.0,0.0
