,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,-22.29018,-44.58036,44.58036,155,2015-16,66.87054,453.90912,166.16316,-0.001,96.25305,21.27699,-0.003,-243.1656,-139.82022,0.02,,82,Overall,2015-16,38,3961.0,82.06839,187.44015,-187.44015,68.89692,68.89692,148.93893,,,2015-16,-68.89692,,,113.47728,44,0.537
0,82.06839,4.05276,-4.05276,153,Home,91.1871,220.87542,92.20029,0.009,26.34294,67.88373,0.016,-42.55398,9.11871,0.042,,41,Location,Home,13,1978.0,36.47484,49.64631,-49.64631,237.08646,237.08646,127.66194,,,,-23.30337,,Home,16.21104,28,0.683
1,-104.35857,-48.63312,48.63312,153,Road,-24.31656,233.0337,73.96287,-0.011,69.91011,-46.60674,-0.022,-200.61162,-148.93893,0.002,,41,Location,Road,25,1983.0,45.59355,137.79384,-137.79384,-168.18954,-168.18954,21.27699,,,,-45.59355,,Road,97.26624,16,0.39
0,121.5828,20.2638,-20.2638,157,Wins,162.1104,266.46897,152.99169,0.047,82.06839,192.5061,0.041,-100.30581,-20.2638,0.05,Wins,44,Wins/Losses,Wins,0,2122.0,37.48803,74.97606,-74.97606,517.74009,517.74009,199.59843,,,,9.11871,,,-3.03957,44,1.0
1,-143.87298,-64.84416,64.84416,157,Losses,-95.23986,187.44015,13.17147,-0.057,14.18466,-171.22911,-0.054,-142.85979,-119.55642,-0.012,Losses,38,Wins/Losses,Losses,38,1839.0,44.58036,112.46409,-112.46409,-448.84317,-448.84317,-50.6595,,,,-78.01563,,,116.51685,0,0.0
0,7.09233,-1.01319,1.01319,154,October,-4.05276,3.03957,3.03957,0.024,-15.19785,-1.01319,0.021,-15.19785,-12.15828,-0.019,,3,Month,October,2,144.0,0.0,20.2638,-20.2638,-11.14509,-11.14509,-4.05276,October,,,-8.10552,,,7.09233,1,0.333
1,-21.27699,-8.10552,8.10552,154,November,34.44846,41.54079,20.2638,0.017,-17.22423,3.03957,0.008,-51.67269,-33.43527,0.01,,15,Month,November,9,725.0,4.05276,52.68588,-52.68588,-7.09233,-7.09233,38.50122,November,,,-31.40889,,,53.69907,6,0.4
2,20.2638,-34.44846,34.44846,154,December,26.34294,94.22667,32.42208,-0.005,77.00244,11.14509,-0.016,-74.97606,-73.96287,-0.042,,17,Month,December,10,821.0,55.72545,47.61993,-47.61993,-19.25061,-19.25061,82.06839,December,,,-9.11871,,,37.48803,7,0.412
3,-4.05276,-8.10552,8.10552,154,January,9.11871,115.50366,24.31656,-0.054,97.26624,41.54079,-0.002,-112.46409,-81.0552,-0.005,,14,Month,January,5,672.0,27.35613,51.67269,-51.67269,26.34294,26.34294,36.47484,January,,,-4.05276,,,-10.1319,9,0.643
4,1.01319,8.10552,-8.10552,154,February,6.07914,64.84416,36.47484,0.045,-2.02638,16.21104,0.018,7.09233,20.2638,0.054,,11,Month,February,2,533.0,1.01319,12.15828,-12.15828,89.16072,89.16072,7.09233,February,,,2.02638,,,-5.06595,9,0.818
5,-27.35613,0.0,0.0,154,March,-5.06595,102.33219,39.51441,-0.001,-30.3957,-41.54079,-0.02,1.01319,22.29018,0.051,,16,Month,March,8,778.0,1.01319,3.03957,-3.03957,-21.27699,-21.27699,-4.05276,March,,,-24.31656,,,30.3957,8,0.5
6,2.02638,-1.01319,1.01319,154,April,0.0,32.42208,10.1319,-0.023,-13.17147,-8.10552,-0.004,3.03957,18.23742,0.108,,6,Month,April,2,288.0,-7.09233,0.0,0.0,12.15828,12.15828,-7.09233,April,,,6.07914,,,0.0,4,0.667
0,12.15828,-44.58036,44.58036,156,Pre All-Star,69.91011,280.65363,88.14753,-0.009,162.1104,68.89692,-0.001,-261.40302,-195.54567,-0.004,,54,Pre/Post All-Star,Pre All-Star,27,2607.0,102.33219,183.38739,-183.38739,30.3957,30.3957,172.2423,,Pre All-Star,,-41.54079,,,77.00244,27,0.5
1,-34.44846,0.0,0.0,156,Post All-Star,-3.03957,173.25549,78.01563,0.013,-65.85735,-47.61993,-0.007,18.23742,55.72545,0.058,,28,Pre/Post All-Star,Post All-Star,11,1354.0,-20.2638,4.05276,-4.05276,38.50122,38.50122,-23.30337,,Post All-Star,,-27.35613,,,36.47484,17,0.607
0,-10.1319,-29.38251,29.38251,152,0 Days Rest,2.02638,95.23986,33.43527,-0.002,-40.5276,-40.5276,-0.014,-25.32975,-22.29018,-0.008,,19,Days Rest,0 Days Rest,13,917.0,-6.07914,28.36932,-28.36932,-69.91011,-69.91011,-4.05276,,,,-37.48803,0 Days Rest,,50.6595,6,0.316
1,-49.64631,-9.11871,9.11871,152,1 Days Rest,-4.05276,311.04933,104.35857,-0.009,97.26624,-25.32975,-0.018,-138.80703,-74.97606,0.024,,45,Days Rest,1 Days Rest,21,2180.0,92.20029,125.63556,-125.63556,-21.27699,-21.27699,88.14753,,,,-20.2638,1 Days Rest,,57.75183,24,0.533
2,32.42208,-10.1319,10.1319,152,2 Days Rest,44.58036,34.44846,13.17147,0.0,46.60674,61.80459,0.033,-77.00244,-47.61993,0.029,,14,Days Rest,2 Days Rest,4,672.0,2.02638,28.36932,-28.36932,89.16072,89.16072,46.60674,,,,-10.1319,2 Days Rest,,7.09233,10,0.714
3,-1.01319,2.02638,-2.02638,152,3 Days Rest,6.07914,18.23742,9.11871,0.057,-9.11871,1.01319,0.029,7.09233,9.11871,0.084,,2,Days Rest,3 Days Rest,0,96.0,-1.01319,-3.03957,3.03957,20.2638,20.2638,5.06595,,,,-6.07914,3 Days Rest,,4.05276,2,1.0
4,3.03957,2.02638,-2.02638,152,5 Days Rest,11.14509,-1.01319,1.01319,0.042,-3.03957,8.10552,0.104,-4.05276,1.01319,0.246,,1,Days Rest,5 Days Rest,0,48.0,1.01319,4.05276,-4.05276,18.23742,18.23742,12.15828,,,,0.0,5 Days Rest,,1.01319,1,1.0
5,3.03957,0.0,0.0,152,6+ Days Rest,7.09233,-4.05276,5.06595,0.214,5.06595,16.21104,0.145,-5.06595,-5.06595,-0.054,,1,Days Rest,6+ Days Rest,0,48.0,-6.07914,4.05276,-4.05276,32.42208,32.42208,1.01319,,,,5.06595,6+ Days Rest,,-7.09233,1,1.0
