,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,2,6,4,0.667,,2,1,0.5,1.86,5,0.5,0,0021500982,26:24,1,27,203095,Evan Fournier,6,0,4.23,F,47,ORL,Orlando,1610612753,6,2,0.333
1,3,7,5,0.714,,15,10,0.667,2.31,9,0.615,0,0021500982,32:41,1,44,203932,Aaron Gordon,10,0,4.24,F,60,ORL,Orlando,1610612753,6,3,0.5
2,0,1,0,0.0,,5,2,0.4,1.06,7,0.5,0,0021500982,15:21,2,17,203473,Dewayne Dedmon,9,0,4.15,C,20,ORL,Orlando,1610612753,1,1,1.0
3,1,5,2,0.4,,3,2,0.667,1.77,4,0.571,0,0021500982,23:48,2,13,203506,Victor Oladipo,6,0,4.47,G,29,ORL,Orlando,1610612753,9,6,0.667
4,4,6,1,0.167,,4,2,0.5,1.75,4,0.111,0,0021500982,24:03,0,40,201228,CJ Watson,4,0,4.37,G,53,ORL,Orlando,1610612753,3,0,0.0
5,1,6,1,0.167,,9,8,0.889,1.96,7,0.143,0,0021500982,28:44,8,35,101141,Ersan Ilyasova,15,0,4.08,,48,ORL,Orlando,1610612753,1,0,0.0
6,0,1,0,0.0,,2,2,1.0,0.81,0,0.25,0,0021500982,11:20,2,14,201160,Jason Smith,2,0,4.28,,25,ORL,Orlando,1610612753,7,2,0.286
7,3,4,2,0.5,,1,1,1.0,1.97,5,0.5,1,0021500982,26:31,4,25,1626209,Mario Hezonja,9,0,4.45,,36,ORL,Orlando,1610612753,4,2,0.5
8,2,3,0,0.0,,1,1,1.0,1.45,3,0.167,0,0021500982,19:17,2,11,203906,Devyn Marble,5,0,4.51,,18,ORL,Orlando,1610612753,3,1,0.333
9,3,4,1,0.25,,3,2,0.667,1.71,2,0.111,0,0021500982,23:57,1,41,203894,Shabazz Napier,3,2,4.28,,50,ORL,Orlando,1610612753,5,0,0.0
10,0,0,0,0.0,,1,1,1.0,0.53,1,0.333,0,0021500982,7:54,1,8,203094,Andrew Nicholson,2,0,4.02,,11,ORL,Orlando,1610612753,3,1,0.333
11,0,0,0,0.0,DND - Sore left achilles                ,0,0,0.0,0.0,0,0.0,0,0021500982,0:00,0,0,201943,Brandon Jennings,0,0,0.0,,0,ORL,Orlando,1610612753,0,0,0.0
12,0,0,0,0.0,DND - sprained right elbow              ,0,0,0.0,0.0,0,0.0,0,0021500982,0:00,0,0,203901,Elfrid Payton,0,0,0.0,,0,ORL,Orlando,1610612753,0,0,0.0
13,2,5,3,0.6,,2,1,0.5,1.73,10,0.5,0,0021500982,23:16,2,17,202329,Al-Farouq Aminu,12,1,4.46,F,25,POR,Portland,1610612757,3,1,0.333
14,0,4,2,0.5,,0,0,0.0,1.58,4,0.286,0,0021500982,20:54,4,28,203943,Noah Vonleh,8,1,4.54,F,37,POR,Portland,1610612757,3,0,0.0
15,3,6,4,0.667,,5,3,0.6,1.84,13,0.667,2,0021500982,26:40,6,41,203486,Mason Plumlee,19,1,4.14,C,51,POR,Portland,1610612757,0,0,0.0
16,3,12,6,0.5,,0,0,0.0,2.18,0,0.471,0,0021500982,29:02,2,44,203468,CJ McCollum,2,3,4.51,G,66,POR,Portland,1610612757,5,2,0.4
17,10,6,4,0.667,,0,0,0.0,2.06,4,0.545,0,0021500982,29:47,1,67,203081,Damian Lillard,5,4,4.15,G,90,POR,Portland,1610612757,5,2,0.4
18,4,2,1,0.5,,0,0,0.0,1.35,9,0.556,0,0021500982,21:19,1,37,203086,Meyers Leonard,10,0,3.79,,46,POR,Portland,1610612757,7,4,0.571
19,0,2,2,1.0,,1,0,0.0,0.82,5,1.0,0,0021500982,13:09,0,13,202334,Ed Davis,5,1,3.74,,16,POR,Portland,1610612757,0,0,0.0
20,1,4,4,1.0,,1,1,1.0,1.72,6,0.75,0,0021500982,23:48,1,19,203459,Allen Crabbe,7,0,4.33,,29,POR,Portland,1610612757,4,2,0.5
21,4,2,1,0.5,,1,0,0.0,1.47,7,0.667,0,0021500982,20:29,0,21,201945,Gerald Henderson,7,0,4.3,,29,POR,Portland,1610612757,4,3,0.75
22,2,1,1,1.0,,0,0,0.0,0.56,0,0.5,0,0021500982,7:54,0,14,203148,Brian Roberts,0,0,4.25,,18,POR,Portland,1610612757,1,0,0.0
23,0,2,1,0.5,,0,0,0.0,0.58,2,0.667,0,0021500982,7:54,1,8,203090,Maurice Harkless,3,0,4.4,,11,POR,Portland,1610612757,1,1,1.0
24,3,2,2,1.0,,0,0,0.0,0.57,5,0.667,0,0021500982,7:54,2,12,1626192,Pat Connaughton,7,1,4.33,,16,POR,Portland,1610612757,1,0,0.0
25,2,0,0,0.0,,1,0,0.0,0.53,2,0.5,0,0021500982,7:54,0,7,2549,Chris Kaman,2,0,4.02,,10,POR,Portland,1610612757,2,1,0.5
