,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,3,0,,2,0,0,0.0,4,2,0.5,1,1,1.0,0021500815,28:46,1,0,203084,Harrison Barnes,-19.0,5,3,F,0,GSW,Golden State,1610612744,0
1,8,0,,11,2,2,1.0,7,5,0.714,2,2,1.0,0021500815,31:08,1,3,203110,Draymond Green,-13.0,14,12,F,0,GSW,Golden State,1610612744,9
2,0,3,,3,0,0,0.0,3,1,0.333,0,0,0.0,0021500815,14:02,0,3,101106,Andrew Bogut,-12.0,2,3,C,0,GSW,Golden State,1610612744,1
3,1,0,,3,5,2,0.4,16,8,0.5,6,5,0.833,0021500815,28:28,0,1,202691,Klay Thompson,2.0,23,3,G,1,GSW,Golden State,1610612744,1
4,5,0,,1,13,7,0.538,23,12,0.522,0,0,0.0,0021500815,26:18,2,4,201939,Stephen Curry,-18.0,31,3,G,2,GSW,Golden State,1610612744,3
5,4,1,,2,3,0,0.0,6,1,0.167,1,0,0.0,0021500815,23:10,0,3,2738,Andre Iguodala,-20.0,2,2,,1,GSW,Golden State,1610612744,4
6,1,0,,1,2,0,0.0,7,1,0.143,4,3,0.75,0021500815,19:33,0,0,2571,Leandro Barbosa,-31.0,5,1,,1,GSW,Golden State,1610612744,0
7,1,0,,2,1,0,0.0,8,2,0.25,6,6,1.0,0021500815,12:45,4,1,201578,Marreese Speights,-14.0,10,6,,0,GSW,Golden State,1610612744,0
8,1,0,,1,0,0,0.0,2,0,0.0,0,0,0.0,0021500815,15:16,0,1,2733,Shaun Livingston,-5.0,0,1,,0,GSW,Golden State,1610612744,2
9,1,0,,2,5,0,0.0,6,0,0.0,2,1,0.5,0021500815,17:51,0,0,201575,Brandon Rush,-13.0,1,2,,1,GSW,Golden State,1610612744,0
10,0,0,,4,1,0,0.0,2,1,0.5,0,0,0.0,0021500815,8:49,4,0,1626172,Kevon Looney,-5.0,2,8,,0,GSW,Golden State,1610612744,0
11,0,0,,0,2,1,0.5,7,3,0.429,2,1,0.5,0021500815,7:33,1,1,203546,Ian Clark,-7.0,8,1,,0,GSW,Golden State,1610612744,0
12,0,0,,1,0,0,0.0,1,0,0.0,4,2,0.5,0021500815,6:21,1,0,201574,Jason Thompson,-5.0,2,2,,1,GSW,Golden State,1610612744,0
13,0,1,,5,0,0,0.0,3,1,0.333,2,1,0.5,0021500815,25:17,1,3,202329,Al-Farouq Aminu,16.0,3,6,F,0,POR,Portland,1610612757,1
14,0,0,,4,2,1,0.5,6,3,0.5,2,2,1.0,0021500815,21:46,0,3,203943,Noah Vonleh,25.0,9,4,F,0,POR,Portland,1610612757,0
15,5,0,,4,0,0,0.0,7,5,0.714,4,2,0.5,0021500815,20:00,1,1,203486,Mason Plumlee,30.0,12,5,C,0,POR,Portland,1610612757,1
16,7,0,,4,4,3,0.75,18,9,0.5,0,0,0.0,0021500815,32:02,0,2,203468,CJ McCollum,32.0,21,4,G,2,POR,Portland,1610612757,6
17,7,0,,0,12,9,0.75,28,18,0.643,7,6,0.857,0021500815,31:06,0,3,203081,Damian Lillard,26.0,51,0,G,6,POR,Portland,1610612757,0
18,2,1,,5,4,2,0.5,8,3,0.375,1,1,1.0,0021500815,25:22,0,2,203459,Allen Crabbe,18.0,9,5,,1,POR,Portland,1610612757,0
19,2,1,,6,1,1,1.0,6,5,0.833,0,0,0.0,0021500815,25:23,2,2,203090,Maurice Harkless,9.0,11,8,,1,POR,Portland,1610612757,1
20,2,1,,4,3,0,0.0,11,4,0.364,6,4,0.667,0021500815,25:14,0,0,201945,Gerald Henderson,12.0,12,4,,2,POR,Portland,1610612757,1
21,1,0,,5,0,0,0.0,3,1,0.333,1,0,0.0,0021500815,15:44,3,1,202334,Ed Davis,14.0,2,8,,0,POR,Portland,1610612757,0
22,0,0,,2,2,0,0.0,2,0,0.0,0,0,0.0,0021500815,4:45,0,1,2549,Chris Kaman,-6.0,0,2,,0,POR,Portland,1610612757,0
23,0,0,,0,1,1,1.0,4,3,0.75,0,0,0.0,0021500815,4:45,0,0,203148,Brian Roberts,-6.0,7,0,,0,POR,Portland,1610612757,0
24,2,0,,1,0,0,0.0,0,0,0.0,0,0,0.0,0021500815,4:45,1,2,203086,Meyers Leonard,-6.0,0,2,,0,POR,Portland,1610612757,3
25,0,0,,0,1,0,0.0,1,0,0.0,0,0,0.0,0021500815,3:51,0,1,1626192,Pat Connaughton,-4.0,0,0,,0,POR,Portland,1610612757,0
