,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,2.0,0.0,,4.0,4.0,1.0,0.25,12.0,6.0,0.5,2.0,2.0,1.0,0021500982,26:24,0.0,1.0,203095,Evan Fournier,-15.0,15.0,4.0,F,0.0,ORL,Orlando,1610612753,5.0
1,3.0,1.0,,3.0,2.0,1.0,0.5,13.0,8.0,0.615,3.0,0.0,0.0,0021500982,32:41,1.0,2.0,203932,Aaron Gordon,-18.0,17.0,4.0,F,2.0,ORL,Orlando,1610612753,2.0
2,0.0,1.0,,6.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0021500982,15:21,2.0,1.0,203473,Dewayne Dedmon,-3.0,2.0,8.0,C,0.0,ORL,Orlando,1610612753,0.0
3,1.0,1.0,,1.0,2.0,2.0,1.0,14.0,8.0,0.571,0.0,0.0,0.0,0021500982,23:47,0.0,2.0,203506,Victor Oladipo,-16.0,18.0,1.0,G,2.0,ORL,Orlando,1610612753,1.0
4,4.0,1.0,,2.0,3.0,0.0,0.0,9.0,1.0,0.111,1.0,1.0,1.0,0021500982,24:03,0.0,1.0,201228,CJ Watson,-23.0,3.0,2.0,G,0.0,ORL,Orlando,1610612753,3.0
5,1.0,0.0,,5.0,1.0,0.0,0.0,7.0,1.0,0.143,4.0,2.0,0.5,0021500982,28:44,4.0,3.0,101141,Ersan Ilyasova,-34.0,4.0,9.0,,0.0,ORL,Orlando,1610612753,2.0
6,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,2.0,0.25,4.0,2.0,0.5,0021500982,11:20,1.0,3.0,201160,Jason Smith,-10.0,6.0,1.0,,0.0,ORL,Orlando,1610612753,1.0
7,3.0,0.0,,3.0,4.0,2.0,0.5,8.0,4.0,0.5,2.0,1.0,0.5,0021500982,26:31,2.0,2.0,1626209,Mario Hezonja,-28.0,11.0,5.0,,1.0,ORL,Orlando,1610612753,1.0
8,2.0,0.0,,2.0,2.0,0.0,0.0,6.0,1.0,0.167,2.0,1.0,0.5,0021500982,19:18,0.0,1.0,203906,Devyn Marble,-15.0,3.0,2.0,,1.0,ORL,Orlando,1610612753,0.0
9,3.0,0.0,,1.0,6.0,1.0,0.167,9.0,1.0,0.111,0.0,0.0,0.0,0021500982,23:57,0.0,0.0,203894,Shabazz Napier,-14.0,3.0,1.0,,0.0,ORL,Orlando,1610612753,0.0
10,0.0,0.0,,1.0,2.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,0021500982,7:54,1.0,0.0,203094,Andrew Nicholson,-9.0,2.0,2.0,,0.0,ORL,Orlando,1610612753,0.0
11,,,DND - Sore left achilles                ,,,,,,,,,,,0021500982,,,,201943,Brandon Jennings,,,,,,ORL,Orlando,1610612753,
12,,,DND - sprained right elbow              ,,,,,,,,,,,0021500982,,,,203901,Elfrid Payton,,,,,,ORL,Orlando,1610612753,
13,2.0,1.0,,5.0,5.0,3.0,0.6,8.0,4.0,0.5,0.0,0.0,0.0,0021500982,23:15,2.0,2.0,202329,Al-Farouq Aminu,16.0,11.0,7.0,F,1.0,POR,Portland,1610612757,0.0
14,0.0,1.0,,4.0,2.0,0.0,0.0,7.0,2.0,0.286,0.0,0.0,0.0,0021500982,20:54,1.0,3.0,203943,Noah Vonleh,9.0,4.0,5.0,F,0.0,POR,Portland,1610612757,2.0
15,3.0,0.0,,9.0,0.0,0.0,0.0,6.0,4.0,0.667,2.0,1.0,0.5,0021500982,26:39,2.0,4.0,203486,Mason Plumlee,19.0,9.0,11.0,C,0.0,POR,Portland,1610612757,1.0
16,3.0,0.0,,0.0,6.0,2.0,0.333,17.0,8.0,0.471,0.0,0.0,0.0,0021500982,29:03,1.0,0.0,203468,CJ McCollum,11.0,18.0,1.0,G,0.0,POR,Portland,1610612757,3.0
17,10.0,0.0,,3.0,6.0,2.0,0.333,11.0,6.0,0.545,5.0,5.0,1.0,0021500982,29:46,1.0,1.0,203081,Damian Lillard,24.0,19.0,4.0,G,0.0,POR,Portland,1610612757,4.0
18,4.0,0.0,,5.0,5.0,3.0,0.6,9.0,5.0,0.556,0.0,0.0,0.0,0021500982,21:20,0.0,2.0,203086,Meyers Leonard,15.0,13.0,5.0,,0.0,POR,Portland,1610612757,0.0
19,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0021500982,13:10,0.0,1.0,202334,Ed Davis,6.0,4.0,2.0,,0.0,POR,Portland,1610612757,1.0
20,1.0,0.0,,4.0,4.0,2.0,0.5,8.0,6.0,0.75,4.0,4.0,1.0,0021500982,23:48,1.0,2.0,203459,Allen Crabbe,30.0,18.0,5.0,,0.0,POR,Portland,1610612757,1.0
21,4.0,1.0,,4.0,4.0,3.0,0.75,6.0,4.0,0.667,0.0,0.0,0.0,0021500982,20:29,0.0,2.0,201945,Gerald Henderson,19.0,11.0,4.0,,1.0,POR,Portland,1610612757,1.0
