,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.143,18.6,2.0,,145.4,0.053,0.5,0021500689,27:00,-43.0,102.4,0.0,100.48,0.03,2772,Trevor Ariza,0.023,F,HOU,Houston,1610612745,9.3,0.515,0.138
1,0.0,0.0,0.0,,123.0,0.071,0.583,0021500689,13:55,-15.2,107.8,0.0,112.1,-0.016,201147,Corey Brewer,0.045,F,HOU,Houston,1610612745,22.5,0.581,0.273
2,0.067,8.7,0.5,,133.3,0.316,0.6,0021500689,22:42,-13.1,120.2,0.143,99.84,0.14,2730,Dwight Howard,0.242,C,HOU,Houston,1610612745,17.4,0.763,0.224
3,0.182,9.5,0.4,,142.9,0.1,0.55,0021500689,27:36,-42.0,100.8,0.042,100.78,0.123,201935,James Harden,0.068,G,HOU,Houston,1610612745,23.9,0.716,0.289
4,0.083,11.3,0.0,,147.1,0.056,0.571,0021500689,26:10,-41.1,105.9,0.045,100.12,0.06,201976,Patrick Beverley,0.05,G,HOU,Houston,1610612745,0.0,0.571,0.128
5,0.182,11.3,0.67,,106.2,0.25,0.409,0021500689,24:41,-13.0,93.2,0.034,99.27,0.057,2746,Josh Smith,0.132,,HOU,Houston,1610612745,16.9,0.431,0.285
6,0.0,0.0,0.0,,125.3,0.182,0.25,0021500689,14:13,-68.7,56.6,0.136,106.49,-0.246,203991,Clint Capela,0.152,,HOU,Houston,1610612745,19.2,0.298,0.263
7,0.167,42.0,0.0,,107.8,0.042,0.0,0021500689,25:38,-21.9,85.9,0.03,101.35,0.068,201951,Ty Lawson,0.035,,HOU,Houston,1610612745,0.0,0.362,0.044
8,0.111,11.8,0.0,,109.5,0.15,0.643,0021500689,20:24,-10.1,99.4,0.0,100.09,0.118,1891,Jason Terry,0.067,,HOU,Houston,1610612745,0.0,0.672,0.161
9,0.0,0.0,0.0,,145.1,0.154,0.3,0021500689,16:47,-21.9,123.2,0.059,90.26,0.083,203093,Terrence Jones,0.1,,HOU,Houston,1610612745,0.0,0.435,0.361
10,0.273,30.4,0.0,,123.6,0.167,0.0,0021500689,20:54,-16.9,106.7,0.074,93.52,0.029,201977,Marcus Thornton,0.111,,HOU,Houston,1610612745,0.0,0.145,0.152
11,,0.0,,NWT - Low back pain                     ,,,,0021500689,,,,,,,1626155,Sam Dekker,,,HOU,Houston,1610612745,,,0.0
12,,0.0,,DND - Back soreness                     ,,,,0021500689,,,,,,,202700,Donatas Motiejunas,,,HOU,Houston,1610612745,,,0.0
13,0.038,6.7,1.0,,101.6,0.04,0.708,0021500689,28:03,42.6,144.1,0.0,100.41,0.114,202695,Kawhi Leonard,0.022,F,SAS,San Antonio,1610612759,6.7,0.699,0.213
14,0.208,21.7,2.5,,98.5,0.16,0.692,0021500689,29:40,42.5,141.0,0.3,99.69,0.229,200746,LaMarcus Aldridge,0.222,F,SAS,San Antonio,1610612759,8.7,0.777,0.273
15,0.059,12.7,1.0,,110.3,0.231,0.6,0021500689,15:48,35.4,145.7,0.0,104.87,0.07,203937,Kyle Anderson,0.12,C,SAS,San Antonio,1610612759,12.7,0.595,0.178
16,0.13,25.0,0.0,,109.4,0.192,1.0,0021500689,28:05,16.2,125.7,0.045,103.16,0.203,201980,Danny Green,0.125,G,SAS,San Antonio,1610612759,0.0,1.0,0.136
17,0.333,34.2,0.0,,107.0,0.167,0.538,0021500689,23:10,38.2,145.2,0.0,98.66,0.179,2225,Tony Parker,0.088,G,SAS,San Antonio,1610612759,0.0,0.558,0.256
18,0.176,25.3,0.75,,67.1,0.167,0.5,0021500689,19:06,43.2,110.3,0.0,109.02,0.07,1938,Manu Ginobili,0.095,,SAS,San Antonio,1610612759,33.7,0.615,0.183
19,0.188,50.0,0.0,,91.8,0.111,0.0,0021500689,18:33,18.3,110.1,0.0,99.62,-0.031,2564,Boris Diaw,0.053,,SAS,San Antonio,1610612759,0.0,0.0,0.068
20,0.5,26.7,2.0,,84.1,0.15,0.5,0021500689,15:20,17.6,101.7,0.0,111.32,0.157,201988,Patty Mills,0.088,,SAS,San Antonio,1610612759,13.3,0.5,0.286
21,0.154,33.3,1.0,,84.1,0.111,1.0,0021500689,14:36,34.8,118.9,0.0,106.14,0.091,2561,David West,0.067,,SAS,San Antonio,1610612759,33.3,1.0,0.109
22,0.0,0.0,0.0,,120.9,0.333,0.556,0021500689,16:39,0.4,121.4,0.2,91.62,0.181,1626246,Boban Marjanovic,0.278,,SAS,San Antonio,1610612759,0.0,0.604,0.283
23,0.0,0.0,0.0,,121.5,0.0,0.25,0021500689,12:00,-0.2,121.3,0.091,88.96,-0.011,203613,Jonathon Simmons,0.038,,SAS,San Antonio,1610612759,15.8,0.47,0.233
24,0.429,37.5,0.0,,116.0,0.182,0.8,0021500689,9:31,20.5,136.5,0.1,85.34,0.291,203492,Ray McCallum,0.143,,SAS,San Antonio,1610612759,0.0,0.8,0.224
25,0.222,50.0,0.0,,116.0,0.091,0.5,0021500689,9:31,20.5,136.5,0.0,85.34,0.114,2446,Rasual Butler,0.048,,SAS,San Antonio,1610612759,0.0,0.5,0.09
