,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.462,0.795,0021500689,27:00,0.725,0.196,0.368,0.142,0.292,2772,Trevor Ariza,F,HOU,Houston,1610612745,0.194
1,,0.735,1.0,0021500689,13:55,0.552,0.276,0.214,0.092,0.0,201147,Corey Brewer,F,HOU,Houston,1610612745,0.246
2,,0.645,0.581,0021500689,22:42,0.656,0.178,0.211,0.101,0.143,2730,Dwight Howard,C,HOU,Houston,1610612745,0.178
3,,0.45,0.825,0021500689,27:36,0.712,0.192,0.35,0.139,0.292,201935,James Harden,G,HOU,Houston,1610612745,0.188
4,,0.462,0.744,0021500689,26:10,0.735,0.204,0.333,0.129,0.318,201976,Patrick Beverley,G,HOU,Houston,1610612745,0.183
5,,0.415,0.463,0021500689,24:41,0.489,0.289,0.208,0.133,0.207,2746,Josh Smith,,HOU,Houston,1610612745,0.122
6,,0.152,1.043,0021500689,14:13,0.62,0.32,0.455,0.203,0.273,203991,Clint Capela,,HOU,Houston,1610612745,0.179
7,,0.341,0.805,0021500689,25:38,0.511,0.277,0.292,0.164,0.273,201951,Ty Lawson,,HOU,Houston,1610612745,0.131
8,,0.424,0.636,0021500689,20:24,0.5,0.289,0.25,0.137,0.2,1891,Jason Terry,,HOU,Houston,1610612745,0.097
9,,0.442,0.615,0021500689,16:47,0.7,0.233,0.308,0.121,0.294,203093,Terrence Jones,,HOU,Houston,1610612745,0.067
10,,0.386,0.543,0021500689,20:54,0.59,0.179,0.389,0.166,0.222,201977,Marcus Thornton,,HOU,Houston,1610612745,0.051
11,NWT - Low back pain                     ,,,0021500689,,,,,,,1626155,Sam Dekker,,HOU,Houston,1610612745,
12,DND - Back soreness                     ,,,0021500689,,,,,,,202700,Donatas Motiejunas,,HOU,Houston,1610612745,
13,,0.712,0.231,0021500689,28:03,0.463,0.78,0.28,0.186,0.35,202695,Kawhi Leonard,F,SAS,San Antonio,1610612759,0.137
14,,0.721,0.231,0021500689,29:40,0.432,0.773,0.32,0.191,0.3,200746,LaMarcus Aldridge,F,SAS,San Antonio,1610612759,0.149
15,,0.688,0.188,0021500689,15:48,0.5,0.792,0.385,0.226,0.417,203937,Kyle Anderson,C,SAS,San Antonio,1610612759,0.119
16,,0.67,0.24,0021500689,28:05,0.538,0.875,0.192,0.152,0.227,201980,Danny Green,G,SAS,San Antonio,1610612759,0.18
17,,0.705,0.182,0021500689,23:10,0.5,0.611,0.389,0.189,0.313,2225,Tony Parker,G,SAS,San Antonio,1610612759,0.105
18,,0.539,0.211,0021500689,19:06,0.306,0.677,0.208,0.185,0.278,1938,Manu Ginobili,,SAS,San Antonio,1610612759,0.161
19,,0.461,0.237,0021500689,18:33,0.411,0.571,0.222,0.162,0.2,2564,Boris Diaw,,SAS,San Antonio,1610612759,0.05
20,,0.56,0.4,0021500689,15:20,0.37,0.957,0.1,0.14,0.214,201988,Patty Mills,,SAS,San Antonio,1610612759,0.254
21,,0.648,0.222,0021500689,14:36,0.413,0.783,0.167,0.097,0.25,2561,David West,,SAS,San Antonio,1610612759,0.208
22,,0.569,0.31,0021500689,16:39,0.444,0.556,0.19,0.033,0.333,1626246,Boban Marjanovic,,SAS,San Antonio,1610612759,0.152
23,,0.524,0.333,0021500689,12:00,0.425,0.5,0.267,0.047,0.364,203613,Jonathon Simmons,,SAS,San Antonio,1610612759,0.13
24,,0.524,0.143,0021500689,9:31,0.393,0.571,0.273,0.064,0.4,203492,Ray McCallum,,SAS,San Antonio,1610612759,0.0
25,,0.524,0.143,0021500689,9:31,0.393,0.571,0.273,0.064,0.4,2446,Rasual Butler,,SAS,San Antonio,1610612759,0.0
