,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.478,0.239,0021500532,28:45,0.685,0.148,0.353,0.104,0.24,202330,Gordon Hayward,F,UTA,Utah,1610612762,0.225
1,,0.52,0.3,0021500532,29:52,0.691,0.218,0.316,0.069,0.308,1626168,Trey Lyles,F,UTA,Utah,1610612762,0.198
2,,0.513,0.275,0021500532,23:44,0.723,0.106,0.308,0.062,0.238,203481,Jeff Withey,C,UTA,Utah,1610612762,0.201
3,,0.5,0.242,0021500532,20:40,0.806,0.111,0.375,0.147,0.176,203918,Rodney Hood,G,UTA,Utah,1610612762,0.193
4,,0.472,0.389,0021500532,23:42,0.67,0.191,0.294,0.061,0.25,203526,Raul Neto,G,UTA,Utah,1610612762,0.228
5,,0.514,0.189,0021500532,24:05,0.577,0.205,0.211,0.206,0.222,202353,Tibor Pleiss,,UTA,Utah,1610612762,0.2
6,,0.547,0.093,0021500532,24:18,0.641,0.103,0.2,0.209,0.25,203504,Trey Burke,,UTA,Utah,1610612762,0.168
7,,0.5,0.097,0021500532,18:19,0.597,0.032,0.154,0.234,0.2,202344,Trevor Booker,,UTA,Utah,1610612762,0.193
8,,0.55,0.175,0021500532,24:46,0.595,0.167,0.2,0.163,0.211,203187,Chris Johnson,,UTA,Utah,1610612762,0.17
9,,0.526,0.256,0021500532,21:49,0.55,0.175,0.158,0.13,0.368,204060,Joe Ingles,,UTA,Utah,1610612762,0.198
10,NWT - back spasms                       ,,,0021500532,,,,,,,202324,Derrick Favors,,UTA,Utah,1610612762,
11,,0.716,0.162,0021500532,23:12,0.539,0.079,0.158,0.181,0.308,202695,Kawhi Leonard,F,SAS,San Antonio,1610612759,0.183
12,,0.745,0.128,0021500532,25:53,0.443,0.25,0.24,0.174,0.333,1495,Tim Duncan,F,SAS,San Antonio,1610612759,0.133
13,,0.707,0.174,0021500532,25:00,0.5,0.262,0.273,0.197,0.385,2561,David West,C,SAS,San Antonio,1610612759,0.101
14,,0.714,0.19,0021500532,11:01,0.556,0.333,0.25,0.244,0.429,201980,Danny Green,G,SAS,San Antonio,1610612759,0.092
15,,0.744,0.026,0021500532,23:05,0.538,0.103,0.167,0.192,0.308,201988,Patty Mills,G,SAS,San Antonio,1610612759,0.22
16,,0.585,0.255,0021500532,24:55,0.488,0.35,0.318,0.203,0.211,203492,Ray McCallum,,SAS,San Antonio,1610612759,0.059
17,,0.662,0.135,0021500532,22:48,0.524,0.098,0.2,0.134,0.154,1938,Manu Ginobili,,SAS,San Antonio,1610612759,0.195
18,,0.66,0.08,0021500532,16:25,0.611,0.037,0.091,0.209,0.091,2564,Boris Diaw,,SAS,San Antonio,1610612759,0.243
19,,0.6,0.086,0021500532,17:15,0.56,0.28,0.273,0.305,0.267,203613,Jonathon Simmons,,SAS,San Antonio,1610612759,0.134
20,,0.581,0.226,0021500532,19:03,0.645,0.097,0.167,0.209,0.176,1626246,Boban Marjanovic,,SAS,San Antonio,1610612759,0.162
21,,0.605,0.158,0021500532,19:07,0.469,0.438,0.389,0.183,0.214,203937,Kyle Anderson,,SAS,San Antonio,1610612759,0.05
22,,0.5,0.2,0021500532,6:35,0.3,0.6,0.429,0.172,0.25,2588,Matt Bonner,,SAS,San Antonio,1610612759,0.0
23,,0.542,0.167,0021500532,5:41,0.125,0.75,0.429,0.207,0.2,2446,Rasual Butler,,SAS,San Antonio,1610612759,0.0
