,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,1.0,0.0,,0021500689,27:00,12.0,15.0,20.0,32.0,3.0,2.0,2772,Trevor Ariza,1.0,0.0,0.0,0.0,F,HOU,Houston,1610612745
1,0.0,0.0,,0021500689,13:55,4.0,7.0,15.0,14.0,4.0,1.0,201147,Corey Brewer,2.0,0.0,2.0,2.0,F,HOU,Houston,1610612745
2,2.0,0.0,,0021500689,22:42,6.0,12.0,15.0,22.0,1.0,4.0,2730,Dwight Howard,1.0,0.0,0.0,6.0,C,HOU,Houston,1610612745
3,1.0,1.0,,0021500689,27:36,12.0,15.0,20.0,32.0,1.0,4.0,201935,James Harden,2.0,2.0,0.0,8.0,G,HOU,Houston,1610612745
4,1.0,0.0,,0021500689,26:10,12.0,15.0,20.0,30.0,2.0,1.0,201976,Patrick Beverley,0.0,1.0,1.0,4.0,G,HOU,Houston,1610612745
5,1.0,0.0,,0021500689,24:41,6.0,4.0,7.0,24.0,4.0,3.0,2746,Josh Smith,0.0,3.0,3.0,4.0,,HOU,Houston,1610612745
6,3.0,0.0,,0021500689,14:13,6.0,5.0,10.0,16.0,5.0,5.0,203991,Clint Capela,2.0,2.0,2.0,2.0,,HOU,Houston,1610612745
7,1.0,0.0,,0021500689,25:38,10.0,2.0,11.0,24.0,0.0,3.0,201951,Ty Lawson,0.0,1.0,1.0,0.0,,HOU,Houston,1610612745
8,0.0,0.0,,0021500689,20:24,6.0,2.0,7.0,18.0,1.0,1.0,1891,Jason Terry,3.0,3.0,3.0,0.0,,HOU,Houston,1610612745
9,0.0,0.0,,0021500689,16:47,6.0,3.0,5.0,14.0,0.0,3.0,203093,Terrence Jones,2.0,0.0,0.0,6.0,,HOU,Houston,1610612745
10,1.0,2.0,,0021500689,20:54,10.0,5.0,5.0,24.0,1.0,1.0,201977,Marcus Thornton,0.0,0.0,2.0,0.0,,HOU,Houston,1610612745
11,,,NWT - Low back pain                     ,0021500689,,,,,,,,1626155,Sam Dekker,,,,,,HOU,Houston,1610612745
12,,,DND - Back soreness                     ,0021500689,,,,,,,,202700,Donatas Motiejunas,,,,,,HOU,Houston,1610612745
13,1.0,0.0,,0021500689,28:03,8.0,3.0,5.0,20.0,1.0,2.0,202695,Kawhi Leonard,0.0,0.0,5.0,0.0,F,SAS,San Antonio,1610612759
14,0.0,2.0,,0021500689,29:40,8.0,4.0,6.0,20.0,4.0,5.0,200746,LaMarcus Aldridge,12.0,0.0,8.0,12.0,F,SAS,San Antonio,1610612759
15,0.0,2.0,,0021500689,15:48,5.0,0.0,4.0,10.0,2.0,2.0,203937,Kyle Anderson,0.0,0.0,2.0,4.0,C,SAS,San Antonio,1610612759
16,1.0,1.0,,0021500689,28:05,7.0,7.0,14.0,16.0,2.0,2.0,201980,Danny Green,0.0,3.0,3.0,0.0,G,SAS,San Antonio,1610612759
17,0.0,2.0,,0021500689,23:10,6.0,3.0,5.0,20.0,2.0,2.0,2225,Tony Parker,0.0,9.0,2.0,12.0,G,SAS,San Antonio,1610612759
18,0.0,0.0,,0021500689,19:06,4.0,8.0,4.0,12.0,4.0,3.0,1938,Manu Ginobili,0.0,0.0,0.0,4.0,,SAS,San Antonio,1610612759
19,0.0,1.0,,0021500689,18:33,4.0,6.0,1.0,16.0,5.0,1.0,2564,Boris Diaw,0.0,0.0,0.0,0.0,,SAS,San Antonio,1610612759
20,0.0,1.0,,0021500689,15:20,5.0,6.0,9.0,4.0,1.0,0.0,201988,Patty Mills,0.0,5.0,5.0,4.0,,SAS,San Antonio,1610612759
21,0.0,0.0,,0021500689,14:36,4.0,6.0,9.0,6.0,1.0,1.0,2561,David West,0.0,0.0,0.0,2.0,,SAS,San Antonio,1610612759
22,0.0,2.0,,0021500689,16:39,5.0,8.0,8.0,12.0,4.0,3.0,1626246,Boban Marjanovic,4.0,0.0,2.0,10.0,,SAS,San Antonio,1610612759
23,0.0,0.0,,0021500689,12:00,5.0,3.0,5.0,8.0,2.0,1.0,203613,Jonathon Simmons,2.0,0.0,0.0,2.0,,SAS,San Antonio,1610612759
24,0.0,0.0,,0021500689,9:31,2.0,3.0,0.0,8.0,0.0,0.0,203492,Ray McCallum,0.0,0.0,0.0,0.0,,SAS,San Antonio,1610612759
25,1.0,0.0,,0021500689,9:31,2.0,3.0,0.0,8.0,0.0,0.0,2446,Rasual Butler,0.0,0.0,0.0,0.0,,SAS,San Antonio,1610612759
