,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,306.99657,170.21592,-170.21592,258.36345,-117.53004,29.38251,0.044,89.16072,365.76159,0.047,61.80459,122.59599,0.045,82,,,Overall,2015-16,15,3941.0,23.30337,-166.16316,166.16316,883.50168,883.50168,281.66682,86.12115,SAS,1610612759.0,San Antonio Spurs,-144.88617,67,0.817
0,30.3957,32.42208,-32.42208,52.68588,-21.27699,-12.15828,-0.019,53.69907,63.83097,0.032,1.01319,18.23742,0.068,47,200746 - 1495 - 201980 - 202695 - 2225,"Aldridge,LaMarcus - Duncan,Tim - Green,Danny - Leonard,Kawhi - Parker,Tony",Lineups,,9,697.88,34.44846,-10.1319,10.1319,133.74108,133.74108,87.13434,20.2638,,,,-5.06595,38,0.809
1,3.03957,9.11871,-9.11871,-7.09233,-11.14509,1.01319,0.068,19.25061,11.14509,0.006,-19.25061,-12.15828,0.041,25,200746 - 201980 - 202695 - 2225 - 2561,"Aldridge,LaMarcus - Green,Danny - Leonard,Kawhi - Parker,Tony - West,David",Lineups,,6,185.315,5.06595,8.10552,-8.10552,11.14509,11.14509,-2.02638,16.21104,,,,-19.25061,19,0.76
2,16.21104,5.06595,-5.06595,12.15828,-16.21104,-10.1319,-0.099,21.27699,23.30337,0.068,-6.07914,3.03957,0.131,31,200746 - 1495 - 1938 - 202695 - 2225,"Aldridge,LaMarcus - Duncan,Tim - Ginobili,Manu - Leonard,Kawhi - Parker,Tony",Lineups,,7,121.101666667,9.11871,0.0,0.0,39.51441,39.51441,21.27699,-2.02638,,,,-8.10552,24,0.774
3,18.23742,1.01319,-1.01319,3.03957,11.14509,8.10552,0.077,-6.07914,8.10552,0.056,-5.06595,3.03957,0.169,41,200746 - 2564 - 1938 - 202695 - 201988,"Aldridge,LaMarcus - Diaw,Boris - Ginobili,Manu - Leonard,Kawhi - Mills,Patty",Lineups,,9,114.105,-10.1319,-6.07914,6.07914,27.35613,27.35613,-7.09233,0.0,,,,-9.11871,32,0.78
4,6.07914,6.07914,-6.07914,8.10552,4.05276,5.06595,0.121,-1.01319,8.10552,0.062,12.15828,10.1319,0.014,21,1495 - 201980 - 202695 - 2225 - 2561,"Duncan,Tim - Green,Danny - Leonard,Kawhi - Parker,Tony - West,David",Lineups,,4,81.4,3.03957,-5.06595,5.06595,31.40889,31.40889,11.14509,2.02638,,,,3.03957,17,0.81
5,-2.02638,1.01319,-1.01319,-7.09233,3.03957,-2.02638,-0.097,-1.01319,-2.02638,-0.012,-5.06595,-7.09233,-0.125,20,203937 - 2564 - 1938 - 201988 - 2561,"Anderson,Kyle - Diaw,Boris - Ginobili,Manu - Mills,Patty - West,David",Lineups,,5,70.8033333333,-4.05276,1.01319,-1.01319,-13.17147,-13.17147,-11.14509,1.01319,,,,-10.1319,15,0.75
6,-1.01319,6.07914,-6.07914,13.17147,-12.15828,0.0,0.139,-9.11871,7.09233,0.108,18.23742,16.21104,0.048,16,200746 - 2564 - 201980 - 202695 - 2225,"Aldridge,LaMarcus - Diaw,Boris - Green,Danny - Leonard,Kawhi - Parker,Tony",Lineups,,2,62.755,3.03957,-2.02638,2.02638,30.3957,30.3957,16.21104,-2.02638,,,,6.07914,14,0.875
7,-6.07914,7.09233,-7.09233,-1.01319,-7.09233,-4.05276,-0.065,-6.07914,-2.02638,0.006,16.21104,16.21104,0.152,11,200746 - 203937 - 1495 - 201980 - 2225,"Aldridge,LaMarcus - Anderson,Kyle - Duncan,Tim - Green,Danny - Parker,Tony",Lineups,,3,60.0333333333,-4.05276,-8.10552,8.10552,8.10552,8.10552,-5.06595,4.05276,,,,-3.03957,8,0.727
8,5.06595,-7.09233,7.09233,-1.01319,18.23742,7.09233,0.049,23.30337,6.07914,-0.035,-28.36932,-14.18466,0.4,19,2564 - 1938 - 201980 - 201988 - 2561,"Diaw,Boris - Ginobili,Manu - Green,Danny - Mills,Patty - West,David",Lineups,,1,57.1016666667,3.03957,15.19785,-15.19785,5.06595,5.06595,2.02638,1.01319,,,,-5.06595,18,0.947
9,4.05276,1.01319,-1.01319,3.03957,2.02638,0.0,-0.037,-3.03957,6.07914,0.077,-1.01319,-2.02638,-0.058,11,203937 - 2564 - 201988 - 203613 - 2561,"Anderson,Kyle - Diaw,Boris - Mills,Patty - Simmons,Jonathon - West,David",Lineups,,2,53.8283333333,-5.06595,-4.05276,4.05276,10.1319,10.1319,-2.02638,0.0,,,,0.0,9,0.818
