,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,306.99657,170.21592,-170.21592,,258.36345,-117.53004,29.38251,0.044,89.16072,365.76159,0.047,61.80459,122.59599,0.045,82,Overall,2015-16,15,3941.0,23.30337,-166.16316,166.16316,883.50168,883.50168,281.66682,86.12115,SAS,1610612759,San Antonio Spurs,-144.88617,,,67,0.817
0,124.62237,126.64875,-126.64875,On,166.16316,-134.75427,-21.27699,0.033,44.58036,200.61162,0.046,61.80459,122.59599,0.081,73,On/Off Court,,13,2231.06833333,31.40889,-105.37176,105.37176,502.54224,502.54224,197.57205,51.67269,SAS,1610612759,San Antonio Spurs,-72.94968,200746.0,"Aldridge, LaMarcus",60,0.822
1,62.81778,60.7914,-60.7914,On,32.42208,-102.33219,-17.22423,0.037,-34.44846,79.02882,0.045,62.81778,63.83097,0.029,77,On/Off Court,,14,1235.995,-29.38251,-74.97606,74.97606,204.66438,204.66438,3.03957,33.43527,SAS,1610612759,San Antonio Spurs,-64.84416,203937.0,"Anderson, Kyle",63,0.818
2,5.06595,8.10552,-8.10552,On,18.23742,-7.09233,2.02638,0.051,-7.09233,28.36932,0.096,1.01319,4.05276,0.035,29,On/Off Court,,5,203.078333333,-10.1319,-9.11871,9.11871,62.81778,62.81778,8.10552,4.05276,SAS,1610612759,San Antonio Spurs,-9.11871,2588.0,"Bonner, Matt",24,0.828
3,45.59355,26.34294,-26.34294,On,48.63312,-17.22423,8.10552,0.071,-29.38251,36.47484,0.068,13.17147,-1.01319,-0.055,46,On/Off Court,,5,431.528333333,-6.07914,-29.38251,29.38251,80.04201,80.04201,42.55398,4.05276,SAS,1610612759,San Antonio Spurs,-5.06595,2446.0,"Butler, Rasual",41,0.891
4,122.59599,54.71226,-54.71226,On,69.91011,42.55398,52.68588,0.061,10.1319,113.47728,0.045,-12.15828,-3.03957,0.011,75,On/Off Court,,12,1366.31333333,-9.11871,-39.51441,39.51441,276.60087,276.60087,60.7914,-1.01319,SAS,1610612759,San Antonio Spurs,-28.36932,2564.0,"Diaw, Boris",63,0.84
5,100.30581,82.06839,-82.06839,On,154.00488,-46.60674,-6.07914,0.018,72.94968,172.2423,0.053,60.7914,81.0552,0.055,60,On/Off Court,,11,1509.04,58.76502,-75.98925,75.98925,419.46066,419.46066,212.7699,38.50122,SAS,1610612759,San Antonio Spurs,-31.40889,1495.0,"Duncan, Tim",49,0.817
6,139.82022,36.47484,-36.47484,On,85.10796,47.61993,48.63312,0.064,13.17147,119.55642,0.059,0.0,33.43527,0.066,57,On/Off Court,,11,1112.49333333,-13.17147,-44.58036,44.58036,321.18123,321.18123,71.93649,-19.25061,SAS,1610612759,San Antonio Spurs,-46.60674,1938.0,"Ginobili, Manu",46,0.807
7,142.85979,94.22667,-94.22667,On,157.04445,-74.97606,2.02638,0.034,105.37176,217.83585,0.047,56.73864,77.00244,0.042,78,On/Off Court,,14,2047.30333333,58.76502,-92.20029,92.20029,514.70052,514.70052,215.80947,84.09477,SAS,1610612759,San Antonio Spurs,-86.12115,201980.0,"Green, Danny",64,0.821
8,176.29506,122.59599,-122.59599,On,173.25549,-79.02882,17.22423,0.05,113.47728,267.48216,0.053,46.60674,92.20029,0.057,71,On/Off Court,,12,2348.78833333,39.51441,-82.06839,82.06839,644.38884,644.38884,212.7699,83.08158,SAS,1610612759,San Antonio Spurs,-121.5828,202695.0,"Leonard, Kawhi",59,0.831
9,14.18466,6.07914,-6.07914,On,21.27699,-65.85735,-26.34294,-0.021,-15.19785,15.19785,0.027,62.81778,48.63312,0.002,53,On/Off Court,,7,502.705,20.2638,-41.54079,41.54079,52.68588,52.68588,41.54079,-6.07914,SAS,1610612759,San Antonio Spurs,-2.02638,1626246.0,"Marjanovic, Boban",46,0.868
10,-5.06595,7.09233,-7.09233,On,-23.30337,-36.47484,-17.22423,-0.027,-11.14509,-14.18466,-0.02,6.07914,5.06595,0.001,16,On/Off Court,,5,260.555,-1.01319,-13.17147,13.17147,-40.5276,-40.5276,-24.31656,2.02638,SAS,1610612759,San Antonio Spurs,-2.02638,2755.0,"Martin, Kevin",11,0.688
11,23.30337,2.02638,-2.02638,On,7.09233,-57.75183,-14.18466,0.059,-10.1319,19.25061,0.059,2.02638,-1.01319,-0.022,30,On/Off Court,,3,238.651666667,-6.07914,-8.10552,8.10552,23.30337,23.30337,1.01319,11.14509,SAS,1610612759,San Antonio Spurs,-10.1319,203492.0,"McCallum, Ray",27,0.9
12,12.15828,2.02638,-2.02638,On,23.30337,-42.55398,-10.1319,0.068,-20.2638,11.14509,0.069,31.40889,31.40889,0.108,13,On/Off Court,,2,180.736666667,-3.03957,-19.25061,19.25061,43.56717,43.56717,20.2638,1.01319,SAS,1610612759,San Antonio Spurs,-2.02638,1889.0,"Miller, Andre",11,0.846
13,197.57205,55.72545,-55.72545,On,93.21348,109.42452,66.87054,0.037,51.67269,149.95212,0.044,-33.43527,-3.03957,0.034,80,On/Off Court,,15,1633.97666667,-2.02638,-62.81778,62.81778,363.73521,363.73521,91.1871,13.17147,SAS,1610612759,San Antonio Spurs,-71.93649,201988.0,"Mills, Patty",65,0.813
14,99.29262,107.39814,-107.39814,On,121.5828,-120.56961,-18.23742,0.034,66.87054,176.29506,0.043,37.48803,84.09477,0.067,72,On/Off Court,,13,1980.45833333,15.19785,-78.01563,78.01563,418.44747,418.44747,136.78065,72.94968,SAS,1610612759,San Antonio Spurs,-70.9233,2225.0,"Parker, Tony",59,0.819
15,46.60674,20.2638,-20.2638,On,50.6595,-36.47484,18.23742,0.093,-58.76502,19.25061,0.035,9.11871,17.22423,0.026,54,On/Off Court,,8,792.596666667,-26.34294,-20.2638,20.2638,73.96287,73.96287,24.31656,-25.32975,SAS,1610612759,San Antonio Spurs,5.06595,203613.0,"Simmons, Jonathon",46,0.852
16,181.36101,38.50122,-38.50122,On,62.81778,-6.07914,31.40889,0.059,88.14753,156.03126,0.047,-46.60674,-14.18466,0.04,77,On/Off Court,,15,1389.71166667,-16.21104,-44.58036,44.58036,329.28675,329.28675,46.60674,57.75183,SAS,1610612759,San Antonio Spurs,-89.16072,2561.0,"West, David",62,0.805
0,173.25549,43.56717,-43.56717,Off,86.12115,9.11871,44.58036,0.056,31.40889,152.99169,0.048,10.1319,5.06595,-0.004,81,On/Off Court,,15,1661.93166667,-11.14509,-62.81778,62.81778,355.62969,355.62969,74.97606,29.38251,SAS,1610612759,San Antonio Spurs,-68.89692,200746.0,"Aldridge, LaMarcus",66,0.815
1,235.06008,109.42452,-109.42452,Off,219.86223,-23.30337,40.5276,0.045,110.43771,274.57449,0.048,9.11871,63.83097,0.051,81,On/Off Court,,15,2657.005,49.64631,-93.21348,93.21348,653.50755,653.50755,269.50854,47.61993,SAS,1610612759,San Antonio Spurs,-77.00244,203937.0,"Anderson, Kyle",66,0.815
2,292.81191,162.1104,-162.1104,Off,234.04689,-118.54323,21.27699,0.042,83.08158,325.23399,0.045,70.9233,123.60918,0.044,81,On/Off Court,,15,3689.92166667,30.3957,-159.07083,159.07083,795.35415,795.35415,264.44259,77.00244,SAS,1610612759,San Antonio Spurs,-132.72789,2588.0,"Bonner, Matt",66,0.815
3,252.28431,143.87298,-143.87298,Off,203.65119,-108.41133,15.19785,0.039,105.37176,317.12847,0.045,58.76502,128.67513,0.057,81,On/Off Court,,15,3461.47166667,26.34294,-138.80703,138.80703,778.12992,778.12992,229.99413,77.00244,SAS,1610612759,San Antonio Spurs,-136.78065,2446.0,"Butler, Rasual",66,0.815
4,175.28187,115.50366,-115.50366,Off,182.3742,-168.18954,-29.38251,0.032,65.85735,240.12603,0.048,84.09477,130.70151,0.06,81,On/Off Court,,15,2526.68666667,29.38251,-128.67513,128.67513,581.57106,581.57106,211.75671,82.06839,SAS,1610612759,San Antonio Spurs,-113.47728,2564.0,"Diaw, Boris",66,0.815
