,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,TEAM_ID,TEAM_NAME
0,379,798,386,0.484,237,85,0.359,1035,471,0.455,0.142,72,3869,"Parker, Tony",2225,,made,1610612759,San Antonio Spurs
1,225,521,266,0.511,120,48,0.4,641,314,0.49,0.109,81,2963,"Mills, Patty",201988,,made,1610612759,San Antonio Spurs
2,110,351,167,0.476,127,46,0.362,478,213,0.446,0.101,74,2756,"Aldridge, LaMarcus",200746,,made,1610612759,San Antonio Spurs
3,141,495,229,0.463,90,37,0.411,585,266,0.455,0.097,79,2633,"Green, Danny",201980,,made,1610612759,San Antonio Spurs
4,186,404,207,0.512,151,56,0.371,555,263,0.474,0.085,72,2313,"Leonard, Kawhi",202695,,made,1610612759,San Antonio Spurs
5,176,346,181,0.523,169,63,0.373,515,244,0.474,0.084,76,2292,"Diaw, Boris",2564,,made,1610612759,San Antonio Spurs
6,163,400,219,0.548,87,33,0.379,487,252,0.517,0.077,61,2080,"Duncan, Tim",1495,,made,1610612759,San Antonio Spurs
7,143,288,145,0.503,119,46,0.387,407,191,0.469,0.064,78,1750,"West, David",2561,,made,1610612759,San Antonio Spurs
8,123,269,158,0.587,101,34,0.337,370,192,0.519,0.062,78,1692,"Anderson, Kyle",203937,,made,1610612759,San Antonio Spurs
9,177,343,187,0.545,110,44,0.4,453,231,0.51,0.058,58,1582,"Ginobili, Manu",1938,,made,1610612759,San Antonio Spurs
10,58,124,57,0.46,64,26,0.406,188,83,0.441,0.032,55,871,"Simmons, Jonathon",203613,,made,1610612759,San Antonio Spurs
11,21,64,29,0.453,15,5,0.333,79,34,0.43,0.019,50,513,"Marjanovic, Boban",1626246,,made,1610612759,San Antonio Spurs
12,33,84,38,0.452,19,7,0.368,103,45,0.437,0.017,28,473,"McCallum, Ray",203492,,made,1610612759,San Antonio Spurs
13,24,68,36,0.529,22,10,0.455,90,46,0.511,0.017,45,462,"Butler, Rasual",2446,,made,1610612759,San Antonio Spurs
14,29,63,38,0.603,14,4,0.286,77,42,0.545,0.014,13,367,"Miller, Andre",1889,,made,1610612759,San Antonio Spurs
15,9,36,17,0.472,11,5,0.455,47,22,0.468,0.011,25,290,"Bonner, Matt",2588,,made,1610612759,San Antonio Spurs
16,12,45,18,0.4,9,5,0.556,54,23,0.426,0.01,16,260,"Martin, Kevin",2755,,made,1610612759,San Antonio Spurs
0,112,581,293,0.504,63,27,0.429,644,320,0.497,0.16,72,4355,,2225,"Parker, Tony",received,1610612759,San Antonio Spurs
1,163,261,120,0.46,308,121,0.393,569,241,0.424,0.124,81,3363,,201988,"Mills, Patty",received,1610612759,San Antonio Spurs
2,354,919,463,0.504,16,0,0.0,935,463,0.495,0.099,74,2699,,200746,"Aldridge, LaMarcus",received,1610612759,San Antonio Spurs
3,300,694,363,0.523,273,120,0.44,967,483,0.499,0.098,72,2675,,202695,"Leonard, Kawhi",received,1610612759,San Antonio Spurs
4,181,181,78,0.431,342,114,0.333,523,192,0.367,0.087,79,2374,,201980,"Green, Danny",received,1610612759,San Antonio Spurs
5,132,231,117,0.506,173,68,0.393,404,185,0.458,0.07,58,1900,,1938,"Ginobili, Manu",received,1610612759,San Antonio Spurs
6,110,292,164,0.562,67,24,0.358,359,188,0.524,0.069,76,1884,,2564,"Diaw, Boris",received,1610612759,San Antonio Spurs
7,147,395,185,0.468,1,0,0.0,396,185,0.467,0.062,61,1691,,1495,"Duncan, Tim",received,1610612759,San Antonio Spurs
8,191,411,219,0.533,6,3,0.5,417,222,0.532,0.056,78,1534,,2561,"West, David",received,1610612759,San Antonio Spurs
9,73,226,109,0.482,35,12,0.343,261,121,0.464,0.053,77,1442,,203937,"Anderson, Kyle",received,1610612759,San Antonio Spurs
10,76,168,88,0.524,45,18,0.4,213,106,0.498,0.037,55,994,,203613,"Simmons, Jonathon",received,1610612759,San Antonio Spurs
11,15,46,18,0.391,16,5,0.313,62,23,0.371,0.018,27,489,,203492,"McCallum, Ray",received,1610612759,San Antonio Spurs
12,39,54,32,0.593,49,15,0.306,103,47,0.456,0.016,44,442,,2446,"Butler, Rasual",received,1610612759,San Antonio Spurs
13,65,133,79,0.594,0,0,0.0,133,79,0.594,0.015,50,403,,1626246,"Marjanovic, Boban",received,1610612759,San Antonio Spurs
14,7,40,20,0.5,4,1,0.25,44,21,0.477,0.014,13,385,,1889,"Miller, Andre",received,1610612759,San Antonio Spurs
15,19,44,16,0.364,32,11,0.344,76,27,0.355,0.011,16,297,,2755,"Martin, Kevin",received,1610612759,San Antonio Spurs
16,25,23,14,0.609,35,15,0.429,58,29,0.5,0.009,24,239,,2588,"Bonner, Matt",received,1610612759,San Antonio Spurs
