,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,317,170,2015-16,0.526,1518,570,0.375,6797,3289,0.484,Overall,2015-16,0.549,0.905,0.611,0.451,0.095,0.389
0,220,171,Less Than 5 ft.,0.637,0,0,0.0,2152,1370,0.637,Shot Distance (5ft),Less Than 5 ft.,0.567,0.0,0.567,0.433,0.0,0.433
1,62,171,5-9 ft.,0.438,0,0,0.0,831,364,0.438,Shot Distance (5ft),5-9 ft.,0.42,0.0,0.42,0.58,0.0,0.58
2,9,171,10-14 ft.,0.437,0,0,0.0,707,309,0.437,Shot Distance (5ft),10-14 ft.,0.43,0.0,0.43,0.57,0.0,0.57
3,16,171,15-19 ft.,0.432,0,0,0.0,1337,577,0.432,Shot Distance (5ft),15-19 ft.,0.622,0.0,0.622,0.378,0.0,0.378
4,6,171,20-24 ft.,0.556,929,372,0.4,1181,471,0.399,Shot Distance (5ft),20-24 ft.,0.727,0.906,0.868,0.273,0.094,0.132
5,4,171,25-29 ft.,0.527,561,197,0.351,561,197,0.351,Shot Distance (5ft),25-29 ft.,0.0,0.904,0.904,0.0,0.096,0.096
6,0,171,30-34 ft.,0.0,5,0,0.0,5,0,0.0,Shot Distance (5ft),30-34 ft.,0.0,0.0,0.0,0.0,0.0,0.0
7,0,171,35-39 ft.,0.0,3,0,0.0,3,0,0.0,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,0.0,0.0
8,0,171,40+ ft.,0.0,15,0,0.0,15,0,0.0,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,0.0,0.0
0,265,172,Less Than 8 ft.,0.602,0,0,0.0,2649,1595,0.602,Shot Distance (8ft),Less Than 8 ft.,0.547,0.0,0.547,0.453,0.0,0.453
1,27,172,8-16 ft.,0.434,0,0,0.0,1267,550,0.434,Shot Distance (8ft),8-16 ft.,0.44,0.0,0.44,0.56,0.0,0.56
2,16,172,16-24 ft.,0.421,0,0,0.0,1363,574,0.421,Shot Distance (8ft),16-24 ft.,0.66,0.0,0.66,0.34,0.0,0.34
3,9,172,24+ ft.,0.569,1500,569,0.379,1500,569,0.379,Shot Distance (8ft),24+ ft.,0.0,0.905,0.905,0.0,0.095,0.095
4,0,172,Back Court Shot,0.0,13,0,0.0,13,0,0.0,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,0.0,0.0
0,199,173,Restricted Area,0.65,0,0,0.0,1973,1283,0.65,Shot Area,Restricted Area,0.578,0.0,0.578,0.422,0.0,0.422
1,81,173,In The Paint (Non-RA),0.453,0,0,0.0,1110,503,0.453,Shot Area,In The Paint (Non-RA),0.414,0.0,0.414,0.586,0.0,0.586
2,28,173,Mid-Range,0.425,0,0,0.0,2196,933,0.425,Shot Area,Mid-Range,0.584,0.0,0.584,0.416,0.0,0.416
3,2,173,Left Corner 3,0.54,214,77,0.36,214,77,0.36,Shot Area,Left Corner 3,0.0,0.922,0.922,0.0,0.078,0.078
4,0,173,Right Corner 3,0.596,229,91,0.397,229,91,0.397,Shot Area,Right Corner 3,0.0,0.967,0.967,0.0,0.033,0.033
5,7,173,Above the Break 3,0.567,1060,401,0.378,1060,401,0.378,Shot Area,Above the Break 3,0.0,0.888,0.888,0.0,0.112,0.112
6,0,173,Backcourt,0.0,10,0,0.0,10,0,0.0,Shot Area,Backcourt,0.0,0.0,0.0,0.0,0.0,0.0
0,0,169,Assisted,1.128,516,516,1.0,2010,2010,1.0,Assisted Shot,Assisted,1.0,1.0,1.0,0.0,0.0,0.0
1,0,169,Unassisted,1.021,54,54,1.0,1279,1279,1.0,Assisted Shot,Unassisted,0.0,0.0,0.0,1.0,1.0,1.0
0,0,174,Alley Oop Dunk Shot,0.857,0,0,0.0,21,18,0.857,Shot Type,Alley Oop Dunk Shot,1.0,0.0,1.0,0.0,0.0,0.0
1,1,174,Alley Oop Layup shot,0.738,0,0,0.0,42,31,0.738,Shot Type,Alley Oop Layup shot,1.0,0.0,1.0,0.0,0.0,0.0
2,0,174,Cutting Dunk Shot,1.0,0,0,0.0,35,35,1.0,Shot Type,Cutting Dunk Shot,1.0,0.0,1.0,0.0,0.0,0.0
3,1,174,Cutting Finger Roll Layup Shot,0.833,0,0,0.0,42,35,0.833,Shot Type,Cutting Finger Roll Layup Shot,1.0,0.0,1.0,0.0,0.0,0.0
4,6,174,Cutting Layup Shot,0.798,0,0,0.0,84,67,0.798,Shot Type,Cutting Layup Shot,1.0,0.0,1.0,0.0,0.0,0.0
5,0,174,Driving Bank Hook Shot,1.0,0,0,0.0,3,3,1.0,Shot Type,Driving Bank Hook Shot,0.333,0.0,0.333,0.667,0.0,0.667
6,0,174,Driving Bank shot,0.458,0,0,0.0,24,11,0.458,Shot Type,Driving Bank shot,0.455,0.0,0.455,0.545,0.0,0.545
7,1,174,Driving Dunk Shot,0.97,0,0,0.0,33,32,0.97,Shot Type,Driving Dunk Shot,0.406,0.0,0.406,0.594,0.0,0.594
8,7,174,Driving Finger Roll Layup Shot,0.694,0,0,0.0,134,93,0.694,Shot Type,Driving Finger Roll Layup Shot,0.398,0.0,0.398,0.602,0.0,0.602
9,0,174,Driving Floating Bank Jump Shot,0.2,0,0,0.0,10,2,0.2,Shot Type,Driving Floating Bank Jump Shot,0.5,0.0,0.5,0.5,0.0,0.5
10,6,174,Driving Floating Jump Shot,0.508,0,0,0.0,59,30,0.508,Shot Type,Driving Floating Jump Shot,0.2,0.0,0.2,0.8,0.0,0.8
11,1,174,Driving Hook Shot,0.745,0,0,0.0,51,38,0.745,Shot Type,Driving Hook Shot,0.474,0.0,0.474,0.526,0.0,0.526
12,0,174,Driving Jump shot,0.0,0,0,0.0,1,0,0.0,Shot Type,Driving Jump shot,0.0,0.0,0.0,0.0,0.0,0.0
13,31,174,Driving Layup Shot,0.567,0,0,0.0,289,164,0.567,Shot Type,Driving Layup Shot,0.317,0.0,0.317,0.683,0.0,0.683
14,2,174,Driving Reverse Layup Shot,0.606,0,0,0.0,33,20,0.606,Shot Type,Driving Reverse Layup Shot,0.55,0.0,0.55,0.45,0.0,0.45
