,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,306.99657,170.21592,-170.21592,155,2015-16,258.36345,-117.53004,29.38251,0.044,89.16072,365.76159,0.047,61.80459,122.59599,0.045,,82,Overall,2015-16,15,3941.0,23.30337,-166.16316,166.16316,883.50168,883.50168,281.66682,,,2015-16,86.12115,,,-144.88617,67,0.817
0,216.82266,86.12115,-86.12115,153,Home,169.20273,-44.58036,25.32975,0.05,66.87054,225.94137,0.057,67.88373,103.34538,0.062,,41,Location,Home,1,1973.0,21.27699,-93.21348,93.21348,580.55787,580.55787,190.47972,,,,43.56717,,Home,-106.38495,40,0.976
1,90.17391,84.09477,-84.09477,153,Road,89.16072,-72.94968,4.05276,0.038,22.29018,139.82022,0.038,-6.07914,19.25061,0.029,,41,Location,Road,14,1968.0,2.02638,-72.94968,72.94968,302.94381,302.94381,91.1871,,,,42.55398,,Road,-38.50122,27,0.659
0,346.51098,162.1104,-162.1104,157,Wins,330.29994,-78.01563,75.98925,0.08,41.54079,408.31557,0.07,75.98925,139.82022,0.059,Wins,67,Wins/Losses,Wins,0,3221.0,-3.03957,-133.74108,133.74108,1032.44061,1032.44061,327.26037,,,,83.08158,,,-129.68832,67,1.0
1,-39.51441,8.10552,-8.10552,157,Losses,-71.93649,-39.51441,-46.60674,-0.114,47.61993,-42.55398,-0.051,-14.18466,-17.22423,-0.019,Losses,15,Wins/Losses,Losses,15,720.0,26.34294,-32.42208,32.42208,-148.93893,-148.93893,-45.59355,,,,3.03957,,,-15.19785,0,0.0
0,7.09233,3.03957,-3.03957,154,October,9.11871,2.02638,2.02638,0.036,16.21104,12.15828,0.027,-11.14509,-5.06595,0.139,,2,Month,October,1,96.0,6.07914,-2.02638,2.02638,21.27699,21.27699,15.19785,October,,,5.06595,,,-3.03957,1,0.5
1,53.69907,49.64631,-49.64631,154,November,75.98925,-6.07914,10.1319,0.039,-20.2638,55.72545,0.048,25.32975,21.27699,0.007,,16,Month,November,3,768.0,-8.10552,-31.40889,31.40889,142.85979,142.85979,67.88373,November,,,7.09233,,,3.03957,13,0.813
2,81.0552,30.3957,-30.3957,154,December,115.50366,10.1319,31.40889,0.096,23.30337,121.5828,0.085,9.11871,25.32975,0.055,,16,Month,December,2,768.0,26.34294,-44.58036,44.58036,299.90424,299.90424,141.8466,December,,,15.19785,,,-14.18466,14,0.875
3,64.84416,11.14509,-11.14509,154,January,23.30337,-38.50122,5.06595,0.077,58.76502,85.10796,0.052,-33.43527,-6.07914,0.067,,13,Month,January,2,624.0,4.05276,-9.11871,9.11871,169.20273,169.20273,27.35613,January,,,28.36932,,,-41.54079,11,0.846
4,38.50122,30.3957,-30.3957,154,February,24.31656,-24.31656,16.21104,0.109,-17.22423,39.51441,0.047,16.21104,22.29018,0.038,,12,Month,February,1,576.0,-16.21104,-34.44846,34.44846,117.53004,117.53004,8.10552,February,,,-3.03957,,,-25.32975,11,0.917
5,51.67269,39.51441,-39.51441,154,March,28.36932,-8.10552,-13.17147,-0.033,21.27699,60.7914,0.038,3.03957,27.35613,0.08,,16,Month,March,3,768.0,4.05276,-8.10552,8.10552,135.76746,135.76746,32.42208,March,,,18.23742,,,-45.59355,13,0.813
6,10.1319,6.07914,-6.07914,154,April,-18.23742,-52.68588,-22.29018,-0.04,7.09233,-9.11871,-0.022,52.68588,37.48803,-0.038,,7,Month,April,3,341.0,7.09233,-36.47484,36.47484,-3.03957,-3.03957,-11.14509,April,,,15.19785,,,-18.23742,4,0.571
0,236.07327,110.43771,-110.43771,156,Pre All-Star,231.00732,-26.34294,67.88373,0.076,77.00244,297.87786,0.059,1.01319,48.63312,0.044,,53,Pre/Post All-Star,Pre All-Star,8,2544.0,20.2638,-112.46409,112.46409,712.27257,712.27257,251.27112,,Pre All-Star,,46.60674,,,-72.94968,45,0.849
1,70.9233,59.77821,-59.77821,156,Post All-Star,27.35613,-91.1871,-38.50122,-0.012,12.15828,67.88373,0.026,60.7914,73.96287,0.044,,29,Pre/Post All-Star,Post All-Star,7,1397.0,3.03957,-53.69907,53.69907,171.22911,171.22911,30.3957,,Post All-Star,,39.51441,,,-71.93649,22,0.759
0,46.60674,59.77821,-59.77821,152,0 Days Rest,65.85735,-54.71226,16.21104,0.106,-26.34294,61.80459,0.052,23.30337,30.3957,0.034,,17,Days Rest,0 Days Rest,2,816.0,-9.11871,-32.42208,32.42208,170.21592,170.21592,56.73864,,,,12.15828,0 Days Rest,,0.0,15,0.882
1,185.41377,87.13434,-87.13434,152,1 Days Rest,171.22911,-27.35613,23.30337,0.035,41.54079,229.99413,0.053,46.60674,71.93649,0.037,,48,Days Rest,1 Days Rest,9,2309.0,16.21104,-110.43771,110.43771,555.22812,555.22812,187.44015,,,,32.42208,1 Days Rest,,-79.02882,39,0.813
2,65.85735,16.21104,-16.21104,152,2 Days Rest,35.46165,-14.18466,0.0,0.021,50.6595,52.68588,0.027,15.19785,33.43527,0.079,,13,Days Rest,2 Days Rest,2,624.0,24.31656,-20.2638,20.2638,138.80703,138.80703,59.77821,,,,24.31656,2 Days Rest,,-40.5276,11,0.846
3,12.15828,7.09233,-7.09233,152,3 Days Rest,0.0,-9.11871,0.0,0.104,11.14509,22.29018,0.104,-9.11871,0.0,0.169,,2,Days Rest,3 Days Rest,0,96.0,-1.01319,2.02638,-2.02638,44.58036,44.58036,-1.01319,,,,10.1319,3 Days Rest,,-15.19785,2,1.0
4,1.01319,5.06595,-5.06595,152,4 Days Rest,-5.06595,-4.05276,-2.02638,-0.035,7.09233,3.03957,-0.005,-9.11871,-10.1319,-0.108,,1,Days Rest,4 Days Rest,1,48.0,-4.05276,-1.01319,1.01319,-6.07914,-6.07914,-9.11871,,,,4.05276,4 Days Rest,,-6.07914,0,0.0
