,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,4,11,3,0.273,,0,0,0.0,2.11,3,0.375,0,0021500532,28:45,2,29,202330,Gordon Hayward,5,1,4.41,F,50,UTA,Utah,1610612762,5,3,0.6
1,2,5,2,0.4,,6,5,0.833,2.15,6,0.5,0,0021500532,29:52,1,48,1626168,Trey Lyles,7,1,4.32,F,54,UTA,Utah,1610612762,1,1,1.0
2,2,5,4,0.8,,9,6,0.667,1.76,6,0.667,0,0021500532,23:44,7,48,203481,Jeff Withey,13,0,4.45,C,58,UTA,Utah,1610612762,1,0,0.0
3,1,2,0,0.0,,1,1,1.0,1.49,2,0.4,1,0021500532,20:40,0,29,203918,Rodney Hood,2,1,4.33,G,42,UTA,Utah,1610612762,3,2,0.667
4,2,5,2,0.4,,1,1,1.0,1.92,1,0.25,0,0021500532,23:42,1,45,203526,Raul Neto,2,1,4.86,G,58,UTA,Utah,1610612762,3,0,0.0
5,1,6,2,0.333,,8,6,0.75,1.71,3,0.429,0,0021500532,24:05,5,24,202353,Tibor Pleiss,8,0,4.26,,33,UTA,Utah,1610612762,1,1,1.0
6,4,13,9,0.692,,1,0,0.0,1.81,2,0.588,0,0021500532,24:18,0,40,203504,Trey Burke,2,1,4.47,,58,UTA,Utah,1610612762,4,1,0.25
7,2,2,2,1.0,,2,2,1.0,1.38,7,0.667,0,0021500532,18:19,4,27,202344,Trevor Booker,11,0,4.52,,37,UTA,Utah,1610612762,1,0,0.0
8,1,3,2,0.667,,3,2,0.667,1.92,4,0.4,0,0021500532,24:46,0,21,203187,Chris Johnson,4,1,4.65,,30,UTA,Utah,1610612762,2,0,0.0
9,2,3,3,1.0,,2,2,1.0,1.62,5,0.5,0,0021500532,21:49,0,24,204060,Joe Ingles,5,1,4.45,,36,UTA,Utah,1610612762,3,0,0.0
10,0,0,0,0.0,NWT - back spasms                       ,0,0,0.0,0.0,0,0.0,0,0021500532,0:00,0,0,202324,Derrick Favors,0,0,0.0,,0,UTA,Utah,1610612762,0,0,0.0
11,3,4,2,0.5,,2,2,1.0,1.76,5,0.545,0,0021500532,23:12,0,23,202695,Kawhi Leonard,5,2,4.56,F,38,SAS,San Antonio,1610612759,7,4,0.571
12,6,10,7,0.7,,8,2,0.25,1.64,12,0.615,0,0021500532,25:53,4,37,1495,Tim Duncan,16,1,3.8,F,54,SAS,San Antonio,1610612759,3,1,0.333
13,4,5,4,0.8,,6,3,0.5,1.61,14,0.875,0,0021500532,25:00,2,42,2561,David West,16,0,3.87,C,53,SAS,San Antonio,1610612759,3,3,1.0
14,2,0,0,0.0,,2,1,0.5,0.84,1,0.667,1,0021500532,11:01,0,17,201980,Danny Green,1,1,4.58,G,20,SAS,San Antonio,1610612759,3,2,0.667
15,2,3,0,0.0,,1,1,1.0,1.87,1,0.0,0,0021500532,23:05,1,35,201988,Patty Mills,2,1,4.87,G,41,SAS,San Antonio,1610612759,1,0,0.0
16,3,6,4,0.667,,1,0,0.0,2.04,1,0.571,0,0021500532,24:55,0,49,203492,Ray McCallum,1,1,4.9,,58,SAS,San Antonio,1610612759,1,0,0.0
17,5,5,4,0.8,,0,0,0.0,1.6,2,0.6,0,0021500532,22:48,1,27,1938,Manu Ginobili,3,3,4.21,,41,SAS,San Antonio,1610612759,5,2,0.4
18,6,1,1,1.0,,3,1,0.333,1.14,3,0.5,0,0021500532,16:25,0,32,2564,Boris Diaw,3,0,4.17,,37,SAS,San Antonio,1610612759,1,0,0.0
19,1,5,4,0.8,,0,0,0.0,1.28,2,0.714,0,0021500532,17:15,0,22,203613,Jonathon Simmons,2,1,4.45,,32,SAS,San Antonio,1610612759,2,1,0.5
20,0,7,5,0.714,,4,2,0.5,1.35,5,0.714,0,0021500532,19:03,5,15,1626246,Boban Marjanovic,10,0,4.25,,25,SAS,San Antonio,1610612759,0,0,0.0
21,2,8,6,0.75,,3,2,0.667,1.4,5,0.667,0,0021500532,19:07,1,18,203937,Kyle Anderson,6,0,4.39,,30,SAS,San Antonio,1610612759,1,0,0.0
22,0,1,0,0.0,,2,0,0.0,0.48,2,0.333,0,0021500532,6:35,0,16,2588,Matt Bonner,2,0,4.34,,19,SAS,San Antonio,1610612759,2,1,0.5
23,0,1,1,1.0,,2,0,0.0,0.41,1,0.5,0,0021500532,5:41,0,6,2446,Rasual Butler,1,0,4.3,,8,SAS,San Antonio,1610612759,1,0,0.0
