,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,2.0,1.0,,1.0,4.0,2.0,0.5,6.0,2.0,0.333,4.0,2.0,0.5,0021500689,27:00,0.0,3.0,2772,Trevor Ariza,-24.0,8.0,1.0,F,2.0,HOU,Houston,1610612745,1.0
1,0.0,0.0,,1.0,3.0,1.0,0.333,6.0,3.0,0.5,2.0,1.0,0.5,0021500689,13:55,0.0,4.0,201147,Corey Brewer,-5.0,8.0,1.0,F,0.0,HOU,Houston,1610612745,2.0
2,1.0,2.0,,6.0,0.0,0.0,0.0,5.0,3.0,0.6,8.0,7.0,0.875,0021500689,22:42,2.0,1.0,2730,Dwight Howard,-12.0,13.0,8.0,C,0.0,HOU,Houston,1610612745,2.0
3,2.0,1.0,,2.0,3.0,1.0,0.333,10.0,5.0,0.5,9.0,9.0,1.0,0021500689,27:36,1.0,1.0,201935,James Harden,-23.0,20.0,3.0,G,0.0,HOU,Houston,1610612745,5.0
4,1.0,1.0,,1.0,1.0,0.0,0.0,7.0,4.0,0.571,2.0,1.0,0.5,0021500689,26:10,1.0,2.0,201976,Patrick Beverley,-22.0,9.0,2.0,G,1.0,HOU,Houston,1610612745,0.0
5,2.0,1.0,,6.0,6.0,1.0,0.167,11.0,4.0,0.364,4.0,2.0,0.5,0021500689,24:41,1.0,4.0,2746,Josh Smith,-10.0,11.0,7.0,,1.0,HOU,Houston,1610612745,3.0
6,0.0,3.0,,2.0,0.0,0.0,0.0,4.0,1.0,0.25,10.0,3.0,0.3,0021500689,14:13,3.0,5.0,203991,Clint Capela,-18.0,5.0,5.0,,0.0,HOU,Houston,1610612745,2.0
7,2.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.5,0021500689,25:38,1.0,0.0,201951,Ty Lawson,-13.0,2.0,2.0,,2.0,HOU,Houston,1610612745,0.0
8,1.0,0.0,,3.0,7.0,3.0,0.429,7.0,3.0,0.429,1.0,1.0,1.0,0021500689,20:24,0.0,1.0,1891,Jason Terry,-7.0,10.0,3.0,,0.0,HOU,Houston,1610612745,0.0
9,0.0,0.0,,2.0,4.0,0.0,0.0,10.0,3.0,0.3,6.0,5.0,0.833,0021500689,16:47,1.0,0.0,203093,Terrence Jones,-11.0,11.0,3.0,,1.0,HOU,Houston,1610612745,0.0
10,3.0,1.0,,3.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,0021500689,20:54,2.0,1.0,201977,Marcus Thornton,-10.0,2.0,5.0,,0.0,HOU,Houston,1610612745,0.0
11,,,NWT - Low back pain                     ,,,,,,,,,,,0021500689,,,,1626155,Sam Dekker,,,,,,HOU,Houston,1610612745,
12,,,DND - Back soreness                     ,,,,,,,,,,,0021500689,,,,202700,Donatas Motiejunas,,,,,,HOU,Houston,1610612745,
13,1.0,1.0,,1.0,4.0,3.0,0.75,12.0,7.0,0.583,2.0,1.0,0.5,0021500689,28:03,0.0,1.0,202695,Kawhi Leonard,24.0,18.0,1.0,F,1.0,SAS,San Antonio,1610612759,1.0
14,5.0,0.0,,4.0,0.0,0.0,0.0,13.0,9.0,0.692,7.0,7.0,1.0,0021500689,29:40,6.0,4.0,200746,LaMarcus Aldridge,23.0,25.0,10.0,F,0.0,SAS,San Antonio,1610612759,2.0
15,1.0,0.0,,3.0,0.0,0.0,0.0,5.0,3.0,0.6,2.0,1.0,0.5,0021500689,15:48,0.0,2.0,203937,Kyle Anderson,10.0,7.0,3.0,C,0.0,SAS,San Antonio,1610612759,1.0
16,3.0,1.0,,5.0,8.0,6.0,0.75,9.0,6.0,0.667,0.0,0.0,0.0,0021500689,28:05,1.0,2.0,201980,Danny Green,12.0,18.0,6.0,G,3.0,SAS,San Antonio,1610612759,0.0
17,7.0,0.0,,3.0,0.0,0.0,0.0,13.0,7.0,0.538,1.0,1.0,1.0,0021500689,23:10,0.0,2.0,2225,Tony Parker,18.0,15.0,3.0,G,1.0,SAS,San Antonio,1610612759,0.0
18,3.0,0.0,,4.0,1.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,1.0,0021500689,19:06,0.0,4.0,1938,Manu Ginobili,19.0,6.0,4.0,,1.0,SAS,San Antonio,1610612759,4.0
19,3.0,0.0,,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0021500689,18:33,0.0,5.0,2564,Boris Diaw,10.0,0.0,2.0,,1.0,SAS,San Antonio,1610612759,0.0
20,4.0,0.0,,3.0,3.0,1.0,0.333,9.0,4.0,0.444,0.0,0.0,0.0,0021500689,15:20,0.0,1.0,201988,Patty Mills,6.0,9.0,3.0,,0.0,SAS,San Antonio,1610612759,2.0
21,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0021500689,14:36,0.0,1.0,2561,David West,14.0,4.0,2.0,,0.0,SAS,San Antonio,1610612759,2.0
22,0.0,0.0,,7.0,0.0,0.0,0.0,9.0,5.0,0.556,4.0,3.0,0.75,0021500689,16:39,3.0,4.0,1626246,Boban Marjanovic,3.0,13.0,10.0,,0.0,SAS,San Antonio,1610612759,0.0
23,0.0,0.0,,0.0,1.0,0.0,0.0,4.0,1.0,0.25,3.0,3.0,1.0,0021500689,12:00,1.0,2.0,203613,Jonathon Simmons,2.0,5.0,1.0,,0.0,SAS,San Antonio,1610612759,1.0
24,3.0,0.0,,2.0,3.0,2.0,0.667,5.0,3.0,0.6,0.0,0.0,0.0,0021500689,9:31,1.0,0.0,203492,Ray McCallum,7.0,8.0,3.0,,0.0,SAS,San Antonio,1610612759,0.0
25,2.0,1.0,,1.0,1.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0021500689,9:31,0.0,0.0,2446,Rasual Butler,7.0,2.0,1.0,,0.0,SAS,San Antonio,1610612759,0.0
