,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,4.0,0.0,,3.0,4.0,2.0,0.5,16.0,6.0,0.375,4.0,4.0,1.0,0021500532,28:45,1.0,2.0,202330,Gordon Hayward,-27.0,18.0,4.0,F,1.0,UTA,Utah,1610612762,3.0
1,2.0,0.0,,4.0,0.0,0.0,0.0,6.0,3.0,0.5,0.0,0.0,0.0,0021500532,29:52,0.0,1.0,1626168,Trey Lyles,-18.0,6.0,4.0,F,0.0,UTA,Utah,1610612762,0.0
2,2.0,1.0,,3.0,0.0,0.0,0.0,6.0,4.0,0.667,3.0,2.0,0.667,0021500532,23:44,4.0,0.0,203481,Jeff Withey,-21.0,10.0,7.0,C,1.0,UTA,Utah,1610612762,0.0
3,1.0,0.0,,1.0,2.0,1.0,0.5,5.0,2.0,0.4,4.0,4.0,1.0,0021500532,20:40,0.0,1.0,203918,Rodney Hood,-21.0,9.0,1.0,G,0.0,UTA,Utah,1610612762,4.0
4,2.0,0.0,,1.0,2.0,1.0,0.5,8.0,2.0,0.25,2.0,2.0,1.0,0021500532,23:42,1.0,2.0,203526,Raul Neto,-22.0,7.0,2.0,G,0.0,UTA,Utah,1610612762,2.0
5,1.0,0.0,,0.0,0.0,0.0,0.0,7.0,3.0,0.429,2.0,2.0,1.0,0021500532,24:05,2.0,4.0,202353,Tibor Pleiss,-6.0,8.0,2.0,,1.0,UTA,Utah,1610612762,0.0
6,4.0,0.0,,1.0,3.0,1.0,0.333,17.0,10.0,0.588,0.0,0.0,0.0,0021500532,24:18,0.0,1.0,203504,Trey Burke,-3.0,21.0,1.0,,0.0,UTA,Utah,1610612762,0.0
7,2.0,0.0,,5.0,0.0,0.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,0021500532,18:19,2.0,1.0,202344,Trevor Booker,-5.0,4.0,7.0,,1.0,UTA,Utah,1610612762,3.0
8,1.0,2.0,,2.0,4.0,1.0,0.25,5.0,2.0,0.4,2.0,2.0,1.0,0021500532,24:46,0.0,2.0,203187,Chris Johnson,-3.0,7.0,2.0,,3.0,UTA,Utah,1610612762,3.0
9,2.0,0.0,,4.0,3.0,1.0,0.333,6.0,3.0,0.5,1.0,1.0,1.0,0021500532,21:49,0.0,3.0,204060,Joe Ingles,1.0,8.0,4.0,,1.0,UTA,Utah,1610612762,3.0
10,,,NWT - back spasms                       ,,,,,,,,,,,0021500532,,,,202324,Derrick Favors,,,,,,UTA,Utah,1610612762,
11,3.0,0.0,,4.0,4.0,2.0,0.5,11.0,6.0,0.545,1.0,1.0,1.0,0021500532,23:12,0.0,0.0,202695,Kawhi Leonard,14.0,15.0,4.0,F,2.0,SAS,San Antonio,1610612759,2.0
