,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.13,16.7,1.5,,119.6,0.032,0.5,0021501214,36:49,-10.5,109.1,0.033,97.83,0.048,203917,Nik Stauskas,0.033,F,PHI,Philadelphia,1610612755,11.1,0.5,0.194
1,0.286,23.7,2.0,,100.8,0.143,0.5,0021501214,14:46,-5.2,95.6,0.0,94.2,0.041,203924,Jerami Grant,0.077,F,PHI,Philadelphia,1610612755,11.8,0.551,0.237
2,0.136,18.2,3.0,,124.8,0.286,0.556,0021501214,34:13,-18.1,106.7,0.065,99.04,0.11,203457,Nerlens Noel,0.169,C,PHI,Philadelphia,1610612755,6.1,0.559,0.184
3,0.136,14.5,1.0,,104.0,0.094,0.833,0021501214,34:25,16.6,120.6,0.0,95.9,0.139,203496,Robert Covington,0.051,G,PHI,Philadelphia,1610612755,14.5,0.82,0.244
4,0.211,22.2,1.33,,114.1,0.033,0.818,0021501214,33:36,-0.9,113.2,0.038,97.37,0.128,202397,Ish Smith,0.036,G,PHI,Philadelphia,1610612755,16.7,0.818,0.201
5,0.105,13.4,2.0,,125.5,0.038,0.409,0021501214,30:43,-23.7,101.8,0.0,96.79,0.008,203138,Hollis Thompson,0.019,,PHI,Philadelphia,1610612755,6.7,0.379,0.198
6,0.0,0.0,0.0,,122.0,0.118,0.4,0021501214,19:27,-47.7,74.3,0.15,102.47,0.07,1626174,Christian Wood,0.135,,PHI,Philadelphia,1610612755,0.0,0.469,0.196
7,0.308,36.4,4.0,,144.7,0.188,0.25,0021501214,21:37,-49.4,95.3,0.0,101.88,0.038,204456,TJ McConnell,0.075,,PHI,Philadelphia,1610612755,9.1,0.25,0.142
8,0.429,33.3,3.0,,135.5,0.364,0.3,0021501214,14:24,-53.6,81.9,0.0,100.07,0.084,203088,Kendall Marshall,0.143,,PHI,Philadelphia,1610612755,11.1,0.3,0.185
9,,0.0,,DNP - Coach's Decision                  ,,,,0021501214,,,,,,,1882,Elton Brand,,,PHI,Philadelphia,1610612755,,,0.0
10,,0.0,,DND - Left Shoulder Injury              ,,,,0021501214,,,,,,,203477,Isaiah Canaan,,,PHI,Philadelphia,1610612755,,,0.0
11,,0.0,,DND - Right Achilles Strain             ,,,,0021501214,,,,,,,1626158,Richaun Holmes,,,PHI,Philadelphia,1610612755,,,0.0
12,,0.0,,DND - Lower Back Soreness               ,,,,0021501214,,,,,,,201171,Carl Landry,,,PHI,Philadelphia,1610612755,,,0.0
13,0.03,6.8,0.5,,108.8,0.125,0.7,0021501214,38:22,9.9,118.7,0.0,98.26,0.113,1626181,Norman Powell,0.063,F,TOR,Toronto,1610612761,13.6,0.765,0.145
14,0.077,7.8,1.0,,127.2,0.25,0.6,0021501214,21:04,-32.9,94.3,0.0,98.79,0.093,2449,Luis Scola,0.121,F,TOR,Toronto,1610612761,7.8,0.551,0.23
15,0.0,0.0,0.0,,82.2,0.357,0.5,0021501214,17:10,25.1,107.3,0.375,99.32,0.307,202685,Jonas Valanciunas,0.367,C,TOR,Toronto,1610612761,5.7,0.517,0.369
16,0.3,30.2,2.0,,81.9,0.25,0.4,0021501214,22:20,38.3,120.2,0.095,98.65,0.196,201942,DeMar DeRozan,0.171,G,TOR,Toronto,1610612761,15.1,0.46,0.231
17,0.182,21.1,2.0,,100.8,0.13,0.423,0021501214,26:16,9.6,110.4,0.038,98.39,0.096,200768,Kyle Lowry,0.082,G,TOR,Toronto,1610612761,10.5,0.423,0.217
18,0.091,33.3,0.0,,92.8,0.125,1.0,0021501214,9:10,68.2,161.0,0.0,111.33,0.064,203512,Lucas Nogueira,0.083,,TOR,Toronto,1610612761,0.0,1.0,0.101
19,0.263,33.6,2.5,,105.9,0.1,0.429,0021501214,21:44,27.4,133.2,0.0,97.93,0.098,1626153,Delon Wright,0.057,,TOR,Toronto,1610612761,13.4,0.508,0.205
20,0.095,20.0,2.0,,73.1,0.13,0.571,0021501214,20:42,73.0,146.1,0.167,95.21,0.106,201960,DeMarre Carroll,0.146,,TOR,Toronto,1610612761,10.0,0.571,0.157
21,0.071,17.4,1.0,,104.7,0.231,0.0,0021501214,14:27,20.3,125.0,0.083,102.84,0.008,201574,Jason Thompson,0.16,,TOR,Toronto,1610612761,17.4,0.399,0.147
22,0.222,26.9,0.0,,116.1,0.08,0.75,0021501214,27:05,7.2,123.3,0.0,96.98,0.16,203082,Terrence Ross,0.042,,TOR,Toronto,1610612761,0.0,0.781,0.175
23,0.0,0.0,0.0,,126.5,0.19,0.75,0021501214,21:40,-13.3,113.2,0.143,91.72,0.165,202687,Bismack Biyombo,0.167,,TOR,Toronto,1610612761,0.0,0.788,0.177
24,,0.0,,DNP - Coach's Decision                  ,,,,0021501214,,,,,,,202709,Cory Joseph,,,TOR,Toronto,1610612761,,,0.0
25,,0.0,,DNP - Coach's Decision                  ,,,,0021501214,,,,,,,202335,Patrick Patterson,,,TOR,Toronto,1610612761,,,0.0
