,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.525,0.15,0021500633,31:56,0.672,0.155,0.2,0.108,0.241,203109,Jae Crowder,F,BOS,Boston,1610612738,0.136
1,,0.576,0.087,0021500633,24:12,0.707,0.195,0.133,0.105,0.286,101161,Amir Johnson,F,BOS,Boston,1610612738,0.126
2,,0.429,0.286,0021500633,12:51,0.886,0.136,0.25,0.118,0.25,203096,Jared Sullinger,C,BOS,Boston,1610612738,0.195
3,,0.611,0.206,0021500633,35:45,0.68,0.197,0.19,0.126,0.231,202340,Avery Bradley,G,BOS,Boston,1610612738,0.149
4,,0.522,0.06,0021500633,35:17,0.644,0.254,0.269,0.133,0.233,202738,Isaiah Thomas,G,BOS,Boston,1610612738,0.151
5,,0.613,0.275,0021500633,24:11,0.5,0.256,0.333,0.146,0.133,203935,Marcus Smart,,BOS,Boston,1610612738,0.157
6,,0.608,0.297,0021500633,22:38,0.549,0.171,0.389,0.177,0.143,202323,Evan Turner,,BOS,Boston,1610612738,0.112
7,,0.625,0.333,0021500633,7:23,0.6,0.067,0.167,0.122,0.167,203092,Tyler Zeller,,BOS,Boston,1610612738,0.073
8,,0.63,0.204,0021500633,31:03,0.528,0.245,0.269,0.148,0.25,203482,Kelly Olynyk,,BOS,Boston,1610612738,0.157
9,,0.64,0.08,0021500633,14:45,0.432,0.273,0.385,0.234,0.143,201973,Jonas Jerebko,,BOS,Boston,1610612738,0.139
10,DNP - Coach's Decision                  ,,,0021500633,,,,,,,101135,David Lee,,BOS,Boston,1610612738,
11,DNP - Coach's Decision                  ,,,0021500633,,,,,,,203923,James Young,,BOS,Boston,1610612738,
12,,0.7,0.2,0021500633,19:37,0.539,0.105,0.316,0.129,0.25,201949,James Johnson,F,TOR,Toronto,1610612761,0.102
13,,0.739,0.205,0021500633,24:46,0.622,0.133,0.3,0.126,0.308,2449,Luis Scola,F,TOR,Toronto,1610612761,0.102
14,,0.722,0.204,0021500633,28:47,0.567,0.173,0.24,0.123,0.235,202685,Jonas Valanciunas,C,TOR,Toronto,1610612761,0.084
15,,0.669,0.191,0021500633,37:58,0.574,0.191,0.233,0.142,0.217,201942,DeMar DeRozan,G,TOR,Toronto,1610612761,0.104
16,,0.692,0.217,0021500633,36:36,0.538,0.091,0.207,0.149,0.25,200768,Kyle Lowry,G,TOR,Toronto,1610612761,0.167
17,,0.511,0.182,0021500633,26:07,0.57,0.256,0.125,0.164,0.273,202335,Patrick Patterson,,TOR,Toronto,1610612761,0.178
18,,0.563,0.208,0021500633,28:23,0.606,0.234,0.118,0.153,0.273,203082,Terrence Ross,,TOR,Toronto,1610612761,0.162
19,,0.421,0.211,0021500633,21:26,0.653,0.306,0.231,0.137,0.333,202709,Cory Joseph,,TOR,Toronto,1610612761,0.148
20,,0.375,0.25,0021500633,16:21,0.533,0.133,0.182,0.168,0.25,202687,Bismack Biyombo,,TOR,Toronto,1610612761,0.236
21,DNP - Coach's Decision                  ,,,0021500633,,,,,,,203461,Anthony Bennett,,TOR,Toronto,1610612761,
22,DNP - Coach's Decision                  ,,,0021500633,,,,,,,203512,Lucas Nogueira,,TOR,Toronto,1610612761,
23,DNP - Coach's Decision                  ,,,0021500633,,,,,,,1626181,Norman Powell,,TOR,Toronto,1610612761,
24,DNP - Coach's Decision                  ,,,0021500633,,,,,,,1626153,Delon Wright,,TOR,Toronto,1610612761,
