,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0.0,0.0,,0021501214,36:49,15.0,15.0,16.0,48.0,3.0,1.0,203917,Nik Stauskas,2.0,0.0,5.0,10.0,F,PHI,Philadelphia,1610612755
1,2.0,1.0,,0021501214,14:46,12.0,0.0,4.0,18.0,5.0,1.0,203924,Jerami Grant,0.0,0.0,0.0,2.0,F,PHI,Philadelphia,1610612755
2,1.0,0.0,,0021501214,34:13,16.0,11.0,16.0,38.0,4.0,5.0,203457,Nerlens Noel,2.0,0.0,5.0,10.0,C,PHI,Philadelphia,1610612755
3,1.0,1.0,,0021501214,34:25,13.0,4.0,11.0,32.0,2.0,6.0,203496,Robert Covington,0.0,0.0,3.0,0.0,G,PHI,Philadelphia,1610612755
4,0.0,0.0,,0021501214,33:36,18.0,11.0,17.0,40.0,2.0,0.0,202397,Ish Smith,0.0,2.0,0.0,10.0,G,PHI,Philadelphia,1610612755
5,0.0,1.0,,0021501214,30:43,16.0,11.0,12.0,32.0,1.0,2.0,203138,Hollis Thompson,0.0,0.0,0.0,0.0,,PHI,Philadelphia,1610612755
6,2.0,1.0,,0021501214,19:27,13.0,8.0,11.0,20.0,1.0,5.0,1626174,Christian Wood,2.0,0.0,2.0,4.0,,PHI,Philadelphia,1610612755
7,0.0,0.0,,0021501214,21:37,11.0,11.0,10.0,20.0,0.0,0.0,204456,TJ McConnell,0.0,0.0,3.0,0.0,,PHI,Philadelphia,1610612755
8,0.0,1.0,,0021501214,14:24,6.0,4.0,3.0,12.0,0.0,0.0,203088,Kendall Marshall,0.0,0.0,0.0,0.0,,PHI,Philadelphia,1610612755
9,,,DNP - Coach's Decision                  ,0021501214,,,,,,,,1882,Elton Brand,,,,,,PHI,Philadelphia,1610612755
10,,,DND - Left Shoulder Injury              ,0021501214,,,,,,,,203477,Isaiah Canaan,,,,,,PHI,Philadelphia,1610612755
11,,,DND - Right Achilles Strain             ,0021501214,,,,,,,,1626158,Richaun Holmes,,,,,,PHI,Philadelphia,1610612755
12,,,DND - Lower Back Soreness               ,0021501214,,,,,,,,201171,Carl Landry,,,,,,PHI,Philadelphia,1610612755
13,0.0,0.0,,0021501214,38:22,6.0,2.0,15.0,32.0,2.0,2.0,1626181,Norman Powell,3.0,6.0,4.0,2.0,F,TOR,Toronto,1610612761
14,1.0,1.0,,0021501214,21:04,6.0,2.0,15.0,22.0,2.0,2.0,2449,Luis Scola,0.0,0.0,0.0,6.0,F,TOR,Toronto,1610612761
15,1.0,1.0,,0021501214,17:10,2.0,0.0,7.0,12.0,3.0,2.0,202685,Jonas Valanciunas,8.0,0.0,2.0,16.0,C,TOR,Toronto,1610612761
16,0.0,1.0,,0021501214,22:20,2.0,0.0,7.0,16.0,0.0,2.0,201942,DeMar DeRozan,0.0,2.0,4.0,6.0,G,TOR,Toronto,1610612761
17,0.0,1.0,,0021501214,26:16,6.0,2.0,11.0,24.0,1.0,3.0,200768,Kyle Lowry,9.0,0.0,3.0,0.0,G,TOR,Toronto,1610612761
18,1.0,0.0,,0021501214,9:10,0.0,0.0,1.0,6.0,4.0,0.0,203512,Lucas Nogueira,0.0,4.0,4.0,4.0,,TOR,Toronto,1610612761
19,1.0,0.0,,0021501214,21:44,0.0,0.0,7.0,12.0,0.0,1.0,1626153,Delon Wright,0.0,0.0,0.0,2.0,,TOR,Toronto,1610612761
20,0.0,1.0,,0021501214,20:42,0.0,0.0,4.0,10.0,2.0,0.0,201960,DeMarre Carroll,2.0,0.0,0.0,2.0,,TOR,Toronto,1610612761
21,0.0,0.0,,0021501214,14:27,0.0,0.0,3.0,8.0,3.0,2.0,201574,Jason Thompson,2.0,0.0,1.0,0.0,,TOR,Toronto,1610612761
22,0.0,1.0,,0021501214,27:05,4.0,2.0,10.0,20.0,1.0,1.0,203082,Terrence Ross,0.0,3.0,2.0,8.0,,TOR,Toronto,1610612761
23,1.0,0.0,,0021501214,21:40,4.0,2.0,10.0,18.0,2.0,3.0,202687,Bismack Biyombo,0.0,0.0,0.0,6.0,,TOR,Toronto,1610612761
24,,,DNP - Coach's Decision                  ,0021501214,,,,,,,,202709,Cory Joseph,,,,,,TOR,Toronto,1610612761
25,,,DNP - Coach's Decision                  ,0021501214,,,,,,,,202335,Patrick Patterson,,,,,,TOR,Toronto,1610612761
