,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,1,2,2,1.0,,1,1,1.0,1.77,6,0.571,1,0021500835,26:32,0,18,201949,James Johnson,6,0,3.99,F,25,TOR,Toronto,1610612761,5,2,0.4
1,3,3,2,0.667,,2,2,1.0,1.37,10,0.333,0,0021500835,20:06,0,31,2449,Luis Scola,10,1,4.07,F,39,TOR,Toronto,1610612761,3,0,0.0
2,0,10,6,0.6,,10,5,0.5,1.63,12,0.643,0,0021500835,25:18,3,29,202685,Jonas Valanciunas,15,1,3.85,C,45,TOR,Toronto,1610612761,4,3,0.75
3,2,8,4,0.5,,3,2,0.667,2.25,5,0.471,0,0021500835,31:54,3,39,201942,DeMar DeRozan,8,2,4.22,G,59,TOR,Toronto,1610612761,9,4,0.444
4,11,6,2,0.333,,1,1,1.0,2.27,9,0.538,1,0021500835,35:16,5,64,200768,Kyle Lowry,14,0,3.85,G,87,TOR,Toronto,1610612761,7,5,0.714
5,1,4,4,1.0,,2,2,1.0,1.32,8,1.0,0,0021500835,19:21,7,27,202687,Bismack Biyombo,15,0,4.08,,32,TOR,Toronto,1610612761,0,0,0.0
6,6,6,3,0.5,,1,1,1.0,1.86,3,0.556,0,0021500835,24:33,0,50,202709,Cory Joseph,3,0,4.53,,61,TOR,Toronto,1610612761,3,2,0.667
7,1,3,2,0.667,,0,0,0.0,1.43,6,0.4,0,0021500835,20:35,0,12,203082,Terrence Ross,6,1,4.16,,22,TOR,Toronto,1610612761,7,2,0.286
8,0,1,1,1.0,,2,1,0.5,1.69,8,1.0,0,0021500835,26:05,0,24,202335,Patrick Patterson,8,1,3.88,,28,TOR,Toronto,1610612761,1,1,1.0
9,1,0,0,0.0,,1,1,1.0,0.27,2,0.5,0,0021500835,3:21,1,6,1626153,Delon Wright,3,0,4.82,,8,TOR,Toronto,1610612761,2,1,0.5
10,0,1,0,0.0,,0,0,0.0,0.23,0,0.0,0,0021500835,3:21,2,3,203512,Lucas Nogueira,2,0,4.11,,4,TOR,Toronto,1610612761,0,0,0.0
11,0,0,0,0.0,,0,0,0.0,0.11,1,0.0,0,0021500835,1:49,0,4,203461,Anthony Bennett,1,0,3.64,,4,TOR,Toronto,1610612761,0,0,0.0
12,0,1,0,0.0,,0,0,0.0,0.13,0,0.0,0,0021500835,1:49,1,2,1626181,Norman Powell,1,0,4.3,,5,TOR,Toronto,1610612761,1,0,0.0
13,5,11,4,0.364,,1,1,1.0,2.31,13,0.471,1,0021500835,37:16,3,51,2546,Carmelo Anthony,16,2,3.71,F,78,NYK,New York,1610612752,6,4,0.667
14,1,8,4,0.5,,12,8,0.667,2.11,6,0.5,0,0021500835,32:31,1,50,204001,Kristaps Porzingis,7,3,3.88,F,67,NYK,New York,1610612752,6,3,0.5
15,0,13,9,0.692,,8,3,0.375,1.99,11,0.714,0,0021500835,27:50,13,38,201577,Robin Lopez,24,0,4.28,C,53,NYK,New York,1610612752,1,1,1.0
16,2,5,1,0.2,,0,0,0.0,2.37,6,0.273,0,0021500835,33:29,1,38,201167,Arron Afflalo,7,0,4.23,G,50,NYK,New York,1610612752,6,2,0.333
17,2,0,0,0.0,,2,2,1.0,1.28,2,0.0,0,0021500835,19:21,0,33,101181,Jose Calderon,2,1,3.95,G,39,NYK,New York,1610612752,2,0,0.0
18,1,4,1,0.25,,0,0,0.0,1.52,1,0.333,0,0021500835,21:18,1,17,202498,Lance Thomas,2,0,4.28,,27,NYK,New York,1610612752,5,2,0.4
19,1,2,0,0.0,,3,3,1.0,1.8,3,0.0,0,0021500835,24:43,1,32,204038,Langston Galloway,4,1,4.36,,36,NYK,New York,1610612752,1,0,0.0
20,1,1,0,0.0,,5,3,0.6,0.6,4,0.0,0,0021500835,9:03,3,16,203124,Kyle O'Quinn,7,1,3.95,,20,NYK,New York,1610612752,2,0,0.0
21,1,1,0,0.0,,1,1,1.0,0.46,1,0.0,1,0021500835,6:27,1,9,2756,Sasha Vujacic,2,0,4.26,,11,NYK,New York,1610612752,1,0,0.0
22,0,2,1,0.5,,0,0,0.0,0.93,0,0.667,0,0021500835,14:13,1,11,202682,Derrick Williams,1,0,3.91,,19,NYK,New York,1610612752,1,1,1.0
23,4,1,0,0.0,,2,1,0.5,0.86,3,0.6,0,0021500835,12:00,1,20,1626170,Jerian Grant,4,0,4.3,,28,NYK,New York,1610612752,4,3,0.75
24,0,0,0,0.0,,1,1,1.0,0.14,1,1.0,0,0021500835,1:49,0,1,202690,Jimmer Fredette,1,0,4.63,,3,NYK,New York,1610612752,1,1,1.0
25,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500835,0:00,0,0,202338,Kevin Seraphin,0,0,0.0,,0,NYK,New York,1610612752,0,0,0.0
