,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,4.0,0.0,,4.0,5.0,3.0,0.6,11.0,7.0,0.636,0.0,0.0,0.0,0021500633,31:56,1.0,2.0,203109,Jae Crowder,-14.0,17.0,5.0,F,2.0,BOS,Boston,1610612738,1.0
1,1.0,1.0,,2.0,1.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,0021500633,24:12,2.0,2.0,101161,Amir Johnson,-7.0,2.0,4.0,F,0.0,BOS,Boston,1610612738,2.0
2,1.0,0.0,,0.0,0.0,0.0,0.0,7.0,1.0,0.143,2.0,1.0,0.5,0021500633,12:51,2.0,1.0,203096,Jared Sullinger,-19.0,3.0,2.0,C,2.0,BOS,Boston,1610612738,2.0
3,1.0,0.0,,2.0,4.0,1.0,0.25,14.0,9.0,0.643,0.0,0.0,0.0,0021500633,35:45,0.0,1.0,202340,Avery Bradley,-6.0,19.0,2.0,G,1.0,BOS,Boston,1610612738,3.0
4,10.0,0.0,,3.0,7.0,3.0,0.429,19.0,7.0,0.368,4.0,4.0,1.0,0021500633,35:17,1.0,1.0,202738,Isaiah Thomas,-12.0,21.0,4.0,G,0.0,BOS,Boston,1610612738,2.0
5,4.0,0.0,,4.0,2.0,0.0,0.0,5.0,2.0,0.4,2.0,2.0,1.0,0021500633,24:11,0.0,4.0,203935,Marcus Smart,5.0,6.0,4.0,,1.0,BOS,Boston,1610612738,1.0
6,5.0,0.0,,5.0,0.0,0.0,0.0,6.0,4.0,0.667,4.0,3.0,0.75,0021500633,22:38,0.0,2.0,202323,Evan Turner,3.0,11.0,5.0,,0.0,BOS,Boston,1610612738,2.0
7,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,2.0,0.333,2.0,0.0,0.0,0021500633,7:23,1.0,0.0,203092,Tyler Zeller,-3.0,4.0,1.0,,0.0,BOS,Boston,1610612738,0.0
8,4.0,0.0,,3.0,5.0,3.0,0.6,10.0,7.0,0.7,1.0,1.0,1.0,0021500633,31:03,1.0,2.0,203482,Kelly Olynyk,11.0,18.0,4.0,,1.0,BOS,Boston,1610612738,0.0
9,0.0,0.0,,2.0,2.0,2.0,1.0,4.0,3.0,0.75,0.0,0.0,0.0,0021500633,14:45,0.0,4.0,201973,Jonas Jerebko,12.0,8.0,2.0,,1.0,BOS,Boston,1610612738,1.0
10,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500633,,,,101135,David Lee,,,,,,BOS,Boston,1610612738,
11,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500633,,,,203923,James Young,,,,,,BOS,Boston,1610612738,
12,3.0,1.0,,3.0,2.0,1.0,0.5,3.0,2.0,0.667,0.0,0.0,0.0,0021500633,19:37,0.0,0.0,201949,James Johnson,9.0,5.0,3.0,F,0.0,TOR,Toronto,1610612761,1.0
13,0.0,0.0,,2.0,4.0,2.0,0.5,12.0,8.0,0.667,0.0,0.0,0.0,0021500633,24:46,3.0,3.0,2449,Luis Scola,10.0,18.0,5.0,F,0.0,TOR,Toronto,1610612761,0.0
14,1.0,0.0,,10.0,0.0,0.0,0.0,9.0,9.0,1.0,2.0,1.0,0.5,0021500633,28:47,2.0,1.0,202685,Jonas Valanciunas,20.0,19.0,12.0,C,1.0,TOR,Toronto,1610612761,1.0
15,6.0,0.0,,2.0,1.0,0.0,0.0,25.0,13.0,0.52,9.0,8.0,0.889,0021500633,37:58,0.0,1.0,201942,DeMar DeRozan,13.0,34.0,2.0,G,1.0,TOR,Toronto,1610612761,2.0
16,8.0,0.0,,2.0,9.0,4.0,0.444,11.0,4.0,0.364,2.0,2.0,1.0,0021500633,36:36,0.0,4.0,200768,Kyle Lowry,16.0,14.0,2.0,G,3.0,TOR,Toronto,1610612761,6.0
17,2.0,0.0,,4.0,3.0,0.0,0.0,7.0,3.0,0.429,0.0,0.0,0.0,0021500633,26:07,3.0,2.0,202335,Patrick Patterson,-6.0,6.0,7.0,,1.0,TOR,Toronto,1610612761,0.0
18,1.0,1.0,,1.0,8.0,4.0,0.5,9.0,5.0,0.556,0.0,0.0,0.0,0021500633,28:23,0.0,2.0,203082,Terrence Ross,-3.0,14.0,1.0,,0.0,TOR,Toronto,1610612761,1.0
19,2.0,0.0,,0.0,2.0,0.0,0.0,6.0,1.0,0.167,0.0,0.0,0.0,0021500633,21:26,1.0,1.0,202709,Cory Joseph,-17.0,2.0,1.0,,0.0,TOR,Toronto,1610612761,0.0
20,0.0,3.0,,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.25,0021500633,16:21,0.0,1.0,202687,Bismack Biyombo,-12.0,3.0,4.0,,1.0,TOR,Toronto,1610612761,2.0
21,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500633,,,,203461,Anthony Bennett,,,,,,TOR,Toronto,1610612761,
22,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500633,,,,203512,Lucas Nogueira,,,,,,TOR,Toronto,1610612761,
23,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500633,,,,1626181,Norman Powell,,,,,,TOR,Toronto,1610612761,
24,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500633,,,,1626153,Delon Wright,,,,,,TOR,Toronto,1610612761,
