,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
0,1,0,11,0,0,0.0,18,12,0.667,7,7,1.0,"APR 02, 2016",0021501140,SAS vs. TOR,38,4,2,8,31,200746,15,22015,1,3,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
1,1,1,5,0,0,0.0,10,3,0.3,6,5,0.833,"MAR 30, 2016",0021501118,SAS vs. NOP,32,1,2,12,11,200746,6,22015,1,0,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
2,3,2,9,0,0,0.0,16,11,0.688,11,9,0.818,"MAR 28, 2016",0021501100,SAS @ MEM,31,4,0,18,31,200746,13,22015,0,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
3,1,3,7,0,0,0.0,16,12,0.75,9,8,0.889,"MAR 25, 2016",0021501078,SAS vs. MEM,33,5,1,17,32,200746,12,22015,2,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
4,1,1,3,0,0,0.0,9,4,0.444,0,0,0.0,"MAR 23, 2016",0021501063,SAS vs. MIA,25,2,1,20,8,200746,5,22015,2,2,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
5,5,1,10,0,0,0.0,17,9,0.529,0,0,0.0,"MAR 21, 2016",0021501043,SAS @ CHA,35,2,2,7,18,200746,12,22015,0,3,1,L,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
6,0,0,10,0,0,0.0,25,11,0.44,4,4,1.0,"MAR 19, 2016",0021501036,SAS vs. GSW,37,3,2,12,26,200746,13,22015,1,2,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
7,1,1,6,0,0,0.0,14,9,0.643,5,4,0.8,"MAR 17, 2016",0021501018,SAS vs. POR,26,0,2,16,22,200746,6,22015,1,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
8,2,0,5,1,0,0.0,16,7,0.438,4,3,0.75,"MAR 15, 2016",0021501001,SAS vs. LAC,29,1,1,-2,17,200746,6,22015,2,0,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
9,3,1,7,0,0,0.0,14,9,0.643,6,6,1.0,"MAR 12, 2016",0021500979,SAS vs. OKC,37,2,2,2,24,200746,9,22015,0,3,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
10,1,1,9,0,0,0.0,19,10,0.526,6,6,1.0,"MAR 10, 2016",0021500960,SAS vs. CHI,33,1,2,7,26,200746,10,22015,2,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
11,4,4,6,0,0,0.0,13,11,0.846,8,7,0.875,"MAR 08, 2016",0021500945,SAS @ MIN,29,1,1,27,29,200746,7,22015,1,0,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
12,0,2,10,0,0,0.0,20,9,0.45,5,5,1.0,"MAR 07, 2016",0021500939,SAS @ IND,38,2,4,1,23,200746,12,22015,1,0,1,L,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
13,1,1,8,0,0,0.0,19,11,0.579,4,4,1.0,"MAR 03, 2016",0021500909,SAS @ NOP,35,0,2,6,26,200746,8,22015,0,2,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
14,3,0,10,0,0,0.0,16,10,0.625,3,3,1.0,"MAR 02, 2016",0021500905,SAS vs. DET,35,0,3,17,23,200746,10,22015,0,2,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
15,1,1,12,1,0,0.0,19,9,0.474,8,8,1.0,"FEB 27, 2016",0021500872,SAS @ HOU,33,4,2,23,26,200746,16,22015,0,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
16,2,1,6,0,0,0.0,15,7,0.467,1,1,1.0,"FEB 25, 2016",0021500860,SAS @ UTA,33,1,1,12,15,200746,7,22015,0,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
17,2,5,4,0,0,0.0,11,2,0.182,6,3,0.5,"FEB 24, 2016",0021500854,SAS @ SAC,32,5,5,-7,7,200746,9,22015,0,2,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
18,1,1,8,1,0,0.0,14,9,0.643,1,1,1.0,"FEB 21, 2016",0021500826,SAS @ PHX,34,2,4,3,19,200746,10,22015,1,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
19,3,2,6,0,0,0.0,11,6,0.545,4,4,1.0,"FEB 19, 2016",0021500818,SAS @ LAL,35,2,4,9,16,200746,8,22015,1,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
20,1,0,1,1,0,0.0,12,3,0.25,4,4,1.0,"FEB 18, 2016",0021500804,SAS @ LAC,25,2,0,-23,10,200746,3,22015,0,0,1,L,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
