@relation player_diff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute AST numeric
@attribute BLK numeric
@attribute DREB numeric
@attribute FG3A numeric
@attribute FG3M numeric
@attribute FG3_PCT numeric
@attribute FGA numeric
@attribute FGM numeric
@attribute FG_PCT numeric
@attribute FTA numeric
@attribute FTM numeric
@attribute FT_PCT numeric
@attribute OREB numeric
@attribute PF numeric
@attribute PLUS_MINUS numeric
@attribute PTS numeric
@attribute REB numeric
@attribute STL numeric
@attribute TOV numeric
@attribute WL {-1,1}

@data
58,19,246,146,49,5.052,375,168,3.19,130,93,19.307,80,15,-17,478,326,30,28,-1
-114,37,45,-19,-6,-4,-291,-152,1.241,-22,-63,-13.32,25,6,93,-373,70,-75,-69,1
39,48,182,11,-3,1.078,-30,-25,1.931,24,5,6.465,62,52,453,-48,244,43,5,1
-66,-34,-244,-160,-41,5.488,-362,-165,0.963,-126,-106,-20.42,-22,64,171,-477,-266,-21,-89,1
68,-32,-19,238,91,26.465,429,163,-8.916,58,64,15.881,-139,-5,-341,481,-158,-1,13,-1
78,-55,-157,483,185,30.242,-186,-179,-3.791,-141,-133,-14.865,-109,26,-468,-306,-266,122,14,-1
-77,10,-38,95,20,-5.203,-207,-169,-10.065,-58,-49,-7.207,-13,-81,-293,-367,-51,-40,-42,-1
131,-25,-47,270,105,21.477,484,209,-1.498,114,83,16.306,-34,-17,42,606,-81,35,58,1
69,24,84,68,26,5.783,275,102,-0.303,-15,-10,-3.2,21,82,74,220,105,24,39,-1
105,-15,13,458,173,18.742,471,167,-2.844,55,55,19.324,-99,8,-24,562,-86,101,32,-1
93,-42,-1,236,91,26.465,415,160,-8.862,-34,-16,-0.543,-117,-9,-100,395,-118,4,15,1
179,-10,-43,-168,-49,3.583,-508,-249,-3.833,-57,-39,-6.383,-15,14,165,-586,-58,-73,7,1
-97,17,-170,-303,-109,-24.89,-408,-146,4.25,-3,2,-2.815,76,-51,-96,-399,-94,-65,-96,-1
3,-43,12,221,84,9.159,260,103,3.748,79,70,17.419,-50,-66,-339,360,-38,-24,49,1
133,17,-20,-294,-121,-11.451,176,113,-2.942,314,269,13.425,12,-53,-53,374,-8,-50,19,1
44,91,209,-318,-123,-22.842,-170,-16,9.306,116,95,16.007,121,100,384,-60,330,65,25,1
10,16,21,-317,-119,-11.116,-541,-207,9.288,-122,-128,-28.834,35,60,34,-661,56,21,-9,1
118,8,107,457,170,18.242,390,142,5.448,23,36,18.154,-37,2,130,490,70,50,35,-1
121,-30,149,305,109,24.89,500,186,-2.094,67,63,18.794,-58,37,102,544,91,51,74,1
96,5,96,-12,-7,-2.067,81,19,1.689,15,12,5.018,-40,-6,331,43,56,31,32,1
-307,5,-166,-282,-94,-5.652,-384,-151,-0.451,-139,-123,-32.121,31,71,-262,-519,-135,-12,-139,1
-82,79,71,-238,-91,-26.465,-373,-93,17.504,65,4,-2.588,196,81,625,-273,267,17,2,-1
13,27,46,-8,-3,0.283,254,111,2.798,-2,0,2.634,37,31,75,219,83,27,19,-1
-207,-60,-98,240,98,14.172,-294,-214,-6.15,-253,-181,-14.091,-15,-87,226,-511,-113,-22,-88,-1
100,-9,-36,219,69,5.938,704,269,4.218,216,205,44.067,-29,-32,295,812,-65,26,66,1
127,-17,-22,406,147,25.24,704,306,7.438,61,44,15.75,-27,30,282,803,-49,98,55,1
79,45,262,15,0,0,730,386,10.951,240,207,36.556,101,17,575,979,363,19,45,-1
86,72,109,1,1,1,-91,-16,3.103,-23,-22,-12.333,-41,74,217,-53,68,7,14,1
-89,-21,-80,-161,-56,-3.4,-110,-33,-1.221,-29,-16,-6.606,-31,-58,-432,-138,-111,-131,2,1
-8,71,122,-42,-15,-12,-43,46,19.972,58,24,11.955,115,48,562,101,237,-68,6,1
-118,46,15,-273,-111,-13.488,-440,-208,-7.885,-185,-159,-36.251,53,-29,139,-686,68,-43,-67,-1
-44,39,179,-256,-79,-5.438,-247,-55,10.749,-32,-44,-11.67,156,78,252,-233,335,22,1,-1
-163,-24,-107,202,83,6.449,-16,-14,3.22,-352,-299,-19.366,-31,40,228,-244,-138,7,-23,1
-42,16,110,-16,-19,-8.375,280,125,-11.412,170,141,9.796,-6,-89,-31,372,104,-39,-2,1
-41,-86,-264,122,59,18.867,-239,-172,-27.109,-187,-109,-31.626,-212,-183,-515,-394,-476,-31,-60,-1
-173,4,-37,-240,-80,-11.985,-653,-248,-2.634,-188,-165,-22.076,38,-122,249,-741,1,-15,-133,1
-59,-14,47,-69,-18,1.602,-270,-132,-1.499,9,14,-0.665,-12,-45,-607,-268,35,-88,6,1
-63,43,27,-483,-176,-25.968,-405,-86,10.066,-32,-25,-8.409,84,-8,464,-373,111,-23,-49,1
138,7,219,233,90,25.465,759,341,24.577,123,103,33.714,19,123,-144,875,238,23,78,-1
-374,90,100,-398,-139,-23.335,-585,-216,13.844,34,-21,-12.015,127,111,-124,-592,227,-46,-134,1
-174,32,216,-38,-19,-2.442,56,41,-5.97,172,139,3.504,22,-9,99,202,238,10,-35,1
117,-21,-126,248,87,12.385,479,177,-4.876,150,144,20.575,-139,56,-440,585,-265,-15,79,-1
-54,4,-47,-42,-26,-7.874,-60,-39,-7.158,0,4,3.334,-31,-109,134,-100,-78,-7,-23,1
-112,57,55,-271,-105,-21.477,-574,-225,9.419,-92,-75,-13.984,45,22,-2,-630,100,-7,-48,1
-66,-34,-244,-160,-41,5.488,-362,-165,0.963,-126,-106,-20.42,-22,64,171,-477,-266,-21,-89,1
126,-63,-15,499,185,30.242,433,96,-14.524,-35,12,6.199,-152,-46,-432,389,-167,118,29,1
2,-24,-66,-93,-38,-4.37,26,40,-1.085,36,30,0.04,10,-49,-37,72,-56,2,-39,-1
-60,21,95,-120,-38,-13.682,-7,23,5.454,-32,-19,-4.105,52,40,171,-11,147,-19,0,1
-324,37,32,-239,-98,-28.823,-334,-108,-3.741,10,0,-9.717,34,-69,-417,-314,66,-22,-84,-1
-88,44,34,-269,-105,-21.477,-482,-185,11.575,-28,-10,1.995,63,8,4,-485,97,-21,-70,1
-336,3,-116,-239,-98,-28.823,-501,-201,-26.135,-58,-51,-25.501,-25,-163,-398,-551,-141,-42,-114,-1
-145,27,-11,-407,-147,-25.24,-842,-357,-7.574,-47,-39,-16.1,19,-55,-252,-900,8,-95,-77,-1
-136,0,-141,-485,-176,-25.968,-712,-254,-22.541,-172,-144,-42.844,-12,-118,467,-828,-153,-54,-89,1
53,-15,-25,27,17,8.972,195,100,11.36,7,8,3.917,10,62,35,225,-15,25,29,1
320,2,87,358,127,11.835,485,182,-7.362,86,92,27.42,-111,-55,145,583,-24,6,124,-1
66,-37,-60,154,60,3.794,310,138,-3.689,123,95,18.64,-45,-68,28,431,-105,1,46,-1
-12,-34,-148,0,0,0,-167,-93,-22.394,-68,-51,-15.784,-59,-94,19,-237,-207,-20,-30,1
-275,-95,-307,-67,-13,-1.748,-544,-298,-12.308,-271,-206,-32.104,-9,-83,75,-815,-316,16,-130,1
115,-123,-230,237,91,26.465,511,198,-12.306,-95,-32,0.308,-159,-83,-238,455,-389,6,11,-1
