,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
38,33,13,32,24,10,0.417,94,49,0.521,15,12,0.8,2016-01-09,0021500551,ATL vs. CHI,240,8,22,15,120,40,22015,15,ATL,1610612737,Atlanta Hawks,16,1,W
40,36,6,34,32,13,0.406,92,49,0.533,19,15,0.789,2016-01-07,0021500536,ATL @ PHI,240,14,23,28,126,48,22015,18,ATL,1610612737,Atlanta Hawks,17,1,W
69,28,7,41,20,10,0.5,92,48,0.522,25,18,0.72,2016-02-03,0021500736,ATL @ PHI,240,11,12,38,124,52,22015,13,ATL,1610612737,Atlanta Hawks,19,1,W
77,32,7,23,21,10,0.476,78,48,0.615,24,21,0.875,2015-12-16,0021500376,ATL vs. PHI,240,2,21,21,127,25,22015,11,ATL,1610612737,Atlanta Hawks,12,1,W
116,33,4,27,24,8,0.333,88,47,0.534,18,15,0.833,2015-12-26,0021500442,ATL vs. NYK,240,10,17,19,117,37,22015,13,ATL,1610612737,Atlanta Hawks,9,1,W
130,31,10,39,33,17,0.515,88,46,0.523,11,9,0.818,2016-04-09,0021501188,ATL vs. BOS,240,5,22,11,118,44,22015,10,ATL,1610612737,Atlanta Hawks,18,1,W
190,32,5,34,42,17,0.405,84,45,0.536,22,15,0.682,2016-03-23,0021501056,ATL @ WAS,240,7,17,21,122,41,22015,10,ATL,1610612737,Atlanta Hawks,16,1,W
244,33,7,37,24,12,0.5,80,45,0.563,22,19,0.864,2015-11-24,0021500210,ATL vs. BOS,240,6,25,24,121,43,22015,8,ATL,1610612737,Atlanta Hawks,21,1,W
266,32,6,31,38,14,0.368,88,44,0.5,12,7,0.583,2016-03-19,0021501029,ATL vs. HOU,240,9,20,12,109,40,22015,12,ATL,1610612737,Atlanta Hawks,16,1,W
281,31,8,39,41,9,0.22,106,44,0.415,18,12,0.667,2016-02-20,0021500819,ATL vs. MIL,290,10,27,-8,109,49,22015,11,ATL,1610612737,Atlanta Hawks,16,1,L
307,34,5,35,29,8,0.276,79,44,0.557,24,18,0.75,2016-01-16,0021500602,ATL vs. BKN,240,5,20,28,114,40,22015,14,ATL,1610612737,Atlanta Hawks,10,1,W
338,30,6,23,31,13,0.419,86,44,0.512,7,6,0.857,2015-11-09,0021500101,ATL vs. MIN,240,4,19,-10,107,27,22015,13,ATL,1610612737,Atlanta Hawks,17,1,L
356,34,7,34,34,13,0.382,95,43,0.453,14,13,0.929,2016-03-26,0021501085,ATL @ DET,240,5,21,17,112,39,22015,6,ATL,1610612737,Atlanta Hawks,5,1,W
386,25,7,35,33,13,0.394,90,43,0.478,15,14,0.933,2016-02-10,0021500796,ATL @ CHI,240,11,14,23,113,46,22015,16,ATL,1610612737,Atlanta Hawks,13,1,W
388,31,4,39,29,12,0.414,92,43,0.467,20,12,0.6,2016-02-08,0021500780,ATL vs. ORL,265,8,20,-7,110,47,22015,9,ATL,1610612737,Atlanta Hawks,14,1,L
397,28,3,32,27,9,0.333,86,43,0.5,26,24,0.923,2016-01-25,0021500672,ATL @ DEN,240,10,24,14,119,42,22015,11,ATL,1610612737,Atlanta Hawks,14,1,W
